id_unik,prompt,versjon,id,k_kode,land,verdikjedeledd,pastand,type,tall,enhet,aar,kilde_url,utgiver,publisert,lokator,sitat,kildetype,sikkerhet,kommentar,kildefil
A:P1-011,P1,A,P1-011,K1|K3|K4,Sverige,Kolonihager og småskala matproduksjon,"Studien av Stockholms kolonihager viser videreføring av kunnskap gjennom praksis, muntlig utveksling og kollektive vaner.",forskningsfunn,,,2010,https://www.academia.edu/59587931/Social_ecological_memory_in_urban_gardens_Retaining_the_capacity_for_management_of_ecosystem_services,"S07: Barthel, Folke og Colding; Social–ecological memory in urban gardens; Global Environmental Change 20(2):255–265",2010,S. 255; Abstract,"retained and transmitted by imitation of practices, oral communication and collective rituals and habits",primær,delvis,"Originalartikkel i fulltekstkopi. Dokumenterer kunnskapsoverføring, ikke krisematvolum.",P1-A-begreper.md
A:P1-012,P1,A,P1-012,K1|K3,Sverige; håndverksforskning,Hagebruk og praktisk håndverk,Westerlund undersøker hvordan kroppslig og vanskelig verbaliserbar håndverkskunnskap kan forstås og kommuniseres.,forskningsfunn,,,2021,https://journals.oslomet.no/formakademisk/article/view/4402,S08: Westerlund; 'It’s in my hands': Analytical tools for the communication of craft knowledge; FormAkademisk 14(2),2021-05-10,Abstract,knowledge that is difficult to put into words will never be communicated,primær,delvis,Praksisbasert håndverksstudie; ingen direkte måling av matsystemresiliens. Polanyi er historisk referanse via denne kilden.,P1-A-begreper.md
A:P1-013,P1,A,P1-013,K1|K3,Sverige,Restauranter og grossister,"Studien identifiserer plass, økonomi og tilgang til fagkyndig personell som begrensninger for lagring og konservering.",forskningsfunn,17,intervjudeltakere,2023–2024,https://www.researchgate.net/publication/391499283_New_Nordic_Cuisine_in_practice_Storage_and_preservation_practices_as_a_means_for_a_resilient_restaurant_sector,S09: Sundqvist og Marshall; New Nordic Cuisine in practice; International Journal of Gastronomy and Food Science 40:101193,2025-05-06,Abstract; avsnitt 4: Material and methods,"storage space, economy, recruitment of skilled staff",primær,delvis,"Deltakere fra 15 organisasjoner. Kvalitativ studie, ikke test av langvarig forsyningskrise.",P1-A-begreper.md
A:P1-014,P1,A,P1-014,K1|K3,Sverige,Restauranter,En informant beskrev at konserveringsprosjekter mistet kontinuitet når nøkkelpersonell sluttet og kunnskap om innholdet forsvant.,forskningsfunn,,,2023–2024,https://www.researchgate.net/publication/391499283_New_Nordic_Cuisine_in_practice_Storage_and_preservation_practices_as_a_means_for_a_resilient_restaurant_sector,S09: Sundqvist og Marshall; New Nordic Cuisine in practice; International Journal of Gastronomy and Food Science 40:101193,2025-05-06,Avsnitt 6.2: Challenge of skill acquisition; s. 7,past preservation projects are left on the shelves,primær,delvis,Konkret kvalitativt eksempel på personavhengighet; ikke estimat av sektorens kunnskapstap.,P1-A-begreper.md
A:P1-015,P1,A,P1-015,K1|K3,Danmark; Bornholm,Frukt- og grønnsaksproduksjon,Intervjuede aktører knyttet tap av tidligere dyrkingskompetanse til strukturendring og spesialisering i animalsk produksjon.,forskningsfunn,,,2021–2022,https://pub.norden.org/temanord2022-528/,S10: Vestergård mfl.; Selvforsyning af fødevarer i fem nordiske øsamfund; Nordisk Ministerråd; TemaNord 2022:528,2022-05-03,Kapittel 4; Udfordringer og barrierer; En begrænset produktion af grønsager og frugt; første avsnitt,forsvandt med strukturudviklingen og specialiseringen indenfor animalsk produktion,primær,delvis,"Rapportens egne intervjuer; retrospektiv aktørforklaring, ikke kontrollert kausal analyse.",P1-A-begreper.md
A:P1-016,P1,A,P1-016,K1|K2,Danmark; Bornholm,Offentlige kjøkken,Intervjuede aktører knyttet svekket videreføring av lokalmatarbeid til nedleggelse av en kommunal mat- og måltidskonsulentstilling.,forskningsfunn,,,2021–2022,https://pub.norden.org/temanord2022-528/,S10: Vestergård mfl.; Selvforsyning af fødevarer i fem nordiske øsamfund; Nordisk Ministerråd; TemaNord 2022:528,2022-05-03,Kapittel 4; Lokale tiltag for øget selvforsyning; tredje avsnitt,nedlæggelsen af stillingen mad- og måltidskonsulent,primær,delvis,Informantenes vurdering av kontinuitet; ikke en isolert effektevaluering av stillingen.,P1-A-begreper.md
A:P1-017,P1,A,P1-017,K1,Finland,Primærproduksjon; sesongarbeid,Eksperter beskrev at bortfall av utenlandsk sesongarbeidskraft under pandemien ikke fullt ut kunne erstattes innenlands.,forskningsfunn,9,ekspertintervjuer,2021; omtalt hendelse 2020,https://link.springer.com/article/10.1007/s10669-022-09889-5,"S11: Rimhanen, Aakkula, Aro og Rikkonen; The elements of resilience in the food system and means to enhance the stability of the food supply; Environment Systems and Decisions 43:143–160",2023-01-02,Avsnitt 2.1 og 3.1,the deficit could not be fully compensated by domestic labour,primær,delvis,Retrospektive intervjuer fra november–desember 2021. Ferdighetenes isolerte effekt er ikke beregnet.,P1-A-begreper.md
A:P1-018,P1,A,P1-018,K2|K3,Finland,Koordinering på tvers av matkjeden,Ekspertenes beskrivelser knyttet informasjonsdeling og samarbeid til raskere beslutninger og endrede arbeidsprosesser.,forskningsfunn,,,2021,https://link.springer.com/article/10.1007/s10669-022-09889-5,"S11: Rimhanen, Aakkula, Aro og Rikkonen; The elements of resilience in the food system and means to enhance the stability of the food supply; Environment Systems and Decisions 43:143–160",2023-01-02,Avsnitt 3.2,"quick decision making, and processes to be changed",primær,delvis,Ekspertbasert mekanismebeskrivelse; ingen separat effektmåling av institusjonell kompetanse.,P1-A-begreper.md
A:P1-019,P1,A,P1-019,K1|K2|K3,Finland,Primærproduksjon og matsystem,Den finske modellen beskriver spesialisering både som mulig reduksjon av mangfold og som kilde til oppdatert fag- og driftskompetanse.,forskningsfunn,9,ekspertintervjuer,2021,https://ecologyandsociety.org/vol31/iss2/art23/,"S12: Rikkonen, Aro, Rosengren og Rimhanen; Building food system resilience: insights from Finland using causal loop diagrams; Ecology and Society 31(2):23",2026,Methods; Results: Subsystem 3,centralization and specialization generate up-to-date professionalism and practical management skills,primær,delvis,Samme ni intervjuer som S11; etterfølgende modellvalidering. Diagrammene estimerer ikke kausale effekter.,P1-A-begreper.md
A:P1-020,P1,A,P1-020,K1|K2,Internasjonalt,Produksjon og logistikk,Just-in-time søker lave lagernivåer og behovsstyrt materialflyt; tilnærmingen kan samtidig innebære tett koordinering.,definisjon,,,2023,https://one.oecd.org/document/TAD/CA/APM/WP(2022)26/FINAL/en/pdf,S14: OECD; Building system-wide resilience in agro-food value chains; TAD/CA/APM/WP(2022)26/FINAL,2023-07-17,Avsnitt 2.4; s. 14–15; nummererte avsnitt 40–43,kept as low as possible [...] close co-ordination and communication,sekundær,godt_dokumentert,Litteratursammenfatning. Just-in-time er ikke synonymt med all lean-organisering eller lav bemanning.,P1-A-begreper.md
A:P1-021,P1,A,P1-021,K1|K2,Internasjonalt,Matverdikjeder,OECDs gjennomgang fant begrenset entydig empirisk evidens for virkningen av markedskonsentrasjon og just-in-time på resiliens.,forskningsfunn,,,2023,https://one.oecd.org/document/TAD/CA/APM/WP(2022)26/FINAL/en/pdf,S14: OECD; Building system-wide resilience in agro-food value chains; TAD/CA/APM/WP(2022)26/FINAL,2023-07-17,Avsnitt 3.2.2; s. 24–25; nummererte avsnitt 79–81,limited conclusive empirical evidence,sekundær,godt_dokumentert,Gjelder konklusjonen i 2023-oversikten; er ikke bevis for at slike organisasjonsformer alltid er ufarlige.,P1-A-begreper.md
A:P1-022,P1,A,P1-022,K3|K4,Norge,Husholdninger; strøm- og IKT-avhengighet,Husholdninger mobiliserte tidligere erfaringer og lokal kunnskap i håndtering av infrastrukturbortfall.,forskningsfunn,,,2020,https://ideas.repec.org/a/eee/enepol/v144y2020ics0301421520304055.html,S13: Heidenstrøm og Throne-Holst; 'Someone will take care of it'; Energy Policy 144:111676,2020,Abstract,"used skills from previous experiences, local knowledge on infrastructure and weather",primær,delvis,Forfatternes sammendrag lest via RePEc. Ikke direkte dokumentasjon av mat- eller ernæringsutfall.,P1-A-begreper.md
A:P1-023,P1,A,P1-023,K2|K4,Norge,Samfunn og husholdninger,Norsk offentlig begrepsbruk definerer beredskap gjennom forberedelser for å håndtere uønskede hendelser og begrense konsekvenser.,definisjon,,,2020,https://www.regjeringen.no/no/dokumenter/meld.-st.-5-20202021/id2770928/?ch=1,"S18: Justis- og beredskapsdepartementet; Meld. St. 5 (2020–2021), Samfunnssikkerhet i en usikker verden",2020-10-16,Kapittel 1; boks 1.1: Sentrale begreper; Beredskap,planlagte og forberedte tiltak,primær,godt_dokumentert,"Offisiell definisjon, ikke evaluering av faktisk beredskap.",P1-A-begreper.md
A:P1-024,P1,A,P1-024,K2,Norge,Samfunnets kritiske funksjoner,Samfunnssikkerhet omfatter vern av grunnleggende verdier og funksjoner mot alvorlige hendelser.,definisjon,,,2020,https://www.regjeringen.no/no/dokumenter/meld.-st.-5-20202021/id2770928/?ch=1,"S18: Justis- og beredskapsdepartementet; Meld. St. 5 (2020–2021), Samfunnssikkerhet i en usikker verden",2020-10-16,Kapittel 1; boks 1.1: Sentrale begreper; Samfunnssikkerhet,hendelser som truer grunnleggende verdier og funksjoner,primær,godt_dokumentert,Begrepet favner mer enn matforsyning.,P1-A-begreper.md
A:P1-025,P1,A,P1-025,K2,Norge,Sivil-militært samarbeid,Den norske totalforsvarsbeskrivelsen vektlegger gjensidig støtte og samarbeid mellom sivile og militære ressurser.,definisjon,,,2025,https://www.regjeringen.no/no/dokumenter/meld.-st.-9-20242025/id3082364/?ch=1,"S19: Justis- og beredskapsdepartementet; Meld. St. 9 (2024–2025), Totalberedskapsmeldingen. Forberedt på kriser og krig",2025,Avsnitt 1.3,støtte og samarbeid mellom sivile og militære ressurser,primær,godt_dokumentert,Dokumentert begrepsbruk; ikke mål på sivil-militær samhandlingsevne.,P1-A-begreper.md
A:P1-026,P1,A,P1-026,K2,Sverige,Sivilt og militært forsvar,Svensk lov definerer totalforsvar som virksomhet som forbereder landet på krig.,definisjon,,,1992; ordlyd endret 1996,https://www.riksdagen.se/sv/dokument-och-lagar/dokument/svensk-forfattningssamling/lag-19921403-om-totalforsvar-och-hojd_sfs-1992-1403/,S20: Sveriges riksdag; Lag (1992:1403) om totalförsvar och höjd beredskap,1992-12-17,1 §; se også 2 §,Totalförsvar är verksamhet som behövs för att förbereda Sverige för krig.,primær,godt_dokumentert,Loven omfatter sivilt og militært forsvar; 2 § omtaler også ressursbruk ved alvorlige påkjenninger i fredstid.,P1-A-begreper.md
A:P1-027,P1,A,P1-027,K1|K2|K3|K4,Finland,Hele samfunnet,"Helhetlig sikkerhet beskrives som felles ivaretakelse av vitale funksjoner, med innbyggernes kunnskaper og ferdigheter som del av grunnlaget.",definisjon,,,2026; kontrollår,https://turvallisuuskomitea.fi/en/comprehensive-security/,S21: Turvallisuuskomitea / Security Committee; Comprehensive security,u.å.,What is comprehensive security?; avsnittet om individuals,"their knowledge, skills and security-strengthening attitude",primær,godt_dokumentert,Offisiell engelskspråklig begrepspresentasjon. Nettsidens beskrivelse er ikke en effektevaluering.,P1-A-begreper.md
A:P1-028,P1,A,P1-028,K1|K2,Finland,Kritiske forsyninger og organisasjoner,"Finsk forsyningssikkerhet omfatter kontinuitet i organisasjoner og nettverk, ikke bare materielle forberedelser.",definisjon,,,2026; kontrollår,https://www.huoltovarmuuskeskus.fi/en/security-of-supply,S22: Huoltovarmuuskeskus / National Emergency Supply Agency; Security of supply,u.å.,Avsnittet Securing security of supply; siste avsnitt,"not only on material preparedness, but on ensuring the continued operation of organisations and networks",primær,godt_dokumentert,Dokumenterer et bredere begrep enn varelagring eller innenlandsk produksjonsandel.,P1-A-begreper.md
A:P1-029,P1,A,P1-029,K2,Danmark,Samfunnsviktige forsyninger,Dansk forsyningssikkerhet defineres gjennom evnen til rettidig å skaffe nødvendige ressurser til sentrale funksjoner.,definisjon,,,2024,https://samsik.dk/wp-content/uploads/2025/10/Koncept-for-laeringsopsamlinger-Forsyningskritiske-haendelser.pdf,S23: Styrelsen for Forsyningssikkerhed; Koncept for læringsopsamlinger: Forsyningskritiske hændelser,2024-06,S. 4; avsnitt 2,rettidigt kan tilvejebringe de nødvendige ressourcer,primær,godt_dokumentert,Dokumentets dato er juni 2024; nettstedets filbane inneholder et senere år.,P1-A-begreper.md
A:P1-030,P1,A,P1-030,K2,Danmark,Myndigheter og forsyningsaktører,Det danske læringskonseptet beskriver systematisk innsamling og bruk av erfaringer fra forsyningskritiske hendelser.,fakta,,,2024,https://samsik.dk/wp-content/uploads/2025/10/Koncept-for-laeringsopsamlinger-Forsyningskritiske-haendelser.pdf,S23: Styrelsen for Forsyningssikkerhed; Koncept for læringsopsamlinger: Forsyningskritiske hændelser,2024-06,S. 3; avsnitt 1,læringer fra hændelser opsamles og anvendes,primær,godt_dokumentert,Dokumentert formål og prosess; faktisk læring eller forbedret krisehåndtering er ikke påvist her.,P1-A-begreper.md
A:P1-031,P1,A,P1-031,K2,Island,Sivilbeskyttelse,"Islandsk sivilbeskyttelse beskrives med et bredt hendelsesomfang, inkludert naturhendelser, menneskeskapte hendelser, epidemier og militær aktivitet.",definisjon,,,2026; kontrollår,https://www.almannavarnir.is/english/general-information/the-civil-protection-act/,S24: Almannavarnadeild ríkislögreglustjóra; The Civil Protection Act; offisiell forklaringsside,u.å.,Innledende avsnitt om formålet med civil protection,"natural catastrophes or from human actions, epidemics, military action or other causes",primær,godt_dokumentert,"Offisiell forklaring, ikke selvstendig kontroll av full konsolidert islandsk lovtekst.",P1-A-begreper.md
A:P1-032,P1,A,P1-032,K2|K3,Island,Situasjonsforståelse og krisehåndtering,"Den islandske beskrivelsen av usikkerhetsfasen inkluderer økt overvåking, vurdering, forskning og evaluering.",fakta,,,2026; kontrollår,https://www.almannavarnir.is/english/general-information/emergency-response/,S25: Almannavarnadeild ríkislögreglustjóra; Emergency Response,u.å.,Civil Protection Emergency Levels/Phases; Uncertainty Phase,"Monitoring, assessment, research and evaluation of the situation is increased.",primær,godt_dokumentert,Dokumentert organisatorisk forventning; ikke matspesifikk evaluering.,P1-A-begreper.md
A:P1-033,P1,A,P1-033,K1|K2|K3|K4,Internasjonalt; hovedsakelig utviklingsland,Husholdninger og matsikkerhet,Ansah mfl. fant at empiriske analyser sjelden undersøkte de kausale mekanismene mellom resilienskapasitet og matsikkerhet uttrykkelig.,forskningsfunn,,,2019,https://link.springer.com/article/10.1007/s12571-019-00968-1,"S15: Ansah, Gardebroek og Ihle; Resilience and household food security; Food Security 11:1187–1203",2019-08-28,Abstract; se også avsnitt 5: Conclusions,are barely explicitly considered in empirical analyses,sekundær,godt_dokumentert,Gjelder litteraturen gjennomgått i 2019; ikke en påstand om at ingen nyere kausal forskning finnes.,P1-A-begreper.md
A:P1-034,P1,A,P1-034,K2|K3,Internasjonalt,Styring og kunnskapsproduksjon,"Cote og Nightingale argumenterer for at makt og konkurrerende verdier må forstås som del av sosioøkologiske systemer, ikke som eksterne tillegg.",tolkning,,,2012,https://journals.sagepub.com/doi/10.1177/0309132511425708,S16: Cote og Nightingale; Resilience thinking meets social theory; Progress in Human Geography 36(4):475–489,2012; først publisert 2011-12-02,Abstract; siste setning,"power and competing value systems are not external to, but rather integral to",primær,omstridt,"Originalt teoretisk kritikkbidrag; bare sammendraget kontrollert. Omstridt angir faglig posisjon, ikke usikker gjengivelse.",P1-A-begreper.md
A:P1-035,P1,A,P1-035,K3|K4,Sverige,Husholdningenes matlagring,"Matlagringspraksiser formes av kompetanse, materielle forhold og verdier; etablerte praksiser kan utfordre råd om langtidslagring.",forskningsfunn,139,mottatte spørreskjemasvar,2019–2020,https://www.researchgate.net/publication/354238706_Prepared_for_a_crisis_and_the_unexpected_managing_everyday_eventualities_through_food_storage_practices,"S26: Marshall; Prepared for a crisis and the unexpected: managing everyday eventualities through food storage practices; Food, Culture & Society 26(2):305–326",2023; først publisert 2021-08-31,OnlineFirst-s. 1: Abstract; s. 4–5: Methods,"challenged by normalized storage spaces, skills, and values attached to food and food storage",primær,delvis,Ett spørreskjemasvar ekskludert; selvselektert kvalitativt materiale supplert med historiske magasiner. Ingen kausal effektmåling.,P1-A-begreper.md
A:P1-036,P1,A,P1-036,K1|K2,Analytisk; relevant for Norden,Personell på tvers av matkjeden,Anvendt på personell innebærer funksjonell redundans at flere kan utføre kritiske oppgaver; ekstra bemanning er ikke automatisk kompetansemessig erstattbarhet.,tolkning,,,2015; grunnkildens år,https://www.researchgate.net/publication/282577265_Food_system_resilience_Defining_the_concept,S01: Tendall mfl.; Food system resilience: Defining the concept; Global Food Security 6:17–23,2015,Avsnitt 5; s. 19–20; redundancy,elements of the system,primær,delvis,Egen anvendelse av systemdefinisjonen på personell. Ikke et empirisk funn om nordiske bemannings- eller kompetanseterskler.,P1-A-begreper.md
B:P1-001,P1,B,P1-001,K1|K2|K3|K4,Internasjonalt,Hele matsystemet,Tendall mfl. definerer matsystemresiliens ut fra matsystemets vedvarende evne til å levere matvaresikkerhet under forstyrrelser.,definisjon,,,2015,https://doi.org/10.1016/j.gfs.2015.08.001,S01: Tendall mfl.; Global Food Security 6:17–23,2015,Avsnitt 5; s. 18–19,"sufficient, appropriate and accessible food to all",primær,godt_dokumentert,Originalt begrepsbidrag; ikke en isolert kompetanse-effektstudie.,P1-B-begreper.md
B:P1-002,P1,B,P1-002,K1|K2,Internasjonalt,Hele matsystemet,Redundans forstås funksjonelt som graden av erstattbarhet mellom systemelementer og inngår i systemets evne til å absorbere en forstyrrelse.,definisjon,,,2015,https://doi.org/10.1016/j.gfs.2015.08.001,S01: Tendall mfl.; Global Food Security 6:17–23,2015,Avsnitt 5; s. 19,the extent to which elements of the system are replaceable,primær,godt_dokumentert,Definisjonen gjelder systemelementer generelt.,P1-B-begreper.md
B:P1-003,P1,B,P1-003,K2|K3,Internasjonalt,Hele matsystemet,"Tendalls resilienssyklus inkluderer eksplisitt læring og forebyggende handling, slik at resiliens forstås som en kontinuerlig utviklet kapasitet.",definisjon,,,2015,https://doi.org/10.1016/j.gfs.2015.08.001,S01: Tendall mfl.; Global Food Security 6:17–23,2015,Avsnitt 5; s. 19,learning and preventive action components,primær,godt_dokumentert,Kompetansens konkrete innhold er ikke særskilt operasjonalisert.,P1-B-begreper.md
B:P1-004,P1,B,P1-004,K1|K2|K3|K4,Internasjonalt,Sosioøkologiske systemer,"Folke mfl. skiller mellom resiliens, adaptiv kapasitet og transformativ kapasitet; adaptiv kapasitet inngår i resiliens, mens transformasjon kan skape en ny utviklingsbane.",definisjon,,,2010,https://doi.org/10.5751/ES-03610-150420,S02: Folke mfl.; Ecology and Society 15(4):20,2010,Abstract,"Three aspects are central: resilience, adaptability and transformability.",primær,godt_dokumentert,Teoretisk rammeverk.,P1-B-begreper.md
B:P1-005,P1,B,P1-005,K1|K2|K3,Internasjonalt,Agroøkosystem,Cabell og Oelofse gjør refleksiv og delt læring til en eksplisitt indikator på agroøkosystemresiliens.,definisjon,13,resiliensindikatorer,2012,https://doi.org/10.5751/ES-04666-170118,S03: Cabell & Oelofse; Ecology and Society 17(1):18,2012,Tabell 1; Reflective and shared learning,learn from past experiences and present experimentation to anticipate change,primær,godt_dokumentert,Indikatorrammeverk; indikator er ikke det samme som dokumentert kausal effekt.,P1-B-begreper.md
B:P1-006,P1,B,P1-006,K1|K3,Internasjonalt,Agroøkosystem,"Cabell og Oelofse behandler kunnskap, ferdigheter og erfaring som menneskelige kunnskapsressurser som inngår i resiliens.",definisjon,,,2012,https://doi.org/10.5751/ES-04666-170118,S03: Cabell & Oelofse; Ecology and Society 17(1):18,2012,Avsnittet Builds human capital,"knowledge, skills, and experience",primær,godt_dokumentert,Forfatternes humankapitalbegrep er bredere enn en snever økonomisk definisjon.,P1-B-begreper.md
B:P1-007,P1,B,P1-007,K1|K3,Internasjonalt,Agroøkosystem,"Kulturell og biologisk hukommelse, tradisjonelle teknikker og tidligere erfaring inngår i indikatorens forståelse av kunnskapsarv.",definisjon,,,2012,https://doi.org/10.5751/ES-04666-170118,S03: Cabell & Oelofse; Ecology and Society 17(1):18,2012,Tabell 1; Honors legacy,biological and cultural memory embodied in a system,primær,godt_dokumentert,"Dokumenterer rammeverkets antakelse, ikke størrelsen på en kriseeffekt.",P1-B-begreper.md
B:P1-008,P1,B,P1-008,K1|K2|K3,Europa,Regionale jordbrukssystemer,"Meuwissen mfl. definerer jordbrukssystemresiliens gjennom tre kapasiteter: robusthet, adaptiv kapasitet og transformativ kapasitet.",definisjon,,,2019,https://doi.org/10.1016/j.agsy.2019.102656,S04: Meuwissen mfl.; Agricultural Systems 176:102656,2019-11-01,Abstract,"robustness, adaptability and transformability",primær,godt_dokumentert,Begrepsinndelingen avviker terminologisk fra den absorptiv-adaptiv-transformative tredelingen.,P1-B-begreper.md
B:P1-009,P1,B,P1-009,K1|K3,Europa,Jordbrukssystem,Meuwissen mfl. legger eksplisitt vekt på erfarings- og kontekstkunnskap i kvalitative vurderinger av resiliens.,definisjon,,,2019,https://doi.org/10.1016/j.agsy.2019.102656,S04: Meuwissen mfl.; Agricultural Systems 176:102656,2019-11-01,Abstract/metodebeskrivelse,experiential and contextual knowledge,primær,godt_dokumentert,"Viser hvordan slik kunnskap inngår i analysemetoden, ikke en selvstendig effektstørrelse.",P1-B-begreper.md
