number	observedTitle	observedYear	associationStatus	associationNote
34	Dagligvaruhandelns etablering i kommunerna	2024	compatible_limited	Konkurrensverket rapport 2024:4.
35	Summary of the Swedish Competition Authority’s inquiry into the food industry 2023–2024	2024	compatible_limited	Report 2024:5; English summary, not an independent study.
36	Nordic Food Markets — a taste for competition	2005	compatible_limited	Nordic competition authorities report 1/2005; historical source.
37	Årsrapport for Dagligvaretilsynet 2021	2021	compatible_limited	Intended annual report recovered locally; downloaded NOU is not a substitute.
38	Årsrapport for Daglegvaretilsynet 2022	2022	compatible_limited	Title and reporting year only.
39	Årsrapport for Dagligvaretilsynet 2023	2023	compatible_limited	Title and reporting year only.
40	Årsrapport for Dagligvaretilsynet 2024	2024	compatible_limited	Title and reporting year only.
41	Implementing the prohibition of unfair trading practices to strengthen the position of farmers and operators in the agricultural and food supply chain — State of play	2024	compatible_limited	COM(2024) 176 final, 23 April 2024; no current legal conclusion.
42	Unfair Trading Practices (UTP) — Overview tables on Member States’ transposition choices and enforcement activities	2024	compatible_limited	SWD(2024) 106 final, 23 April 2024; accompanying document, not independent evidence.
43	Strategi for auka sjølvforsyning av jordbruksvarer og plan for opptrapping av inntektsmoglegheitene i jordbruket	2024	compatible_limited	Meld. St. 11 (2023–2024); policy document, not measured effects.
44	Selvforsyningsgrad — sammenligning av norske og internasjonale beregninger	2026	compatible_limited	NIBIO rapport volume 12 number 46; definitions must be retained in later analysis.
45	Mat, makt og avmakt — om styrkeforholdene i verdikjeden for mat	2011	compatible_limited	NOU 2011:4; historical source.
46	Inntektsmåling i jordbruket	2022	compatible_limited	NOU 2022:14; historical inquiry, not current status.
47	Matsikkerhet og beredskap på landbruksområdet		compatible_limited	Riksrevisjonen Dokument 3:4 (2023–2024); session label retained instead of inferred publication year.
48	Circularity in Europe strengthens the sustainability of the global food system	2023	different_document_do_not_substitute	Nature Food article, not registered Konkurransetilsynet report src-73.
49	Samarbeidsklimaet i dagligvarebransjen — Rapport fra undersøkelse blant kjeder og leverandører 2025	2025	different_edition_do_not_substitute	Registered title asks for 2023; do not silently replace it with this 2025 survey.
50	Dagligvare: Forskjeller i innkjøpspriser ytterligere redusert		compatible_limited	Two-page news printout about the 2023 mapping and 2017–2023 background; not underlying data or full report series.
51	Konkurransetilsynets marginstudie 2024 — Del 2. Kartlegging av marginer ved bruk av informasjon på produktnivå	2024	compatible_limited	Printed study label is 2024 despite local filename 2025; retain product-level scope.
52	Restrictive covenants in the Norwegian grocery market: An empirical study	2024	compatible_limited	Master thesis, spring 2024.
53	Horisontal konkurranse i dagligvaremarkedet	2012	compatible_limited	Elise Sandanger; master thesis, spring 2012.
54	Hybrid Supply Chain Models in Swedish Grocery Retail: Balancing Cost Drivers, Environmental Sustainability and Social Responsibility		compatible_limited	Bachelor thesis by Emilia Sedwall, Calle Bjerne and Alexander Grandin; no year read on first page.
55	2026 1401 DRØFTING TRANSITION GROUPS	2026	internal_context_only	Internal working document; no mandate or governance approval inferred.
56	2026 Transition Group — Revidert prosess for å jobbe med Norden	2026	internal_context_only	Internal working document, January 2026; not an approved mandate.
57	Fwd: NCH: application 2025 # adjusted	2026	internal_context_only	Internal email printout dated March 2026 forwarding a June 2025 exchange; no funding or submission approval inferred.
58	2026 1401 DRØFTING TRANSITION GROUPS — email attachment notice	2026	internal_context_only	Internal email notice dated March 2026; distinguish notice from the attached 21-page document.
