number	observedTitle	observedYear	associationNote
26	Konkurransetilsynets Dagligvarerapport 2024	2024	separate_raw_version_same_cover_keep_both
27	Annual Report on Competition Policy Developments in Norway — 2024	2025	cover_date_27_may_2025_reporting_period_2024
28	Ikraftsetting av lov 22. desember 2025 nr. 129 om endringer i lov om god handelsskikk i dagligvarekjeden og avvikling av Dagligvaretilsynet	2026	exact_notice_17_april_2026_nr_601_identity_only
29	Potential for Denmark as a Circular Economy — A case study from Delivering the Circular Economy		case_study_not_entire_toolkit
30	White Paper on Nordic Sustainable Food Systems — Pathways and intervention areas		compatible_title_scope
31	Biorest fra marine råstoffer og husdyrgjødsel: Klimapåvirkning og gjenvinning av nitrogen og fosfor	2023	NORSUS_OR_48_23
32	Konkurransen i dagligvaremarkedet — betydelig bedre enn sitt rykte!		cover_states_commissioned_by_NorgesGruppen
33	Mot bedre vitende i norsk matsektor	2020	chapter_1_not_entire_book
34	Fremtidens Coop — En virksomhed i forandring	2023	Aalborg_student_project_7_may_2023
35	Rema 1000: Nøglen til succes på det danske detailmarked	2024	Aalborg_student_project
36	Analyse af Salling Group A/S og Coop Danmark A/S	2025	cover_has_three_authors_Huynh_Mortensen_Pedersen
37	Food Chain Sustainability in Sweden — Value Creation through Research?	2016	SLU_report_168
38	Evaluation of Filamentous Fungal Biomass Cultivated on Vinasse as an Alternative Nutrient Source of Fish Feed: Protein, Lipid, and Mineral Composition	2019	published_2_december_2019
39	Effective waste prevention needs policies targeting the entire value chain		policy_brief
40	Seafood in the circular economy	2022	Ocean_Cluster_Analysis_March_2022
41	Axfood Annual and Sustainability Report 2024	2024	duplicate_download_urls_same_raw_bytes
42	Local Food Business-to-Business Distribution Model		Baltic_Sea_Food_publication_year_not_on_cover
43	The Structure of the Retail Sector in Iceland		cover_mentions_conference_2004_proceedings_2005_do_not_collapse_dates
44	Social and economic impact of COVID-19	2021	other_document_not_food_supply_chain_rapid_review
45	Competition and Grocery Retail Formats: Empirical Evidence from a Horizontal Acquisition in Norway	2023	paper_identity_not_confirmation_of_registered_HHI_claim
46	Samarbeidsklimaet i dagligvarebransjen — Rapport fra undersøkelse blant kjeder og leverandører 2023	2023	compatible_title_scope
47	Markedsføring med mærkerne — Det Økologiske Spisemærke		one_page_guidance_identity_only
48	A National Food Strategy for Sweden — Short version of Government bill 2016/17:104		other_document_not_Uppsala_Learning_for_Crisis
49	Hagar's management report 2024/25 and 4th quarter's results	2025	press_release_15_april_2025_not_complete_audited_accounts
50	ICA Gruppen Annual Report 2024	2024	compatible_title_scope
51	Matsvinn i norske husholdninger — Oppdaterte matkastetall og forbrukerundersøkelser med anbefalinger til veien videre	2024	NORSUS_OR_28_24
52	Kommersielt tilgjengelige torvfrie råvarer til dyrkingsmedier	2020	other_title_than_registered_organic_waste_fertilizer_report_M1674_2020_Rapport_3_2019
53	ICAs fall i Norge	2024	NHH_master_Skulstad_Svensson
54	Lavprissegmentets utvikling i det norske dagligvaremarkedet	2024	NHH_master_Hasle_Tjøstheim
55	Pass-through av råvarepriser for kakao- og kaffeprodukter	2025	NHH_master_Nilsen_Paulsen
56	Etableringshindringer i dagligvaremarkedet — Lokale reguleringer som etableringshindring	2020	NHH_master_Fretheim_Rodnova
57	Importvernets påvirkning på konsentrasjonen i leverandørleddet	2020	NHH_master_Martens_Norum
58	Uniform Pricing in Norwegian Grocery Retail	2020	NHH_master_Nathanael_Georg_Meile
59	Hvorfor mislyktes Lidl med å etablere seg på det norske markedet?	2023	NHH_master_Selmani_Førre
60	Markedskonsentrasjon i Skandinavia	2017	public_version_cover_says_full_version_confidential_until_2021
61	NorgesGruppen ASA — Increased market share	2015	DNB_Markets_credit_research_25_november_2015
62	NorgesGruppen Annual and Sustainability Report 2023	2023	compatible_title_scope
63	NorgesGruppen Annual Review 2015 — English Summary	2015	summary_not_full_annual_report
64	Finnish Grocery Trade 2024	2024	PTY_publication
65	Livsmedelsberedskap för en ny tid	2024	SOU_2024_8_inquiry_not_current_operational_proof
66	Årsrapport for Dagligvaretilsynet 2024	2024	compatible_title_scope
67	Utredning av funksjonelt og regnskapsmessig skille i verdikjeden for mat og dagligvarer	2026	Menon_publication_8_2026
68	Kunnskapsgrunnlag om kundeprogrammene i dagligvaremarkedet — Del 1: Appanalyse og litteraturgjennomgang	2026	SIFO_1_2026_not_proof_of_causal_competition_effects
69	Kartlegging av egne merkevarer og vertikal integrasjon i dagligvaremarkedet	2023	SØA_rapport_15_2023_29_september
70	Meld. St. 4 (2024–2025) — Anmodnings- og utredningsvedtak i stortingssesjonen 2023–2024		whole_report_not_only_grocery_section
71	Rapport fra matsvinnutvalget — Anbefalinger til helhetlige tiltak og virkemidler	2023	31_december_2023
72	Kartlegging av tilgang til dagligvaregrossisttjenester	2024	Menon_publication_177_2024
73	God handelsskikk i dagligvarekjeden	2013	NOU_2013_6_not_annual_reports_2021
74	Elintarvikemarkkinavaltuutetun toimintakertomus 2024	2024	Finnish_Food_Market_Ombudsman
75	Ársskýrsla 2024	2024	Samkeppniseftirlitið
76	Analyse marint restråstoff 2022	2023	report_2023_01209_13_november_2023_data_year_2022
77	Analyse marint restråstoff 2023	2024	report_2024_00583_14_june_2024_data_year_2023
78	Nordic food systems for improved health and sustainability — Baseline assessment to inform transformation	2019	Stockholm_Resilience_Centre_March_2019
79	Food waste prevention in Denmark — Identification of hotspots and potentials with Life Cycle Assessment	2017	Undgaa_affald_stop_spild_no_13_April_2017
