COUNTYID,MUNICIPALITY,LISTCATEGORYID,LISTCATEGORY,LISTTYPEID,LISTTYPE,APPROVALID,ORGANIZATIONNAME,ORGANIZATIONTOWN,CATEGORY,ACTIVITIES,PRODUCTTYPES,ASSOCIATEDACTIVITIES,REMARKS,CHANPROCEDURE,APPROVALFROMDATE,APPROVALTODATE
11,1119,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1002333,BIOGASSANLEGG GRØDALAND,"Nordsjøvegen 2385, 4365 NÆRBØ","2, 3",PROCP,OTHER,,Processing method 1 (pressure sterilisation). ,,,
18,1870,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1005701,VESTERAALENS AS,"Havnegata 17, 8400 SORTLAND",3,PROCP,FIM,,Fishmeal processing method. ,,,
11,1149,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,300061,PELAGIA KARMSUND FISKEMEL,"Husøyvegen 283, 4262 AVALDSNES",3,PROCP,"FATF, FIM",,Origin: AQU_W. Processing method 7. ,,,
11,1149,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1001910,KARMSUND PROTEIN AS,"Husøyvegen 141, 4262 AVALDSNES",3,PROCP,"FATF, FIM",,Origin: AQU_W. Processing method 7. ,,,
50,5014,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1002646,NUTRIMAR AS AVD FRØYA,"Industriveien 23, 7266 KVERVA",3,PROCP,"FATF, FIM, PAP",,Origin: AQU_A. Processing method 7. ,,,
55,5530,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1002840,STELLA POLARIS AS,"Kårvikveien 306, 9307 FINNSNES",3,PROCP,FIM,,Origin: AQU_W. Fishmeal processing method. ,,,
34,3403,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,200105,BIOSIRK NORGE AS  AVD KATEGORI 1 HAMAR,"Smiuhagan 25, 2323 INGEBERG",1,PROCP,"FATOT, MBM",,Processing method 1 (pressure sterilisation) | Processing method 4. ,,,
50,5053,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,300046,BIOSIRK NORGE AS AVD MOSVIK,"Framverranvegen 340, 7690 MOSVIK","3, 3",PROCP,"FATF, PAP, PAPRUM",,Origin: RUM. Processing method 1 (pressure sterilisation) | Processing method 4. ,,,
50,5057,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1002564,GRØNTVEDT PELAGIC AS AVD UTHAUG GRØNTVEDT NUTRI,"Havneveien 1, 7142 UTHAUG",3,PROCP,"FATF, FIM",,Processing method 7. ,,,
50,5038,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1005196,TINE SA AVD VERDAL,"Melkevegen 1, 7652 VERDAL",3,OTHER,MIMC,,,,,
18,1804,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1002706,PELAGIA BODØ SILDOLJEFABRIKK,"Burøyveien 27, 8012 BODØ",3,PROCP,"FATF, FIM, HYDP",,Origin: AQU_A|AQU_W. Processing method 7. ,,,
18,1866,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,121517,NORDLAKS PRODUKTER AS AVD STOKMARKNES,"Industriveien 14, 8450 STOKMARKNES",3,PROCP,"FATF, FIM, HYDP",,Origin: AQU_A. Processing method 7. ,,,
50,5014,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,110049,NUTRIMAR AS AVD FRØYA,"Industriveien 23, 7266 KVERVA",3,PROCP,"FATF, FIM, HYDP, PAP",,Origin: AQU_A. Processing method 7. ,,,
50,5020,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1004819,WOOLERO AS,"Strandaveien 116, 7740 STEINSDALEN",3,PROCP,OTHER,,Processing method 3. ,,,
11,1119,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,110080,BIOSIRK NORGE AS AVD GRØDALAND,"Nordsjøvegen 2371, 4365 NÆRBØ",3,PROCP,"FATF, FATF, PAP, PAPRUM",,Origin: AVES|RUM. Processing method 1 (pressure sterilisation) | Processing method 4 | Processing method 7. ,,,
31,3107,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1003002,ADESSO BIOPRODUCTS AS,"Øraveien 2, 1630 GAMLE FREDRIKSTAD","3, 3",OBIODP,BIOD,,,,,
46,4625,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1000845,HALSTENSEN GRANIT AS,"Bekkjarvik, 5397 BEKKJARVIK",3,OEFP,FIM,,Origin: AQU_W. ,,,
46,4631,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1005681,EQUINOR ASA AVD RAFFINERI MONGSTAD,5954 MONGSTAD,3,OTHER,BIOD,,,,,
18,1868,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1002282,PRESTFJORD AS,"Havnegata 19, 8400 Sortland",3,PROCP,"FATF, FIM",,Origin: AQU_W. Processing method 7. ,,,
32,3218,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1002930,VETERINÆRINSTITUTTET ÅS,"Arboretveien 57, 1433 ÅS",1,PROCP,OTHER,,Processing method 2. ,,,
46,4621,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1002783,INVERTAPRO AS,"Dalsmoen 69, 5709 VOSS",3,PROCP,PAP,,Origin: INS. Processing method 7. ,,,
11,1149,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1002725,SEAGARDEN AS AVD AVALDSNES,"HUSØYVEGEN 278, 4262 AVALDSNES",3,PROCP,"COL, FATF, FIM, FIM, HYDP",,Origin: AQU_A|AQU_W. Processing method 7. ,,,
55,5532,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,110031,BIOSIRK NORGE AS AVD BALSFJORD,"Stormoen, 9050 STORSTEINNES",1,PROCP,"FATOT, MBM",,Processing method 4. ,,,
46,4626,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1000779,BIOMEGA NORWAY AS,"Skaganeset 15, 5382 Skogsvåg",3,PROCP,"FATF, FIM, HYDP",,Origin: AQU_A. Processing method 7. ,,,
11,1149,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1005565,SEAGARDEN AS AVD AVALDSNES,"HUSØYVEGEN 278, 4262 AVALDSNES",3,PROCP,HYDP,,Origin: AQU_A|AQU_W. Processing method 7. ,,,
32,3228,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1000936,ROMERIKE BIOGASSANLEGG,"Miljøparkvegen 105, 2160 VORMSUND","2, 3",PROCP,OTHER,,Processing method 1 (pressure sterilisation). ,,,
55,5540,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1000473,PELAGIA DJUPVIK,"Gambukta 10, 9146 OLDERDALEN",2,OEFP,"FATOT, OTHER",,,,,
18,1834,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,800078,PELAGIA LOVUND,"Naustholmen, 8764 LOVUND",3,OEFP,"FATF, FIM, HYDP",,Origin: AQU_A|AQU_W. ,,,
15,1515,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1005994,HAVILA BIOGASS HUSTADVIKA AS,"Varhol Industriområde, 6440 ELNESVÅGEN",2,OEFP,MBM,,,,,
56,5603,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1001137,FINNMARK HAVFISKE AS,"Havneveien 44, 9610 RYPEFJORD",3,PROCP,"FATF, FIM",,Origin: AQU_W. Processing method 7. ,,,
15,1525,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,120352,VITAL SEAFOOD AS,"Kyrkjegata 57, 6200 STRANDA",3,PROCP,"FATOL, FIM",,Origin: AQU_A. Fishmeal processing method | Processing method 7. ,,,
50,5038,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,200089,ECOPRO AS,"Skjørdalen, 7657 VERDAL","2, 3",PROCP,OTHER,,Processing method 1 (pressure sterilisation). ,,,
11,1101,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1002291,PRIMA PROTEIN AS,"Hovlandsveien 64, 4374 EGERSUND",3,PROCP,"FATF, FIM",,Origin: AQU_W. Processing method 7. ,,,
56,5603,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1000973,FINNMARK HAVFISKE AS,"Havneveien 44, 9610 RYPEFJORD",3,PROCP,"FATF, FIM",,Origin: AQU_W. Processing method 7. ,,,
11,1101,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1000920,PELAGIA PROTEIN,"Varbergveien 61, 4371 EGERSUND",3,PROCP,FIM,,Origin: AQU_W. Processing method 7. ,,,
15,1578,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1004864,NORINSECT AS,"Strandgata 27, 6250 STORDAL",3,PROCP,PAP,,Origin: INS. Processing method 7. ,,,
34,3405,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,400069,MJØSANLEGGET AS,"Åsmarkvegen 301, 2614 LILLEHAMMER","2, 3",PROCP,OTHER,,Processing method 1 (pressure sterilisation). ,,,
15,1508,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1004908,FIRMENICH BJØRGE BIOMARIN AS,"Ellingsøyvegen 920, 6057 ELLINGSØY",3,PROCP,FEED,,Processing method 7. ,,,
34,3403,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,300012,BIOSIRK NORGE AS AVD KATEGORI 3 HAMAR,"Smiuhagan 25, 2323 Ingeberg",3,PROCP,"FATF, PAP, PAPRUM",,Origin: AVES|NON_RUM|RUM. Processing method 1 (pressure sterilisation) | Processing method 4. ,,,
55,5530,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1005344,SEAGARDEN AS   AVD SENJAHOPEN,"Mefjordveien 1537, 9386 SENJAHOPEN",3,PROCP,FIM,,Processing method 7. ,,,
15,1532,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1005617,ROALDSNES AS,"Nordstrandfjørå 71, 6050 VALDERØYA",3,PROCP,"FATF, FATOL, FATOT, FIM",,Origin: AQU_W. Fishmeal processing method. ,,,
46,4626,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1000779,BIOMEGA NORWAY AS,"Skaganeset 15, 5382 Skogsvåg",3,OTHER,"FATF, FIM, HYDP",,Origin: AQU_A. Processing method 7. ,,,
15,1508,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,500058,RAMOEN AS,"Ystenesgata 6B, 6003 ÅLESUND",3,PROCP,"FATF, FATOL, FATOT, FIM",,Origin: AQU_W. Fishmeal processing method | Processing method 7. ,,,
18,1868,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1002742,PRESTFJORD AS,"Havnegata 19, 8400 Sortland",3,PROCP,"FATF, FIM",,Origin: AQU_W. Processing method 7. ,,,
18,1870,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1002755,CALANUS AS AVD PRODUKSJON,"Lilandveien 20, 8407 SORTLAND",3,PROCP,"FATF, FIM",,Origin: AQU_W. Processing method 7. ,,,
34,3411,1002,Approved and registered plants,10204,SECTION IV Processing Plants which are approved according to Article 24(1)(a) of Regulation (EC) No 1069/2009,1000539,BJØRGE MILJØFOR V/SVEIN ERIK BJØRGE,"Stensengdalen 284, 2384 BRUMUNDDAL",3,PROCP,FEED,,Processing method 7. ,,,
