GODKJENT,GODKJENNINGSNUMMER,PRODUKSJONSFORMER,VIRKSOMHETSNAVN,BEDRIFTSNR,ADRESSE,POSTNR,POSTSTED,TELEFON,TELEFAX,KOMMUNENR,KOMMUNE,FYLKENR,FYLKE
,NO10050190,Q,Arne Olsbakk Transport AS,971990880,Koppangveien 35,2480,KOPPANG,,,3423,Stor-Elvdal,34,Innlandet
,NO11050654,Q,ARNESEN ODD WERNER,973283731,Åsly,1592,Våler i Østfold,,,3114,Våler,31,Østfold
,NO14051215,I,ARNTZEN BAKERI AS,971659971,Frostavegen 1752,7633,FROSTA,,,5036,Frosta,50,Trøndelag
,NO11050746,PQ,ARNULF HANSEN OG CO AS AVD JERNVAREHANDEL,983082181,Våga,8185,VÅGAHOLMEN,,,1836,Rødøy,18,Nordland
,NO11050676,Q,ARVE AASEN TRANSPORT AS,971900156,Austredalen 635,6829,HYEN,,,4650,Gloppen,46,Vestland
,NO20053098,R,ARVE OLAV SÆTER,976131150,Haukdalsveien 1612,7288,SOKNEDAL,,,5027,Midtre Gauldal,50,Trøndelag
,NO17051921,Q,ARVE RONG TRANSPORT AS,972237329,Kråkestølen 54,5303,FOLLESE,,,4627,Askøy,46,Vestland
,NO21053266,R,ARVID BORE,973650777,Borestranda 191,4352,KLEPPE,51420253,,1120,Klepp,11,Rogaland
,NO26054302,Q,ARVID GYLLAND AS,971994266,,7236,HOVIN I GAULDAL,,,5028,Melhus,50,Trøndelag
,NO11050583,I,AS HAVSTRAND,977989442,Kjøpmannsgata 37,6005,ÅLESUND,,,1508,Ålesund,15,Møre og Romsdal
,NO11050468,M,AS NESTLÉ NORGE AVD SALG IMPORTVARER/ADM,973100343,Hoffsveien 1 A,0275,OSLO,,,0301,Oslo kommune,03,Oslo
,NO18052236,N,ASAK HESTESENTER ANS,991318224,Mjønerudvegen,1923,SØRUM,,,3205,Lillestrøm,32,Akershus
,NO15051444,I,ASBJØRN M SKOGLUND AS AVD BAKERI,973074946,Nordbyveien 87,1734,HAFSLUNDSØY,69 13 34 65,69 13 34 70,3105,Sarpsborg,31,Østfold
,NO18051951,Q,ASBJØRN NÆSS TRANSPORT AS,976877802,Holmfossveien 12,3282,KVELDE,,,3909,Larvik,39,Vestfold
,NO10050281,I,ASKIM FRUKT- OG BÆRPRESSERI AS,971598816,Osloveien 93,1815,ASKIM,69 81 98 00,69 88 93 01,3118,Indre Østfold,31,Østfold
,NO23053488,M,ASKO OSLO AS,971825197,Nedre Kalbakkvei 22,0950,OSLO,22 16 90 00,22 16 90 10,0301,Oslo kommune,03,Oslo
,NO23053553,N,ASKO ROGALAND AS,974083493,Skurvemarka 21,4331,ÅLGÅRD,,,1122,Gjesdal,11,Rogaland
,NO23053477,I,ASKO VEST AS,973156624,Magnusvegen 10,5262,ARNATVEIT,55 10 90 00,55 10 90 01,4601,Bergen,46,Vestland
,NO10050157,O,ASPIRE BRANDS PET AS,987186119,Professor Birkelandsvei 27 B,1081,OSLO,,,3205,Lillestrøm,32,Akershus
,NO25054209,Q,ATLANTIC TRANSPORT AS,973786067,Verftsgata 6A,6416,MOLDE,,,1506,Molde,15,Møre og Romsdal
,NO17051880,Q,ATLE VELAND TRANSPORT AS,971883405,Stallane 28,5914,ISDALSTØ,,,4631,Alver,46,Vestland
,NO18052552,N,AUDUN NÅRSTAD,973818783,Nårstadvegen 215,4187,OMBO,,,1103,Stavanger,11,Rogaland
,NO15051555,H,AULIE LOMPEBAKERI AS,971658185,Teglverksveien 67,3057,SOLBERGELVA,32 23 60 60,32 87 86 67,3301,Drammen,33,Buskerud
,NO13051073,Q,AUMA TANKTRANSPORT AS,987176431,Aumveien 858,2500,TYNSET,62 48 03 44,,3427,Tynset,34,Innlandet
,NO26054328,M,AUSSIE DE LUXE - JONEID,935979692,Hunnbakken 34,1655,SELLEBAKK,,,3107,Fredrikstad,31,Østfold
,NO19052934,I,AUSTBYGDE BAKERI AS,971846887,Mogan 2,3650,TINN AUSTBYGD,35 09 82 03,35 09 82 03,4026,Tinn,40,Telemark
,NO22053386,P,AVERØY INDUSTRIPARK AS,912396452,Klubbveien 10,6530,AVERØY,,,1103,Stavanger,11,Rogaland
,NO25054184,I,AVISHUSET BRYGGERI AS,920544622,Storgata 27A,4340,BRYNE,,,1121,Time,11,Rogaland
,NO16051627,Q,B H RAMBERG AS AVD LANGHUS,915891608,Snipetjernveien 2,1405,LANGHUS,,,3207,Nordre Follo,32,Akershus
,NO25053784,N,BAKAR JON AS,912175839,Breimsvegen 1809,6826,BYRKJELO,,,4650,Gloppen,46,Vestland
,NO17051930,I,Bakehuset AS avd Bryne,871764832,Bedriftsvegen 1,4344,BRYNE,,,1121,Time,11,Rogaland
,NO18051979,I,BAKEHUSET AS AVD HAUGE & LINDAAS,973156187,Øvregata 161,5525,HAUGESUND,52 70 32 02,52 70 32 07,1106,Haugesund,11,Rogaland
,NO19052782,N,BAKEHUSET AS AVD HEBA,973124897,Jemtlandsveien 5,2383,Brumunddal,22 88 03 00 ,62 34 34 59,3411,Ringsaker,34,Innlandet
,NO19052780,I,BAKEHUSET AS AVD LARVIK,973070177,Strandgata 16,3263,LARVIK,33 11 34 40,33 11 34 41,3909,Larvik,39,Vestfold
,NO18052018,N,BAKEHUSET AS AVD LILLESAND,990062633,Gaupemyrheia 8,4790,LILLESAND,37267040/50,,4215,Lillesand,42,Agder
,NO19052871,N,BAKEHUSET AS AVD MARTENS,974224461,Kokstadvegen 17,5257,KOKSTAD,55 98 54 00,55 98 54 20,4601,Bergen,46,Vestland
,NO19052797,N,BAKEHUSET AS AVD MOLDE,974513366,Skålavegen 5,6422,MOLDE,71 11 51 00,71 11 51 10,1506,Molde,15,Møre og Romsdal
,NO19052874,N,BAKEHUSET AS AVD MØLLHAUSEN FURUSET,974292246,Søren Bulls vei 27,1051,Oslo,23 14 39 00,23 14 39 01,0301,Oslo kommune,03,Oslo
,NO20053030,N,BAKEHUSET AS AVD MØLLHAUSEN ØKERN,971706848,Eikenga 23,0579,Oslo,22 88 03 99,22 64 46 06,0301,Oslo kommune,03,Oslo
,NO19052777,N,BAKEHUSET AS AVD TRONDHEIM,974075334,Østre Rosten 107,7093,TILLER,73848850/52,73 84 88 51,5001,Trondheim,50,Trøndelag
,NO19052741,N,BAKEHUSET AS AVD TUNOLD,982063639,Malakoff 1,6770,NORDFJORDEID,57 86 48 88,57 86 13 10,4649,Stad,46,Vestland
,NO25053811,N,BAKEHUSET NORD-NORGE AS AVD ALTA,990580820,Thomasbakkveien 9,9513,ALTA,78435077,78435170,5601,Alta,56,Finnmark
,NO25053818,N,BAKEHUSET NORD-NORGE AS AVD FINNSNES,973189123,Steinbruddveien 7,9308,FINNSNES,778 51 180,778 51 192,5530,Senja,55,Troms
,NO25053807,N,BAKEHUSET NORD-NORGE AS AVD HAMMERFEST,974154161,Kransvikveien 6,9601,HAMMERFEST,78421760,78421770,5603,Hammerfest,56,Finnmark
,NO25053808,N,BAKEHUSET NORD-NORGE AS AVD LOFOTEN OG VESTERÅLEN,872425802,Vorsetøyveien 24,8300,SVOLVÆR,76079901,76070949,1865,Vågan,18,Nordland
,NO25053817,N,BAKEHUSET NORD-NORGE AS AVD TROMSØ,974134454,Skattørvegen 17A,9018,TROMSØ,77 69 07 00,77 69 07 01,5501,Tromsø,55,Troms
,NO25053806,N,Bakehuset Nord-Norge avd. Vadsø,989019392,Terje Wolds gate 3,9803,VADSØ,,,5607,Vadsø,56,Finnmark
,NO19052778,N,BAKER BRUN PRODUKSJON AS AVD BERGEN,972424900,Espehaugen 34,5258,BLOMSTERDALEN,55 34 96 05,,4601,Bergen,46,Vestland
,NO10050365,N,BAKER JØRGENSEN AS AVD PRODUKSJON,973146327,Torvet 11,4836,ARENDAL,37 00 35 60,37 02 71 66,4203,Arendal,42,Agder
,NO25054166,I,Baker Kristiansen as,975882446,Storgata 111,2390,MOELV,623 46 397,,3411,Ringsaker,34,Innlandet
,NO18051970,N,BAKERIE AS,991274960,Bryggja,6711,BRYGGJA,57853201,57853256,4649,Stad,46,Vestland
,NO18051982,I,BAKERIET I LOM AS,985836590,Sognefjellsvegen 7,2686,LOM,930 61 626m,,3434,Lom,34,Innlandet
,NO25054170,I,BAKERIET I VALDRES AS,914331978,Fautrudvegen 56,2910,AURDAL,,,3451,Nord-Aurdal,34,Innlandet
,NO19052914,N,BAKERIET MO I RANA AS AVD MO,971828935,Midtre gate 16,8624,MO I RANA,751 29300,75 12 93 02,1833,Rana,18,Nordland
,NO26054295,N,BAKEVERKET AS,992132663,Melkevegen 4,3919,PORSGRUNN,47865044,35540701,4001,Porsgrunn,40,Telemark
,NO11050577,Q,BAKKE TRANSPORT AS,987738138,Epleveien 19,3302,HOKKSUND,,,3314,Øvre Eiker,33,Buskerud
,NO18052547,I,BALDER BRYGG AS,997372360,Riverdalen 5,6863,LEIKANGER,,,4640,Sogndal,46,Vestland
,NO17051794,Q,BALDER BULK AS,915662439,Myrvangvegen 3,2040,KLØFTA,,,3209,Ullensaker,32,Akershus
,NO24053640,P,BALSFJORD TERMINALEN AS,894738502,Brennmoveien 31,9050,STORSTEINNES,,,5532,Balsfjord,55,Troms
,NO18052158,M,BALTIC TRADING AS,886256272,Kaldåkerveien 7,1954,SETSKOG,,,3226,Aurskog-Høland,32,Akershus
,NO18052545,N,BAMA INDUSTRI AS AVD MOSS,971622105,Årvollskogen 60,1529,MOSS,69 23 64 20,69 23 64 39,3103,Moss,31,Østfold
,NO12050891,I,BAMA INDUSTRI AS AVD SALATER,976684338,Terminalen 18,3400,Lier,32 24 22 22,,3312,Lier,33,Buskerud
,NO17051781,I,BAMA STORKJØKKEN AS AVD 145 STAVANGER STORKJØKKEN,996376079,Skurvemarka 21,4331,ÅLGÅRD,,,1122,Gjesdal,11,Rogaland
,NO18052214,N,"BARLAUP, C L EQUESTRIAN",985024340,Valleåsen 8,3174,REVETAL,,,3905,Tønsberg,39,Vestfold
,NO13050991,Q,BARLIEN J TRANSPORT AS,971836407,Skogmo,7863,OVERHALLA,,,5047,Overhalla,50,Trøndelag
A,NO20053075,DENO,BASF AS AVD HOVEDKONTOR,973159518,Lilleakerveien 2B,0283,OSLO,,,0301,Oslo kommune,03,Oslo
,NO19052935,IN,BASF AS AVD SANDEFJORD,873159502,Framnesveien 41,3222,SANDEFJORD,33 44 68 00,33 44 89 90,3907,Sandefjord,39,Vestfold
,NO21053265,MN,BASIC HORSECARE NORGE AS,992393815,Tømmernes 15,5212,SØFTELAND,,,4624,Bjørnafjorden,46,Vestland
,NO19052747,M,BAXT LIERNE AS,918895981,Nyskaperveien 40,7884,SØRLI,,,5042,Lierne,50,Trøndelag
,NO18052160,N,BENGT SOLBERG,814023362,Gurannveien 48,3089,HOLMESTRAND,,,3903,Holmestrand,39,Vestfold
,NO10050163,I,BERENTSENS DESTILLERI,974077558,Jernbaneveien 28,4370,EGERSUND,51 49 01 45,51 49 10 73,1101,Eigersund,11,Rogaland
,NO14051420,I,BERG LIPIDTECH AS,924301392,Sjukenesstranda 62,6037,EIDSNES,,,1531,Sula,15,Møre og Romsdal
,NO26054266,I,BERGAN GÅRD,978309798,Berganvegen 139,3729,SKIEN,,,4003,Skien,40,Telemark
,NO11050564,Q,BERGE REDERI AS,982252644,Sandvika,7242,KNARRLAGSUND,72 44 80 00,,5056,Hitra,50,Trøndelag
,NO13051078,Q,Bergen kraftfor transport as ,980684784,,5303,Follese,56 33 16 95,,4627,Askøy,46,Vestland
,NO18052666,N,BERGLYD ROLF JOSTEIN,973882473,Berrjodveien 159,4380,HAUGE I DALANE,,,1111,Sokndal,11,Rogaland
,NO18052454,N,BERGQUIST BO,973887629,Godøynesveien 55,8050,TVERLANDET,,,1804,Bodø,18,Nordland
,NO17051872,Q,BERNT EIVIND VALAND TRANSPORT,984737424,Slettmyrhagen 8,4034,STAVANGER,,,1103,Stavanger,11,Rogaland
,NO25054167,IN,BERTHAS BAKERIER AS,973203665,Tulipanvegen 1,2864,FALL,61 12 99 70,61 12 24 24,3447,Søndre Land,34,Innlandet
,NO12050827,IN,BERTHAS BAKERIER AS,973203665,Tulipanveien 1,2864,FALL,61 12 99 70,61 12 24 24,3447,Søndre Land,34,Innlandet
,NO19052800,J,BIEBUTIKKEN - NORSK BIUTSTYR AS,919052368,Peter Jebsens veg 17,5265,YTRE ARNA,,,4601,Bergen,46,Vestland
,NO17051892,M,BILTEMA NORGE AS AVD 216 HAMAR,987440287,Olrud City,2320,FURNES,,,3411,Ringsaker,34,Innlandet
,NO10050391,Q,BIO FEEDER AS,992507136,Tråvik 44B,5384,TORANGSVÅG,56 18 30 70,,4625,Austevoll,46,Vestland
,NO10050391,Q,BIO FEEDER AS,992507136,Troland,5384,TORANGSVÅG,56 18 30 70,,4625,Austevoll,46,Vestland
,NO20053026,I,BIOCO AS,919676167,Sloraveien 60,1878,HÆRLAND,,,3118,Indre Østfold,31,Østfold
,NO24053667,I,BIOFORM AS,981549147,Bjørgaveien 2,9310,SØRREISA,,,5526,Sørreisa,55,Troms
A,NO10050202,CM,BIOMAR AS AVD KARMØY,976633202,Husøyvegen 285,4262,AVALDSNES,,,1149,Karmøy,11,Rogaland
A,NO10050018,HU,BIOMAR AS AVD MYRE,973068032,Bolstads vei 24,8430,MYRE,,,1868,Øksnes,18,Nordland
,NO10050264,I,BIOMEGA NORWAY AS,983090842,Skageneset,5382,Skogsvåg,,,4626,Øygarden,46,Vestland
,NO12050813,I,BIOSIRK NORGE AS AVD GRØDALAND,973155725,Nordsjøvegen 2371,4365,NÆRBØ,,,1119,Hå,11,Rogaland
,NO11050689,I,BIOSIRK NORGE AS AVD KATEGORI 3 HAMAR,971703598,Smiuhagan 25,2323,Ingeberg,,,3403,Hamar,34,Innlandet
,NO12050814,I,BIOSIRK NORGE AS AVD MOSVIK,972253987,Kvernviken Industriområde,7690,MOSVIK,,,5053,Inderøy,50,Trøndelag
,NO22053421,Q,BIOSTAR AS,986442820,Burøyveien 30,8012,BODØ,,,1804,Bodø,18,Nordland
,NO20053174,O,BIOVET AS,992493348,Storøyaveien 10A,3231,SANDEFJORD,,,3907,Sandefjord,39,Vestfold
,NO20053161,P,BIRGIT KARIANNE AAS LUND,877952142,Skalleåsveien 297,1892,DEGERNES,,,3120,Rakkestad,31,Østfold
,NO12050782,Q,BJERKELIA TRANSPORT AS,976795652,Dysterud,2166,Oppaker,,,3228,Nes,32,Akershus
,NO13051124,HQ,BJØRGE MILJØFOR V/SVEIN ERIK BJØRGE,983065015,Stensengdalen 284,2384,BRUMUNDDAL,,,3411,Ringsaker,34,Innlandet
,NO18052549,N,BJØRN ANDRE SKJØNHAUG,991625232,Elgfaret 9,2022,GJERDRUM,,,3230,Gjerdrum,32,Akershus
,NO18052456,N,Bjørn Vestergård Lognvik,985797595,Uppebøen,3840,SELJORD,,,4022,Seljord,40,Telemark
,NO17051776,R,BJØRN VIDAR GARSEG,986588868,Engsveien 134,1816,SKIPTVET,,,3116,Skiptvet,31,Østfold
,NO18052149,N,BJØRN ØSTEBRØD,,Horpestadvegen 21,4341,BRYNE,,,,,,
,NO25054189,NQ,BJØRVIK BJØRK OG BØK,921267444,Vassdalsvegen 779,6963,DALE I SUNNFJORD,,,4646,Fjaler,46,Vestland
,NO16051764,Q,BLOMQUIST TRANSPORT AS,914849063,Schultzes gate 6B,3256,LARVIK,,,3909,Larvik,39,Vestfold
,NO18052565,N,BODIL ØFSTHUS HENRIKSEN,,Lommedalsveien 338,1350,LOMMEDALEN,,,,,,
,NO18052069,N,BOGEN GÅRD PETTER SAND,990295808,Bogenveien 44,3160,STOKKE,,,3907,Sandefjord,39,Vestfold
,NO10050212,MO,BOLE NORGE AS,974420295,Ramstadveien 1,1850,MYSEN,69 84 60 60,,3118,Indre Østfold,31,Østfold
,NO12050923,H,BONDEN GRØNTHANDEL AS,972061433,Lærumveien 47,3070,SANDE I VESTFOLD,33 77 04 80,33 77 69 84,3903,Holmestrand,39,Vestfold
,NO23053628,FGHIP,BORREGAARD AS AVD ORGANISK KJEMI,974106191,Toveien 28,1540,VESTBY,69 11 80 00,69 11 88 11,3105,Sarpsborg,31,Østfold
,NO23053563,FGHIP,BORREGAARD AS AVD ORGANISK KJEMI,974106191,Hjalmar Bjørgesvei 105,1604,FREDRIKSTAD,69 11 80 00,69 11 88 11,3105,Sarpsborg,31,Østfold
,NO23053564,FGHIP,BORREGAARD AS AVD ORGANISK KJEMI,974106191,"Borg Havnevei 6, Lager 8",1630,GAMLE FREDRIKSTAD,69 11 80 00,69 11 88 11,3105,Sarpsborg,31,Østfold
,NO10050057,FGHIP,BORREGAARD AS AVD ORGANISK KJEMI,974106191,Hjalmar Wessels vei 6,1721,SARPSBORG,69 11 80 00,69 11 88 11,3105,Sarpsborg,31,Østfold
,NO23053565,FGHIP,BORREGAARD AS AVD ORGANISK KJEMI,974106191,Toveien 45 Gnr. 81 bnr. 27,1540,VESTBY,69 11 80 00,69 11 88 11,3105,Sarpsborg,31,Østfold
,NO23053627,FGHIP,BORREGAARD AS AVD ORGANISK KJEMI,974106191,"Borg Havnevei 20, Eiendom 303_1920, Lager 4",1630,GAMLE FREDRIKSTAD,69 11 80 00,69 11 88 11,3105,Sarpsborg,31,Østfold
,NO17051870,N,BORSHEIM AGRI AS,918932631,Årsvollveien 303,4312,SANDNES,,,1108,Sandnes,11,Rogaland
,NO26054242,N,BOTOLFSEN BERNH IMPORT AS,971929847,Breivollveien 25F,0668,OSLO,22 07 69 50,22 64 36 67,0301,Oslo kommune,03,Oslo
,NO11050597,N,Braaten kjæledyrspesialisten,917565937,Haavard Martinsensvei 5,0978,Oslo,,,0301,Oslo kommune,03,Oslo
,NO18052481,O,BRANDSLIEN PER,973705814,Brandslia 3,2656,FOLLEBU,,,3441,Gausdal,34,Innlandet
,NO17051896,I,Braskereidfoss Kornsilo,873205032,Braskereidsvegen 50,2435,BRASKEREIDFOSS,62423308,62423622,3419,Våler (Hedm.),34,Innlandet
,NO18052475,N,BREKKA GÅRD,919297018,Elsetvegen 4,3731,SKIEN,,,4003,Skien,40,Telemark
,NO22053414,KM,BRENCEL AS,929707826,Falsens gate 2,3018,DRAMMEN,,,3301,Drammen,33,Buskerud
,NO10050402,N,BRENNTAG NORDIC AS,973284592,Kalnesveien 1,1712,GRÅLUM,69 10 25 00,69 10 25 01,3105,Sarpsborg,31,Østfold
,NO12050896,P,BRING CARGO AS  AVD MÅLØY SKIPSEKSPEDISJON,974114801,Inter-Com Terminalen,6700,MÅLØY,57 85 10 77,,4602,Kinn,46,Vestland
,NO18052594,Q,BRING CARGO AS AVD STAVANGER,974301105,Kontinentalvegen 31,4056,TANANGER,,,1124,Sola,11,Rogaland
,NO20053096,Q,BRING CARGO INTERNATIONAL NORGE AS BCI HOVEDKONTOR,923817441,Biskop Gunnerus' gate 14A,0185,OSLO,,,0301,Oslo kommune,03,Oslo
,NO21053184,M,BRIS KONSULT AS,994584278,Gullregnveien 8,3150,TOLVSRØD,,,3905,Tønsberg,39,Vestfold
,NO10050265,O,BRYNE LANDBRUKSSERVICE AS,972001481,Hålandsveien 31,4349,Bryne,,,1121,Time,11,Rogaland
,NO12050830,N,BRYNILD NORGE AS AVD PRODUKSJON FREDRIKSTAD,971599502,Mosseveien 1-3,1610,FREDRIKSTAD,,,3107,Fredrikstad,31,Østfold
,NO10050153,H,BRØDRENE HØISÆT AS,978118151,Gjøgrivn. 34,3080,Holmestrand,,,3903,Holmestrand,39,Vestfold
,NO13051013,Q,BRØDRENE LARSEN TRANSPORT AS,971853484,Jonsbakken 17,7110,FEVÅG,95830282,,5054,Indre Fosen,50,Trøndelag
,NO23053529,Q,BRØDRENE MELBY TRANSPORT AS,871735522,Autenstubben 10,1930,AURSKOG,,,3226,Aurskog-Høland,32,Akershus
,NO11050667,Q,BRØDRENE MØRKEN TRANSPORT AS,985498601,Røyskattlia 19,3174,Revetal,,,3905,Tønsberg,39,Vestfold
,NO11050553,Q,BRØDRENE NILSEN EFTF V/BJØRNAR NILSEN,971879033,Hunsrødveien 3,3241,SANDEFJORD,,,3907,Sandefjord,39,Vestfold
,NO18052587,N,BRØNN OG ENERGIBORING BUSKERUD AS,984666748,Furuhallveien 8B,3512,HØNEFOSS,,,3310,Hole,33,Buskerud
