type,id,score,year,category,provenance,hasUrl,title,signals
report,nbs-systemkritikk,5.0,2025,bransje,external_report,yes,"NBS — Systemkritikk","cat=3.5, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=4.95"
report,juridisk-eudr-norge-2025,5.0,2025,juridisk,external_report,yes,"EUDR og norsk dagligvare","cat=4.5, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=5.45"
report,akademia-sifo-retail-media-2025,5.0,2025,akademia,external_report,yes,"SIFO: Retail media og forbrukermakt","cat=4, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=5.20"
report,akademia-nhh-foros-media-2025,5.0,2025,akademia,external_report,yes,"NHH/Foros: Vertikal integrasjon i media og dagligvare","cat=4, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=5.20"
report,hagar-2024-25,5.0,2025,bransje,external_report,yes,"Hagar plc — Management Report 2024/25 and Q4 Results","cat=3.5, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=4.95"
report,dk-salling-coop-decision-2025,5.0,2025,juridisk,external_report,yes,"Salling Group A/S erhvervelse af dele af Coop Danmark A/S (Konkurrencerådsafgørelse 26. marts 2025)","cat=4.5, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=5.45"
report,salling-coop-danmark-2025,5.0,2025,akademia,external_report,yes,"Analyse af Salling Group A/S og Coop Danmark A/S — Erhvervsøkonomisk metode","cat=4, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=5.20"
report,nordic-food-alert-2025,5.0,2025,offentlig,external_report,yes,"Beyond Zero — Nordic Architecture on the Road Towards Renewed Practices (Nord 2025:010)","cat=4, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=5.20"
report,pubmed-sigala-2025,5.0,2025,akademia,external_report,yes,"Reducing food waste in the HORECA sector using AI-based waste tracking technology","cat=4, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=5.20"
report,norgesgruppen-halvarsrapport-h1-2025,5.0,2025,bransje,external_report,yes,"NorgesGruppen halvarsrapport H1 2025","cat=3.5, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=4.95"
report,konkurrensverket-2025-5-livsmedelsutredning,5.0,2025,konkurransetilsyn,external_report,yes,"Konkurrensverket rapport 2025:5 — livsmedelsutredningen","cat=5, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=5.70"
report,plantefonden-projects-2023-2025,5.0,2025,bransje,external_report,yes,"Plantefonden — projekter og bevillinger 2023-2025","cat=3.5, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=4.95"
report,kbh-food-strategy-madhus,5.0,2025,bransje,external_report,yes,"Koebenhavns Madhus — maaltidstrategi og status","cat=3.5, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=4.95"
thesis,huynh-mortensen-2025,5.0,2025,master,external_report,yes,"Analyse af Salling Group A/S og Coop Danmark A/S","cat=4, prov=5, rec=0.5, url=0, tag=0, doi=0, award=0, raw=5.00"
thesis,nilsen-paulsen-2025,5.0,2025,master,external_report,yes,"Pass-through av ravarepriser for kakao- og kaffeprodukter","cat=4, prov=5, rec=0.5, url=0, tag=0.2, doi=0, award=0, raw=5.20"
thesis,sundqvist-phd-2025,5.0,2025,phd,external_report,yes,"Navigating a Transformative Governance Maze","cat=5, prov=5, rec=0.5, url=0, tag=0.2, doi=0, award=0, raw=5.70"
thesis,sedwall-2025,5.0,2025,master,external_report,yes,"Hybrid Supply Chain Models in Swedish Grocery Retail","cat=4, prov=5, rec=0.5, url=0, tag=0.2, doi=0.1, award=0, raw=5.30"
thesis,duong-2025,5.0,2025,master,external_report,yes,"Common Grocery Self-Service Checkout Failures That Customers Can Resolve Without Employee Assistance","cat=4, prov=5, rec=0.5, url=0, tag=0.2, doi=0, award=0, raw=5.20"
thesis,hagan-2025,5.0,2025,master,external_report,yes,"The Impact of Food Loss and Waste Reduction Practices on Consumer Grocery Store Choice","cat=4, prov=5, rec=0.5, url=0, tag=0.2, doi=0, award=0, raw=5.20"
thesis,slu-house-crickets-2025,5.0,2025,phd,external_report,yes,"Integrating house crickets in circular food systems","cat=5, prov=5, rec=0.5, url=0, tag=0.2, doi=0, award=0, raw=5.70"
thesis,van-straten-2025,5.0,2025,master,external_report,yes,"Circular business models in Finnish food companies","cat=4, prov=5, rec=0.5, url=0, tag=0.2, doi=0, award=0, raw=5.20"
report,meld-st-11-selvforsyning,5.0,2024,offentlig,external_report,yes,"Strategi for auka sjoelvforsyning","cat=4, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=5.20"
report,meld-st-4-dagligvare,5.0,2024,offentlig,external_report,yes,"Status dagligvaretiltak (10-punktsplanen)","cat=4, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=5.20"
report,sou-2024-8-svensk-beredskap,5.0,2024,offentlig,external_report,yes,"Livsmedelsberedskap for en ny tid","cat=4, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=5.20"
report,kt-marginstudie-2024-del1,5.0,2024,konkurransetilsyn,external_report,yes,"Marginstudie Del 1","cat=5, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=5.70"
report,kt-prisjeger-saken-2024,5.0,2024,konkurransetilsyn,external_report,yes,"Prisjeger-saken (4,9 mrd. NOK)","cat=5, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=5.70"
report,kt-innkjopspriser-2017-2023,5.0,2024,konkurransetilsyn,external_report,yes,"Kartlegging av innkjopspriser 2017-2023","cat=5, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=5.70"
report,is-markedsstruktur-2024,5.0,2024,konkurransetilsyn,external_report,yes,"Island — Markedskonsentrasjon og vertikal integrasjon","cat=5, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=5.70"
report,se-konkurrensverket-2024-5,5.0,2024,konkurransetilsyn,external_report,yes,"Konkurrensverket Rapport 2024:5","cat=5, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=5.70"
report,coop-2024,5.0,2024,bransje,external_report,yes,"Coop Aarsresultat 2024","cat=3.5, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=4.95"
report,norgesgruppen-2024-25,5.0,2024,bransje,external_report,yes,"NorgesGruppen Aarsrapport 2024","cat=3.5, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=4.95"
report,reitan-2024-25,5.0,2024,bransje,external_report,yes,"Reitan Retail / REMA 1000 (2024/2025)","cat=3.5, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=4.95"
report,oslo-economics-forsvar-2024,5.0,2024,konsulentrapport,external_report,yes,"Oslo Economics — Konkurransen bedre enn sitt rykte","cat=4, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=5.20"
report,beredskap-finsk-modell-hvk,5.0,2024,beredskap,external_report,yes,"Finsk matberedskap — HVK-modellen","cat=3.5, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=4.95"
report,beredskap-nibio-selvforsyning-metode,5.0,2024,beredskap,external_report,yes,"NIBIO: Metode for selvforsyningsberegning","cat=3.5, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=4.95"
report,sirkularitet-matsvinn-2024,5.0,2024,sirkularitet,external_report,yes,"Matsvinn i Norden — status 2024","cat=3.5, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=4.95"
report,juridisk-eiendomsmakt-lokal-konkurranse,5.0,2024,juridisk,external_report,yes,"Eiendomsmakt og lokal konkurranse","cat=4.5, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=5.45"
report,akademia-nhh-butikkstruktur-2024,5.0,2024,akademia,external_report,yes,"NHH: Butikkstruktur og lokal konkurranse","cat=4, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=5.20"
report,akademia-uib-kjopermakt,5.0,2024,akademia,external_report,yes,"UiB: Kjoepermakt i nordisk dagligvare","cat=4, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=5.20"
report,asko-barekraft-2024,5.0,2024,bransje,external_report,yes,"Bærekraft i ASKO 2024","cat=3.5, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=4.95"
report,axfood-annual-report-2024,5.0,2024,bransje,external_report,yes,"Axfood Annual and Sustainability Report 2024","cat=3.5, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=4.95"
report,coop-norge-2024,5.0,2024,bransje,external_report,yes,"Coop Norge ÅRS- og bærekraftsrapport 2024","cat=3.5, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=4.95"
report,ica-gruppen-annual-report-2024,5.0,2024,bransje,external_report,yes,"ICA Gruppen Annual Report 2024","cat=3.5, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=4.95"
report,kesko-annual-report-2024,5.0,2024,bransje,external_report,yes,"Kesko Annual Report 2024","cat=3.5, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=4.95"
report,salling-group-2024,5.0,2024,bransje,external_report,yes,"Salling Group Annual Report 2024 — Every Day Better","cat=3.5, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=4.95"
report,is-samkeppni-annual-report-2024,5.0,2024,konkurransetilsyn,external_report,yes,"Samkeppniseftirlitið Ársskýrsla 2024","cat=5, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=5.70"
report,konkurrensverket-summary-2024,5.0,2024,konkurransetilsyn,external_report,yes,"Summary of the Swedish Competition Authority's inquiry into the food industry 2023–2024","cat=5, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=5.70"
report,karlstad-declaration-2024,5.0,2024,offentlig,external_report,yes,"UNESCO Biosphere Reserves — A Path to Local Holistic Sustainability (Nord 2024:023)","cat=4, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=5.20"
report,dagligvaretilsynet-aarsrapport-2024,5.0,2024,konkurransetilsyn,external_report,yes,"Dagligvaretilsynet — Årsrapport 2024","cat=5, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=5.70"
report,eu-utp-report-2024,5.0,2024,offentlig,external_report,yes,"Implementing the prohibition of unfair trading practices to strengthen the position of farmers and operators in the agricultural and food supply chain — State of play (COM(2024) 176 final)","cat=4, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=5.20"
report,eu-utp-staff-working-doc-2024,5.0,2024,offentlig,external_report,yes,"Unfair Trading Practices (UTP) — Overview tables on Member States' transposition choices and enforcement activities (SWD(2024) 106 final)","cat=4, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=5.20"
report,pubmed-van-der-fels-klerx-2024,5.0,2024,akademia,external_report,yes,"Framework for evaluation of food safety in circular food systems","cat=4, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=5.20"
report,pubmed-van-leeuwen-2024,5.0,2024,akademia,external_report,yes,"A novel approach to identify knowledge gaps on food safety in circular food systems","cat=4, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=5.20"
report,pubmed-hiis-2024,5.0,2024,akademia,external_report,yes,"Unlocking bacterial potential to reduce farmland N2O emissions","cat=4, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=5.20"
report,pubmed-szulecka-2024,5.0,2024,akademia,external_report,yes,"Food waste governance architectures in four European countries","cat=4, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=5.20"
report,matsvinnutvalget-2024,5.0,2024,offentlig,external_report,yes,"Matsvinnutvalgets anbefalinger","cat=4, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=5.20"
report,pty-finnish-grocery-trade-2024,5.0,2024,bransje,external_report,yes,"Finnish Grocery Trade Statistics 2024","cat=3.5, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=4.95"
report,coop-danmark-2024,5.0,2024,bransje,external_report,yes,"Coop Danmark arsrapport 2024","cat=3.5, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=4.95"
report,kfst-foedevarehandelslov-evaluering-2024,5.0,2024,konkurransetilsyn,external_report,yes,"KFST Evaluering af foedevarehandelsloven 2024","cat=5, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=5.70"
report,etmv-toimintakertomus-2024,5.0,2024,konkurransetilsyn,external_report,yes,"Elintarvikemarkkinavaltuutettu toimintakertomus 2024","cat=5, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=5.70"
report,arla-farmahead-check-2024,5.0,2024,bransje,external_report,yes,"Arla FarmAhead Check — Sustainability Incentive Model 2024","cat=3.5, prov=5, rec=0.5, url=0, sup=0, tag=0.2, raw=4.95"
thesis,nguyen-hartmann-2024,5.0,2024,master,external_report,yes,"Restrictive covenants in the Norwegian grocery market: an empirical study","cat=4, prov=5, rec=0.5, url=0, tag=0.2, doi=0.1, award=0.2, raw=5.50"
thesis,skulstad-svensson-2024,5.0,2024,master,external_report,yes,"ICAs fall i Norge","cat=4, prov=5, rec=0.5, url=0, tag=0.2, doi=0, award=0, raw=5.20"
thesis,halseth-phd-2024,5.0,2024,phd,external_report,yes,"Competition and Grocery Retail Formats: Empirical Evidence from a Horizontal Acquisition in Norway","cat=5, prov=5, rec=0.5, url=0, tag=0.2, doi=0, award=0, raw=5.70"
thesis,sundin-phd-2024,5.0,2024,phd,external_report,yes,"Sustainability of food waste prevention through food consumption","cat=5, prov=5, rec=0.5, url=0, tag=0.2, doi=0, award=0, raw=5.70"
thesis,granlund-lindskog-2024,5.0,2024,master,external_report,yes,"The Status of Operational Technology Cybersecurity within The Norwegian Food Supply Sector","cat=4, prov=5, rec=0.5, url=0, tag=0.2, doi=0.1, award=0, raw=5.30"
thesis,hasle-tjostheim-2024,5.0,2024,master,external_report,yes,"Lavprissegmentets utvikling i det norske dagligvaremarkedet","cat=4, prov=5, rec=0.5, url=0, tag=0.2, doi=0, award=0.2, raw=5.40"
thesis,jorgensen-ahmadi-2024,5.0,2024,master,external_report,yes,"Rema 1000: Nokkelen til succes pa det danske detailmarked","cat=4, prov=5, rec=0.5, url=0, tag=0.2, doi=0, award=0, raw=5.20"
thesis,mattila-2024,5.0,2024,master,external_report,yes,"Impacts of data-driven demand forecasting in reducing food waste and CO2 emissions in campus restaurants","cat=4, prov=5, rec=0.5, url=0, tag=0.2, doi=0.1, award=0, raw=5.30"
thesis,naess-2024,5.0,2024,master,external_report,yes,"To-rolle-plattformer og egne merkevarer: en analyse av konkurranse- og velferdseffekter","cat=4, prov=5, rec=0.5, url=0, tag=0.2, doi=0, award=0, raw=5.20"
thesis,stahl-2024,5.0,2024,master,external_report,yes,"Politics You Can Eat: Insights from the Implementation of Sodertalje Municipality's Food Supply Strategy","cat=4, prov=5, rec=0.5, url=0, tag=0.2, doi=0.1, award=0, raw=5.30"
thesis,zakeri-lei-2024,5.0,2024,master,external_report,yes,"AI in the Swedish Food System: Exploring Adoption, Challenges, and Opportunities in Primary Production","cat=4, prov=5, rec=0.5, url=0, tag=0.2, doi=0.1, award=0, raw=5.30"
thesis,rislakki-2024,5.0,2024,master,external_report,yes,"Promoting the Planetary Health Diet in Grocery Retail: Comparison of Retail Chains in Finland","cat=4, prov=5, rec=0.5, url=0, tag=0.2, doi=0, award=0, raw=5.20"
thesis,segersven-2024,5.0,2024,master,external_report,yes,"Development of risk management and resilience of supply chains in Finnish food industry companies post-COVID-19","cat=4, prov=5, rec=0.5, url=0, tag=0.2, doi=0.1, award=0, raw=5.30"
report,riksrevisjonen-matsikkerhet-2023,5.0,2023,offentlig,external_report,yes,"Riksrevisjonen: Matsikkerhet og beredskap","cat=4, prov=5, rec=0.3, url=0, sup=0, tag=0.2, raw=5.00"
report,kt-prisjusteringsvinduer-2023,5.0,2023,konkurransetilsyn,external_report,yes,"Utredning om prisjusteringsvinduer","cat=5, prov=5, rec=0.3, url=0, sup=0, tag=0.2, raw=5.50"
report,soa-emv-2023,5.0,2023,konsulentrapport,external_report,yes,"SOA — EMV og Vertikal integrasjon","cat=4, prov=5, rec=0.3, url=0, sup=0, tag=0.2, raw=5.00"
report,sirkularitet-definisjoner-wur-emf,5.0,2023,sirkularitet,external_report,yes,"Sirkulaer okonomi i matsystemer — definisjoner","cat=3.5, prov=5, rec=0.3, url=0, sup=0, tag=0.2, raw=4.75"
report,akademia-nhh-matbors-historie,5.0,2023,akademia,external_report,yes,"NHH: Matboersens historie og matprisdannelse","cat=4, prov=5, rec=0.3, url=0, sup=0, tag=0.2, raw=5.00"
report,finland-food-market-ombudsman-2023,5.0,2023,offentlig,external_report,yes,"Elintarvikemarkkinavaltuutetun toimintakertomus 2023","cat=4, prov=5, rec=0.3, url=0, sup=0, tag=0.2, raw=5.00"
report,dagligvaretilsynet-aarsrapport-2023,5.0,2023,konkurransetilsyn,external_report,yes,"Dagligvaretilsynet — Årsrapport 2023","cat=5, prov=5, rec=0.3, url=0, sup=0, tag=0.2, raw=5.50"
report,emv-kartlegging-2023,5.0,2023,offentlig,external_report,yes,"Kartlegging av egne merkevarer og vertikal integrasjon i dagligvaremarkedet","cat=4, prov=5, rec=0.3, url=0, sup=0, tag=0.2, raw=5.00"
report,van-zanten-circularity-2023,5.0,2023,akademia,external_report,yes,"Circularity in Europe strengthens the sustainability of the global food system","cat=4, prov=5, rec=0.3, url=0, sup=0, tag=0.2, raw=5.00"
report,dt-samarbeidsklima-2023,5.0,2023,konkurransetilsyn,external_report,yes,"Samarbeidsklimaet i Dagligvarebransjen 2023","cat=5, prov=5, rec=0.3, url=0, sup=0, tag=0.2, raw=5.50"
report,sodertaelje-diet-green-planet,5.0,2023,akademia,external_report,yes,"Soedertaelje — Diet for a Green Planet","cat=4, prov=5, rec=0.3, url=0, sup=0, tag=0.2, raw=5.00"
thesis,selmani-forre-2023,5.0,2023,master,external_report,yes,"Hvorfor mislyktes Lidl med a etablere seg pa det norske markedet?","cat=4, prov=5, rec=0.3, url=0, tag=0.2, doi=0, award=0, raw=5.00"
thesis,lehtokunnas-phd-2023,5.0,2023,phd,external_report,yes,"Enacting a Circular Economy","cat=5, prov=5, rec=0.3, url=0, tag=0.2, doi=0, award=0, raw=5.50"
thesis,sandbraaten-2023,5.0,2023,master,external_report,yes,"Hvordan kan Norge vri matkonsumet gronnere?","cat=4, prov=5, rec=0.3, url=0, tag=0.2, doi=0.1, award=0.2, raw=5.30"
thesis,handlykken-2023,5.0,2023,master,external_report,yes,"Nudging som atferdsoekonomisk virkemiddel for forbrukeratferd i dagligvare","cat=4, prov=5, rec=0.3, url=0, tag=0.2, doi=0.1, award=0, raw=5.10"
thesis,nikolaev-2023,5.0,2023,master,external_report,yes,"Food supply chain resilience to pandemics: A rapid review","cat=4, prov=5, rec=0.3, url=0, tag=0.2, doi=0.1, award=0, raw=5.10"
thesis,sturen-2023,5.0,2023,master,external_report,yes,"Sustainable bread supply chains in Sweden","cat=4, prov=5, rec=0.3, url=0, tag=0.2, doi=0.1, award=0, raw=5.10"
thesis,tanderup-rasmussen-hansen-2023,5.0,2023,master,external_report,yes,"Fremtidens Coop — En virksomhed i forandring","cat=4, prov=5, rec=0.3, url=0, tag=0.2, doi=0, award=0, raw=5.00"
thesis,makela-2023,5.0,2023,master,external_report,yes,"Managing waste in food supply chains with supply chain collaboration and integration","cat=4, prov=5, rec=0.3, url=0, tag=0.2, doi=0.1, award=0, raw=5.10"
thesis,ortiz-cuadra-2023,5.0,2023,master,external_report,yes,"Learning for Crisis: Improving food security in Uppsala County through participative localized food production","cat=4, prov=5, rec=0.3, url=0, tag=0.2, doi=0.1, award=0, raw=5.10"
thesis,desilva-2023,5.0,2023,master,external_report,yes,"Circular value creation in the Swedish seafood processing industry","cat=4, prov=5, rec=0.3, url=0, tag=0.2, doi=0, award=0, raw=5.00"
thesis,bojo-2023,5.0,2023,master,external_report,yes,"Circular food systems: a content and discourse analysis","cat=4, prov=5, rec=0.3, url=0, tag=0.2, doi=0, award=0, raw=5.00"
report,nou-2022-14,5.0,2022,nou,external_report,yes,"Inntektsmaaling i jordbruket","cat=5, prov=5, rec=0.3, url=0, sup=0, tag=0.2, raw=5.50"
report,menon-emv-innovasjon,5.0,2022,konsulentrapport,external_report,yes,"Menon — EMV og Innovasjon","cat=4, prov=5, rec=0.3, url=0, sup=0, tag=0.2, raw=5.00"
report,dagligvaretilsynet-aarsrapport-2022,5.0,2022,konkurransetilsyn,external_report,yes,"Dagligvaretilsynet — Årsrapport 2022","cat=5, prov=5, rec=0.3, url=0, sup=0, tag=0.2, raw=5.50"
thesis,jacobsen-jansson-2022,5.0,2022,master,external_report,yes,"Norway — the Black Sheep in the Scandinavian Grocery Industry","cat=4, prov=5, rec=0.3, url=0, tag=0.2, doi=0.1, award=0.2, raw=5.30"
thesis,esposito-2022,5.0,2022,master,external_report,yes,"Nar matsvinn blir et politikkomrade","cat=4, prov=5, rec=0.3, url=0, tag=0, doi=0.1, award=0, raw=4.90"
thesis,stein-2022,5.0,2022,phd,external_report,yes,"Sustainable food procurement in public catering: UK vs DK/SE","cat=5, prov=5, rec=0.3, url=0, tag=0.2, doi=0, award=0, raw=5.50"
thesis,tallaksen-2022,5.0,2022,master,external_report,yes,"Mot baerekraftige kostholdsendringer","cat=4, prov=5, rec=0.3, url=0, tag=0.2, doi=0, award=0, raw=5.00"
thesis,adlers-2022,5.0,2022,master,external_report,yes,"Gar det att oka graden av sjalvforsorjning? Svensk notkotts- och spannmalsproduktion","cat=4, prov=5, rec=0.3, url=0, tag=0.2, doi=0.1, award=0.2, raw=5.30"
thesis,nmbu-circular-vegetables-2022,5.0,2022,master,external_report,yes,"Barriers and drivers to a circular economy for vegetables in the Norwegian food sector","cat=4, prov=5, rec=0.3, url=0, tag=0.2, doi=0, award=0, raw=5.00"
report,dagligvaretilsynet-aarsrapport-2021,5.0,2021,konkurransetilsyn,external_report,yes,"Dagligvaretilsynet — Årsrapport 2021","cat=5, prov=5, rec=0.1, url=0, sup=0, tag=0.2, raw=5.30"
report,pubmed-javourez-2021,5.0,2021,akademia,external_report,yes,"Waste-to-nutrition: a review of current and emerging conversion pathways","cat=4, prov=5, rec=0.1, url=0, sup=0, tag=0.2, raw=4.80"
thesis,albizzati-phd-2021,5.0,2021,phd,external_report,yes,"Sustainability Assessment of Food Waste Management","cat=5, prov=5, rec=0.1, url=0, tag=0.2, doi=0, award=0, raw=5.30"
thesis,brancoli-phd-2021,5.0,2021,phd,external_report,yes,"Prevention and valorisation of surplus bread","cat=5, prov=5, rec=0.1, url=0, tag=0.2, doi=0.1, award=0, raw=5.40"
thesis,jevne-schiotz-2021,5.0,2021,master,external_report,yes,"Digitaliseringsstrategier for alternative matsystemer, med utgangspunkt i REKO-ringen","cat=4, prov=5, rec=0.1, url=0, tag=0.2, doi=0.1, award=0, raw=4.90"
thesis,lindstrom-phd-2021,5.0,2021,phd,external_report,yes,"Food for Thought: Essays on Green Public Procurement and the Market for Organic Food","cat=5, prov=5, rec=0.1, url=0, tag=0.2, doi=0.1, award=0, raw=5.40"
thesis,khandaker-2021,5.0,2021,master,external_report,yes,"The resilience of the food supply chain to pandemic COVID-19: grain industry in Sweden","cat=4, prov=5, rec=0.1, url=0, tag=0.2, doi=0.1, award=0, raw=4.90"
thesis,bueso-bordils-2021,5.0,2021,master,external_report,yes,"Circular economy mapping on Bornholm island","cat=4, prov=5, rec=0.1, url=0, tag=0.2, doi=0, award=0, raw=4.80"
report,pubmed-wohner-2020,5.0,2020,akademia,external_report,yes,"Environmental and economic assessment of food-packaging systems with a focus on food waste","cat=4, prov=5, rec=0.1, url=0, sup=0, tag=0.2, raw=4.80"
thesis,martens-norum-2020,5.0,2020,master,external_report,yes,"Importvernets pavirkning pa konsentrasjonen i leverandorleddet","cat=4, prov=5, rec=0.1, url=0, tag=0.2, doi=0, award=0, raw=4.80"
thesis,hebrok-phd-2020,5.0,2020,phd,external_report,yes,"Food Waste: A practice-oriented design for sustainability approach","cat=5, prov=5, rec=0.1, url=0, tag=0.2, doi=0.1, award=0, raw=5.40"
thesis,kayhan-ronnback-2019,5.0,2019,master,external_report,yes,"Dynamics in the Swedish Grocery Retail Industry","cat=4, prov=5, rec=0, url=0, tag=0.2, doi=0.1, award=0, raw=4.80"
thesis,orlova-2019,5.0,2019,master,external_report,yes,"Kan et forbud mot prisdiskriminering fremme etablering av nettaktorer i dagligvaremarkedet?","cat=4, prov=5, rec=0, url=0, tag=0.2, doi=0.1, award=0, raw=4.80"
thesis,moe-2018,5.0,2018,master,external_report,yes,"Alternative Food Networks — the Case of CSA in Norway","cat=4, prov=5, rec=0, url=0, tag=0.2, doi=0.1, award=0, raw=4.80"
thesis,vangelsten-2017,5.0,2017,master,external_report,yes,"Mot et baerekraftig norsk matsystem: Effekt pa selvforsyningsgrad og norsk jordbruk ved redusert konsum av kjott","cat=4, prov=5, rec=0, url=0, tag=0.2, doi=0.1, award=0, raw=4.80"
thesis,schuler-2017,5.0,2017,master,external_report,yes,"Food Loss and Waste in the Fresh Potato Supply Chain of Denmark","cat=4, prov=5, rec=0, url=0, tag=0.2, doi=0, award=0.2, raw=4.90"
thesis,ulsaker-phd-2016,5.0,2016,phd,external_report,yes,"On Vertical Restraints: Essays in Industrial Organzation","cat=5, prov=5, rec=0, url=0, tag=0.2, doi=0.1, award=0, raw=5.30"
