action_id,priority,entity,entity_type,field_or_record,current_db_value,source_value,status,recommended_action,primary_source,local_evidence
CF-COOP-DK-2024,high,Coop Danmark A/S,CompanyFinancial,2024 revenue/operatingResult,"revenueNok=52407.1; operatingResult=988.3","net revenue DKK 33618m; EBIT after special items DKK 634m; Norges Bank 2024 average DKK/NOK 1.5589 gives NOK 52407.1m and NOK 988.3m",applied_2026-05-18,"Applied locally with SourceCitation cit_34787e6bb425563982ca269ae020347e and FieldCitation coverage for revenueNok and operatingResult; EBIT before special items retained in citation notes.","https://coop.dk/kontakt/pressekontakt/aarsrapporter/","research/evidence-pack/arsrapporter/text/coop-danmark-2024.txt lines 95-103, 181-193 and 1497-1506; FX snapshot research/evidence-pack/fx-rates/norges-bank/EXR-A-DKK-NOK-SP-2024-2026-05-18.json"
SH-COOP-DK-2024,medium,Coop Danmark A/S,Shareholder,shareholders,"OK a.m.b.a. 50.82; Coop amba 49.18","OK a.m.b.a. 50.82; Coop amba 49.18",applied_2026-05-18,"Applied locally with SourceCitation cit_d60fd6e73463dc6d40165b49c2a9504c and FieldCitation coverage for name and ownershipPct on both shareholder rows.","https://coop.dk/kontakt/pressekontakt/aarsrapporter/","research/evidence-pack/arsrapporter/text/coop-danmark-2024.txt lines 157-163"
CF-COOP-NO-2024,high,Coop Norge SA,CompanyFinancial,2024 revenue/operatingResult,"revenueNok=64595; operatingResult=671","total operating income MNOK 64595; EBIT MNOK 671",applied_2026-05-18,"Applied exact MNOK values locally with SourceCitation cit_53fdccea02ac0d24c99945e32e40940f and FieldCitation coverage for revenueNok and operatingResult.","https://www.coop.no/om-coop/aarsrapporter","research/evidence-pack/arsrapporter/text/coop-norge-2024.txt lines 82-91"
CF-REITAN-2024,high,Reitan Retail AS,CompanyFinancial,2024 revenue/operatingResult,"revenueNok=109326; operatingResult=3769","IFRS revenue MNOK 109326; operating profit MNOK 3769; total systemwide and distribution sales MNOK 148957 retained as non-revenue note",applied_2026-05-18,"Applied locally with SourceCitation cit_cb8936ce99f102d0e49e51bf3f0ed9a8 and FieldCitation coverage for revenueNok and operatingResult.","https://www.reitanretail.no/en/about/reports","research/evidence-pack/arsrapporter/text/reitan-retail-2024.txt lines 873-879 and 9456-9475"
SH-REITAN-2024,medium,Reitan Retail AS,Shareholder,ownership,"REITAN AS 100","Reitan Retail wholly owned by REITAN AS; Odd Reitan/Ole Robert Reitan/Magnus Reitan family each own 33.3 of REITAN AS",applied_2026-05-18,"Applied direct-owner layer locally with SourceCitation cit_3f21a3d2b982d2189042f90c11b2a215 and FieldCitation coverage for name and ownershipPct; family-control layer retained in citation notes.","https://www.reitanretail.no/en/about/reports","research/evidence-pack/arsrapporter/text/reitan-retail-2024.txt around lines 1428-1435"
CF-SALLING-2024,high,Salling Group A/S,CompanyFinancial,2024 revenue/operatingResult,"revenueNok=112515.2; operatingResult=4198.1","revenue DKK 72176m; EBIT DKK 2693m; Norges Bank 2024 average DKK/NOK 1.5589 gives NOK 112515.2m and NOK 4198.1m",applied_2026-05-18,"Applied locally with SourceCitation cit_cdaf90b3da1524e40644488ba91d7fd2 and FieldCitation coverage for revenueNok and operatingResult.","https://sallinggroup.com/en/publications","research/evidence-pack/arsrapporter/text/salling-group-2024.txt lines 102-103 and 298-303; FX snapshot research/evidence-pack/fx-rates/norges-bank/EXR-A-DKK-NOK-SP-2024-2026-05-18.json"
CF-HAGAR-2020,high,Hagar hf,CompanyFinancial,2020/2021 financials,"revenueNok=8179.6; operatingResult=311.0; ebitda=602.3; fiscalYearLabel=2020/21; reportingCurrency=ISK; fxRateNokPerUnit=0.06840159","2020/21 sales ISK 119582m; EBITDA ISK 8805m; operating profit ISK 4547m; Norges Bank fiscal-period average ISK/NOK 0.06840159",applied_2026-05-18,"Applied locally with SourceCitation cit_76c23f6da256eb945d346ad3d627208c and 9 FieldCitation rows for financial values and fiscal/FX metadata.","https://www.hagar.is/media/bhshw3h2/hagar-%C3%A1rsreikningur-28-2-2021-%C3%ADsl.pdf","research/evidence-pack/arsrapporter/hagar-historical/text/hagar-2020-21-annual-report.txt; FX reconciliation research/hagar-historical-fx-reconciliation-2026-05-18.csv"
CF-HAGAR-2021,high,Hagar hf,CompanyFinancial,2021/2022 financials,"revenueNok=9266.8; operatingResult=428.5; ebitda=718.0; fiscalYearLabel=2021/22; reportingCurrency=ISK; fxRateNokPerUnit=0.06825984","2021/22 sales ISK 135758m; EBITDA ISK 10518m; operating profit ISK 6277m; Norges Bank fiscal-period average ISK/NOK 0.06825984",applied_2026-05-18,"Applied locally with SourceCitation cit_7215a2b35d2177866068980684189c0a and 9 FieldCitation rows for financial values and fiscal/FX metadata.","https://www.hagar.is/media/2kwpdvkn/hagar-%C3%A1rsreikningur-28-2-2022-%C3%ADsl.pdf","research/evidence-pack/arsrapporter/hagar-historical/text/hagar-2021-22-annual-report.txt; FX reconciliation research/hagar-historical-fx-reconciliation-2026-05-18.csv"
CF-HAGAR-2022,high,Hagar hf,CompanyFinancial,2022/2023 financials,"revenueNok=11531.4; operatingResult=540.2; ebitda=857.1; fiscalYearLabel=2022/23; reportingCurrency=ISK; fxRateNokPerUnit=0.07118504","2022/23 sales ISK 161992m; EBITDA ISK 12041m; operating profit ISK 7588m; Norges Bank fiscal-period average ISK/NOK 0.07118504",applied_2026-05-18,"Applied locally with SourceCitation cit_6423c8607e8a537792fdc44bc27aef2a and 9 FieldCitation rows for financial values and fiscal/FX metadata.","https://www.hagar.is/media/3oypylpj/hagar-%C3%A1rsreikningur-28-2-2023-%C3%ADsl_undirrita%C3%B0ur.pdf","research/evidence-pack/arsrapporter/hagar-historical/text/hagar-2022-23-annual-report.txt; FX reconciliation research/hagar-historical-fx-reconciliation-2026-05-18.csv"
CF-HAGAR-2023,high,Hagar hf,CompanyFinancial,2023/2024 financials,"revenueNok=13446.3; operatingResult=623.5; ebitda=1013.7; fiscalYearLabel=2023/24; reportingCurrency=ISK; fxRateNokPerUnit=0.07760317","2023/24 sales ISK 173270m; EBITDA ISK 13063m; operating profit ISK 8035m; Norges Bank fiscal-period average ISK/NOK 0.07760317",applied_2026-05-18,"Applied locally with SourceCitation cit_a4b49e450d81ac1fa4bc03d9c2ff510e and 9 FieldCitation rows for financial values and fiscal/FX metadata.","https://www.hagar.is/media/2sipvkg4/hagar-%C3%A1rsreikningur-29-02-2024-%C3%ADsl_signed.pdf","research/evidence-pack/arsrapporter/hagar-historical/text/hagar-2023-24-annual-report.txt; FX reconciliation research/hagar-historical-fx-reconciliation-2026-05-18.csv"
CF-HAGAR-2024,high,Hagar hf,CompanyFinancial,2024/2025 financials,"revenueNok=14168.9; operatingResult=819.4; ebitda=1157.9; fiscalYearLabel=2024/25; reportingCurrency=ISK; fxRateNokPerUnit=0.0785668","2024/25 sales ISK 180342m; EBITDA ISK 14738m; operating profit ISK 10429m; Norges Bank fiscal-period average ISK/NOK 0.0785668",applied_2026-05-18,"Applied locally with SourceCitation cit_d713d87714009e3cb7641990e8ce2610 and 9 FieldCitation rows for financial values and fiscal/FX metadata.","https://www.hagar.is/media/fgpfwir5/fr%C3%A9ttatilkynning-hagar-4f-2024-25-ensk.pdf; https://www.hagar.is/arsskyrsla-2024/arid-sem-leid/","research/evidence-pack/arsrapporter/text/hagar-2024-25.txt lines 23-40 and 204-222; fiscal period 2024-03-01 to 2025-02-28"
SH-HAGAR-2026,high,Hagar hf,Shareholder,current shareholders,"20 current weekly top-20 rows imported; Gildi - lifeyrissjodur 16.26 through Vanguard Fiduciary Trust Compa 0.65","Official current weekly top-20 page lists Gildi 16.26; Lifeyrissjodur verzlunarmanna 12.37; LSR A-deild 11.33; Bru 8.37; Kaldbakur 8.13; etc.",applied_2026-05-18,"Applied locally with SourceCitation cit_58701d5fd53f86d630a0cccbee48954a and 140 FieldCitation rows across 20 shareholder rows using sourceBasis=current_weekly_top20, observed 2026-05-18, source updated 2026-05-14.","https://www.hagar.is/en/investors/shareholders-information/shareholders-list/","research/evidence-pack/shareholders/hagar-shareholders-list-2026-05-18.csv; observed 2026-05-18; source last updated 2026-05-14"
REG-SE,medium,Swedish companies,Registry,board/annual report source,"registry acquisition gap","Official Bolagsverket annual-report API documentation found; company-specific Axfood/ICA API calls blocked by TLS/timeout; legacy SNR route returned 503",registry_queue,"Use approved Bolagsverket API/TLS/auth route or manual company export; archive company-specific response before citation.","https://media.bolagsverket.se/diar/services/information/1.3/hamtaArsredovisningsinformation-1.3.html","research/se-bolagsverket-company-source-research-2026-05-18.md"
REG-DK,medium,Danish companies,Registry,board/owners/annual reports source,"metadata acquisition gap; public annual documents acquired","Official Virk offentliggoerelser endpoint acquired 39 Coop Danmark and 58 Salling annual-report/ESEF artifacts; owners/management metadata remains blocked by 401/403 routes",registry_queue,"Use downloaded public document artifacts for annual-account documents; use approved distribution.virk.dk credentials or manual CVR.dk browser session for owners and management.","https://erhvervsstyrelsen.dk/cvr-samler-og-udstiller-data; http://distribution.virk.dk/offentliggoerelser/_search","research/dk-cvr-company-source-research-2026-05-18.md"
REG-FI,medium,Finnish companies,Registry,board/annual report source,"extract/document acquisition gap; Kesko basic register acquired","Kesko PRH open-data JSON acquired for basic register details; Virre extracts and PRH/Virre financial-statement documents remain interactive/paid/session-gated",registry_queue,"Use PRH open-data JSON for basic Kesko register details only; save actual Virre extract/PDF before extract or financial-statement citations.","https://avoindata.prh.fi/opendata-ytj-api/v3/companies?businessId=0109862-8","research/fi-is-registry-source-research-2026-05-18.md"
REG-IS,medium,Icelandic companies,Registry,company/annual account source,"document acquisition gap; Hagar basic lookup acquired","Hagar Skatturinn lookup HTML acquired for basic details and annual-account availability; final overview/account PDF and beneficial-owner artifact not downloaded",registry_queue,"Use Hagar company lookup for basic details/availability only; archive final PDF/overview/certificate before document or beneficial-owner citations.","https://www.skatturinn.is/fyrirtaekjaskra/leit/kennitala/6702032120","research/fi-is-registry-source-research-2026-05-18.md"
