action_id,entity,entity_type,target_record_ids,field_paths,document_id,source_locator,db_resolution_status,application_status,apply_allowed,recommended_db_change,citation_action,blocker_or_decision
CF-COOP-DK-2024,Coop Danmark A/S,CompanyFinancial,cmp8xytea00czxrvm3qmdqidl,revenueNok;operatingResult,cmp8xynrj00isvvvmhkatnur3,research/evidence-pack/arsrapporter/text/coop-danmark-2024.txt,resolved,applied_2026-05-18,applied,"Applied locally: revenueNok updated 52100 -> 52407.1 and operatingResult set to 988.3 using actual EBIT after special items and Norges Bank 2024 annual average DKK/NOK 1.5589.","Created SourceCitation cit_34787e6bb425563982ca269ae020347e and FieldCitation coverage for revenueNok and operatingResult.","DB verified after apply: revenueNok 52407.10, operatingResult 988.30, verificationStatus=human_verified."
SH-COOP-DK-2024,Coop Danmark A/S,Shareholder,cmp8xyteb00d0xrvm4xoif1x0;cmpbbk757000283vmrm4lm3du,ownershipPct;name,cmp8xynrj00isvvvmhkatnur3,research/evidence-pack/arsrapporter/text/coop-danmark-2024.txt,resolved,applied_2026-05-18,applied,"Applied locally: split/update ownership to OK a.m.b.a. 50.82 and Coop amba 49.18.","Created SourceCitation cit_d60fd6e73463dc6d40165b49c2a9504c and FieldCitation coverage for name and ownershipPct on both rows.","DB verified after apply: both rows human_verified with confidence=95."
CF-COOP-NO-2024,Coop Norge SA,CompanyFinancial,cmp8xyt17000oxrvmvfjy945x,revenueNok;operatingResult,cmp8xynsj00itvvvmc2p5jpp4,research/evidence-pack/arsrapporter/text/coop-norge-2024.txt,resolved,applied_2026-05-18,applied,"Applied locally: revenueNok updated 55000 -> 64595 and operatingResult updated 580 -> 671 from Coop Norge 2024 annual report MNOK table.","Created SourceCitation cit_53fdccea02ac0d24c99945e32e40940f and FieldCitation coverage for revenueNok and operatingResult.","DB verified after apply: revenueNok 64595.00, operatingResult 671.00, verificationStatus=human_verified."
CF-REITAN-2024,Reitan Retail AS,CompanyFinancial,cmp8xyt1s001exrvms8q1f7yh,revenueNok;operatingResult,cmp8xynzl00izvvvms68kwisp,research/evidence-pack/arsrapporter/text/reitan-retail-2024.txt,resolved,applied_2026-05-18,applied,"Applied locally: revenueNok updated 149000 -> 109326 and operatingResult updated 5100 -> 3769 using IFRS revenue and operating profit.","Created SourceCitation cit_cb8936ce99f102d0e49e51bf3f0ed9a8 and FieldCitation coverage for revenueNok and operatingResult.","DB verified after apply: revenueNok 109326.00, operatingResult 3769.00, verificationStatus=human_verified. Systemwide/distribution sales MNOK 148957 retained in citation notes."
SH-REITAN-2024,Reitan Retail AS,Shareholder,cmp8xyt1t001fxrvmjnp03x8n,ownershipPct;name,cmp8xynzl00izvvvms68kwisp,research/evidence-pack/arsrapporter/text/reitan-retail-2024.txt,resolved,applied_2026-05-18,applied,"Applied locally: direct-owner layer selected for Shareholder row and Reitan-familien (Odd Reitan) normalized to REITAN AS 100 percent.","Created SourceCitation cit_3f21a3d2b982d2189042f90c11b2a215 and FieldCitation coverage for name and ownershipPct.","DB verified after apply: REITAN AS 100; family-control layer retained in citation notes; verificationStatus=human_verified, confidence=95."
CF-SALLING-2024,Salling Group A/S,CompanyFinancial,cmp8xytdv00cjxrvm8z7nb3ek,revenueNok;operatingResult,cmp8xyo0b00j0vvvmtmb7dc3l,research/evidence-pack/arsrapporter/text/salling-group-2024.txt,resolved,applied_2026-05-18,applied,"Applied locally: revenueNok updated 111900 -> 112515.2 and operatingResult set to 4198.1 using Norges Bank 2024 annual average DKK/NOK 1.5589.","Created SourceCitation cit_cdaf90b3da1524e40644488ba91d7fd2 and FieldCitation coverage for revenueNok and operatingResult.","DB verified after apply: revenueNok 112515.20, operatingResult 4198.10, verificationStatus=human_verified."
CF-HAGAR-2020,Hagar hf,CompanyFinancial,cmp8xytg300fdxrvmk2650vrf,revenueNok;operatingResult;ebitda;fiscalYearLabel;fiscalPeriodStart;fiscalPeriodEnd;reportingCurrency;fxRateNokPerUnit;fxRateSource,,research/evidence-pack/arsrapporter/hagar-historical/text/hagar-2020-21-annual-report.txt,resolved,applied_2026-05-18,applied,"Applied locally: Hagar fiscal year 2020/21 mapped to year=2020 with fiscalPeriodStart 2020-03-01, fiscalPeriodEnd 2021-02-28, reportingCurrency ISK, Norges Bank fiscal-period average ISK/NOK 0.06840159, revenueNok 8179.6, operatingResult 311.0 and ebitda 602.3.","Created SourceCitation cit_76c23f6da256eb945d346ad3d627208c and 9 FieldCitation rows for financial values and fiscal/FX metadata.","DB verified after apply: CompanyFinancial cmp8xytg300fdxrvmk2650vrf now stores fiscalYearLabel=2020/21, fiscalPeriodStart=2020-03-01, fiscalPeriodEnd=2021-02-28, reportingCurrency=ISK and fxRateSource='Norges Bank daily ISK/NOK average, 2020-03-01 to 2021-02-28'."
CF-HAGAR-2021,Hagar hf,CompanyFinancial,cmp8xytgi00fexrvmff1vspqq,revenueNok;operatingResult;ebitda;fiscalYearLabel;fiscalPeriodStart;fiscalPeriodEnd;reportingCurrency;fxRateNokPerUnit;fxRateSource,,research/evidence-pack/arsrapporter/hagar-historical/text/hagar-2021-22-annual-report.txt,resolved,applied_2026-05-18,applied,"Applied locally: Hagar fiscal year 2021/22 mapped to year=2021 with fiscalPeriodStart 2021-03-01, fiscalPeriodEnd 2022-02-28, reportingCurrency ISK, Norges Bank fiscal-period average ISK/NOK 0.06825984, revenueNok 9266.8, operatingResult 428.5 and ebitda 718.0.","Created SourceCitation cit_7215a2b35d2177866068980684189c0a and 9 FieldCitation rows for financial values and fiscal/FX metadata.","DB verified after apply: CompanyFinancial cmp8xytgi00fexrvmff1vspqq now stores fiscalYearLabel=2021/22, fiscalPeriodStart=2021-03-01, fiscalPeriodEnd=2022-02-28, reportingCurrency=ISK and fxRateSource='Norges Bank daily ISK/NOK average, 2021-03-01 to 2022-02-28'."
CF-HAGAR-2022,Hagar hf,CompanyFinancial,cmp8xytgj00ffxrvmbt3dkcst,revenueNok;operatingResult;ebitda;fiscalYearLabel;fiscalPeriodStart;fiscalPeriodEnd;reportingCurrency;fxRateNokPerUnit;fxRateSource,,research/evidence-pack/arsrapporter/hagar-historical/text/hagar-2022-23-annual-report.txt,resolved,applied_2026-05-18,applied,"Applied locally: Hagar fiscal year 2022/23 mapped to year=2022 with fiscalPeriodStart 2022-03-01, fiscalPeriodEnd 2023-02-28, reportingCurrency ISK, Norges Bank fiscal-period average ISK/NOK 0.07118504, revenueNok 11531.4, operatingResult 540.2 and ebitda 857.1.","Created SourceCitation cit_6423c8607e8a537792fdc44bc27aef2a and 9 FieldCitation rows for financial values and fiscal/FX metadata.","DB verified after apply: CompanyFinancial cmp8xytgj00ffxrvmbt3dkcst now stores fiscalYearLabel=2022/23, fiscalPeriodStart=2022-03-01, fiscalPeriodEnd=2023-02-28, reportingCurrency=ISK and fxRateSource='Norges Bank daily ISK/NOK average, 2022-03-01 to 2023-02-28'."
CF-HAGAR-2023,Hagar hf,CompanyFinancial,cmp8xytgk00fgxrvmu6u9esj4,revenueNok;operatingResult;ebitda;fiscalYearLabel;fiscalPeriodStart;fiscalPeriodEnd;reportingCurrency;fxRateNokPerUnit;fxRateSource,,research/evidence-pack/arsrapporter/hagar-historical/text/hagar-2023-24-annual-report.txt,resolved,applied_2026-05-18,applied,"Applied locally: Hagar fiscal year 2023/24 mapped to year=2023 with fiscalPeriodStart 2023-03-01, fiscalPeriodEnd 2024-02-29, reportingCurrency ISK, Norges Bank fiscal-period average ISK/NOK 0.07760317, revenueNok 13446.3, operatingResult 623.5 and ebitda 1013.7.","Created SourceCitation cit_a4b49e450d81ac1fa4bc03d9c2ff510e and 9 FieldCitation rows for financial values and fiscal/FX metadata.","DB verified after apply: CompanyFinancial cmp8xytgk00fgxrvmu6u9esj4 now stores fiscalYearLabel=2023/24, fiscalPeriodStart=2023-03-01, fiscalPeriodEnd=2024-02-29, reportingCurrency=ISK and fxRateSource='Norges Bank daily ISK/NOK average, 2023-03-01 to 2024-02-29'."
CF-HAGAR-2024,Hagar hf,CompanyFinancial,cmp8xytgl00fhxrvmenzl3e5i,revenueNok;operatingResult;ebitda;fiscalYearLabel;fiscalPeriodStart;fiscalPeriodEnd;reportingCurrency;fxRateNokPerUnit;fxRateSource,cmp8xynsz00iuvvvmqr0509v4,research/evidence-pack/arsrapporter/text/hagar-2024-25.txt,resolved,applied_2026-05-18,applied,"Applied locally: Hagar fiscal year 2024/25 mapped to year=2024 with fiscalPeriodStart 2024-03-01, fiscalPeriodEnd 2025-02-28, reportingCurrency ISK, Norges Bank fiscal-period average ISK/NOK 0.0785668, revenueNok 14168.9, operatingResult 819.4 and ebitda 1157.9.","Created SourceCitation cit_d713d87714009e3cb7641990e8ce2610 and 9 FieldCitation rows for financial values and fiscal/FX metadata.","DB verified after apply: CompanyFinancial cmp8xytgl00fhxrvmenzl3e5i now stores fiscalYearLabel=2024/25, fiscalPeriodStart=2024-03-01, fiscalPeriodEnd=2025-02-28, reportingCurrency=ISK and fxRateSource='Norges Bank daily ISK/NOK average, 2024-03-01 to 2025-02-28'."
SH-HAGAR-2026,Hagar hf,Shareholder,cmp8xytgm00fixrvmby3ocp8v;cmp8xytgm00fjxrvm3qghrxmo;cmpbf8m6x000espvmc74uh472;cmpbf8m76000mspvmqx23lhvy;cmpbf8m7e000uspvmhwl98hl4;cmpbf8m7l0012spvmqvmabgra;cmpbf8m7v001aspvmpb8krj2x;cmpbf8m82001ispvmx1vfc2kv;cmpbf8m8d001qspvm9hoy4ng3;cmpbf8m8m001yspvm85d5e3jw;cmpbf8m8w0026spvm1ur6kmf1;cmpbf8m93002espvmqeogvuer;cmpbf8m9b002mspvmyabsjkia;cmpbf8m9i002uspvmjwddpusd;cmpbf8m9p0032spvm1zdxmvbz;cmpbf8m9v003aspvmi3io95l3;cmpbf8ma1003ispvmkkll1hud;cmpbf8ma8003qspvmx8aw8zyi;cmpbf8maf003yspvmyvys67v9;cmpbf8man0046spvmptbok8aq,ownershipPct;name;sourceRank;shareCount;sourceObservedAt;sourceUpdatedAt;sourceBasis,,research/evidence-pack/shareholders/hagar-shareholders-list-2026-05-18.csv,resolved,applied_2026-05-18,applied,"Applied locally: official current weekly top-20 shareholder list imported with sourceBasis=current_weekly_top20, observed 2026-05-18 and sourceUpdatedAt 2026-05-14; two stale rows updated and 18 ranked holdings created.","Created SourceCitation cit_58701d5fd53f86d630a0cccbee48954a and 140 FieldCitation rows for name, ownershipPct, sourceRank, shareCount, sourceObservedAt, sourceUpdatedAt and sourceBasis across 20 Hagar shareholder rows.","DB verified after apply: Hagar shareholder rows now 20, ranked 1-20 from Gildi - lifeyrissjodur 16.26 through Vanguard Fiduciary Trust Compa 0.65; shareholder FieldCitation coverage now 35/83 (42.2%)."
REG-SE,Swedish companies,Registry,,,,research/se-bolagsverket-company-source-research-2026-05-18.csv,not_applicable,registry_api_identified_company_fetch_blocked,manual_or_api_queue,"Use approved Bolagsverket API/TLS/auth route or manual company export for Swedish annual-report/representative evidence; archive company-specific response before citation.","No FieldCitation until company-specific Bolagsverket source artifacts are acquired.","Official API documentation archived; Axfood and ICA test calls failed with TLS handshake/timeout; legacy SNR route returned HTTP 503."
REG-DK,Danish companies,Registry,,,,research/dk-cvr-company-source-research-2026-05-18.csv,not_applicable,official_documents_acquired_metadata_blocked,manual_or_api_queue,"Use downloaded Virk annual-report artifacts where document evidence is enough; use approved credentials or manual CVR.dk browser session for owners, management and structured metadata.","No owner/management FieldCitation until company-specific metadata artifacts are acquired.","Offentliggoerelser downloaded 39 Coop Danmark and 58 Salling artifacts; cvr-permanent/registreringstekster returned 401 and frontend JSON returned 403."
REG-FI,Finnish companies,Registry,,,,research/fi-is-registry-source-research-2026-05-18.csv,not_applicable,basic_register_source_acquired_extracts_blocked,manual_or_paid_queue,"Use Kesko PRH open-data JSON for basic register details only; save actual Virre extract/PDF before extract or financial-statement citations.","No Virre extract or financial-statement FieldCitation until company-specific artifact is archived.","Kesko open-data JSON acquired; Virre extract and financial-statement document routes remain interactive/session/purchase gated."
REG-IS,Icelandic companies,Registry,,,,research/fi-is-registry-source-research-2026-05-18.csv,not_applicable,basic_lookup_acquired_documents_blocked,manual_queue,"Use Hagar Skatturinn lookup for basic details and annual-account availability only; archive final registration overview, annual-account PDF or beneficial-owner certificate before citation.","No document or beneficial-owner FieldCitation until final company-specific artifact is archived.","Hagar lookup acquired; cart evidence shows zero-price availability but final overview/PDF/certificate was not downloaded."
