country,year,commodity_group,commodity_group_label,flow,metric,unit,total_import_value,nordic_core_import_value,nordic_core_share,nordic_extended_import_value,nordic_extended_share,nordic_core_partner_codes,nordic_extended_partner_codes,source_name,dataset_or_table_id,source_raw_file,status,notes
DK,2023,fish_seafood,Fish and seafood,imports,Import value,"DKK 1,000",23953063,9902175,0.413399,17054029,0.711977,FI;IS;NO;SE,FI;FO;GL;IS;NO;SE,StatBank imports and exports SITC,SITC2R4,research/data/nordic/trade-groups/raw-json/dk-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from StatBank SITC2R4 with Nordic partner countries and W1 total; use shares, not cross-country values."
DK,2023,fruit_veg,Fruit and vegetables,imports,Import value,"DKK 1,000",14602104,1127217,0.077196,1127243,0.077197,FI;IS;NO;SE,FI;FO;GL;IS;NO;SE,StatBank imports and exports SITC,SITC2R4,research/data/nordic/trade-groups/raw-json/dk-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from StatBank SITC2R4 with Nordic partner countries and W1 total; use shares, not cross-country values."
DK,2023,meat,Meat and meat preparations,imports,Import value,"DKK 1,000",12244590,815332,0.066587,816027,0.066644,FI;IS;NO;SE,FI;FO;GL;IS;NO;SE,StatBank imports and exports SITC,SITC2R4,research/data/nordic/trade-groups/raw-json/dk-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from StatBank SITC2R4 with Nordic partner countries and W1 total; use shares, not cross-country values."
DK,2023,selected_food_basket,Selected food basket,imports,Import value,"DKK 1,000",74369579,15349638,0.206397,22936701,0.308415,FI;IS;NO;SE,FI;FO;GL;IS;NO;SE,StatBank imports and exports SITC,SITC2R4,research/data/nordic/trade-groups/raw-json/dk-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from StatBank SITC2R4 with Nordic partner countries and W1 total; use shares, not cross-country values."
DK,2024,cereals,Cereals and cereal preparations,imports,Import value,"DKK 1,000",8876863,1535095,0.172932,1535105,0.172933,FI;IS;NO;SE,FI;FO;GL;IS;NO;SE,StatBank imports and exports SITC,SITC2R4,research/data/nordic/trade-groups/raw-json/dk-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from StatBank SITC2R4 with Nordic partner countries and W1 total; use shares, not cross-country values."
DK,2024,dairy_eggs,Dairy products and eggs,imports,Import value,"DKK 1,000",8697415,1120531,0.128835,1120531,0.128835,FI;IS;NO;SE,FI;FO;GL;IS;NO;SE,StatBank imports and exports SITC,SITC2R4,research/data/nordic/trade-groups/raw-json/dk-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from StatBank SITC2R4 with Nordic partner countries and W1 total; use shares, not cross-country values."
DK,2024,fats_oils,Fats and oils,imports,Import value,"DKK 1,000",6570740,868266,0.132141,869783,0.132372,FI;IS;NO;SE,FI;FO;GL;IS;NO;SE,StatBank imports and exports SITC,SITC2R4,research/data/nordic/trade-groups/raw-json/dk-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from StatBank SITC2R4 with Nordic partner countries and W1 total; use shares, not cross-country values."
DK,2024,fish_seafood,Fish and seafood,imports,Import value,"DKK 1,000",22710469,9752301,0.429419,15903277,0.700262,FI;IS;NO;SE,FI;FO;GL;IS;NO;SE,StatBank imports and exports SITC,SITC2R4,research/data/nordic/trade-groups/raw-json/dk-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from StatBank SITC2R4 with Nordic partner countries and W1 total; use shares, not cross-country values."
DK,2024,fruit_veg,Fruit and vegetables,imports,Import value,"DKK 1,000",15382624,1221012,0.079376,1221074,0.07938,FI;IS;NO;SE,FI;FO;GL;IS;NO;SE,StatBank imports and exports SITC,SITC2R4,research/data/nordic/trade-groups/raw-json/dk-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from StatBank SITC2R4 with Nordic partner countries and W1 total; use shares, not cross-country values."
DK,2024,meat,Meat and meat preparations,imports,Import value,"DKK 1,000",11748653,781107,0.066485,781808,0.066544,FI;IS;NO;SE,FI;FO;GL;IS;NO;SE,StatBank imports and exports SITC,SITC2R4,research/data/nordic/trade-groups/raw-json/dk-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from StatBank SITC2R4 with Nordic partner countries and W1 total; use shares, not cross-country values."
DK,2024,selected_food_basket,Selected food basket,imports,Import value,"DKK 1,000",73986764,15278312,0.206501,21431578,0.289668,FI;IS;NO;SE,FI;FO;GL;IS;NO;SE,StatBank imports and exports SITC,SITC2R4,research/data/nordic/trade-groups/raw-json/dk-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from StatBank SITC2R4 with Nordic partner countries and W1 total; use shares, not cross-country values."
DK,2025,cereals,Cereals and cereal preparations,imports,Import value,"DKK 1,000",8597787,1652370,0.192186,1652370,0.192186,FI;IS;NO;SE,FI;FO;GL;IS;NO;SE,StatBank imports and exports SITC,SITC2R4,research/data/nordic/trade-groups/raw-json/dk-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from StatBank SITC2R4 with Nordic partner countries and W1 total; use shares, not cross-country values."
DK,2025,dairy_eggs,Dairy products and eggs,imports,Import value,"DKK 1,000",9105803,1165346,0.127978,1165346,0.127978,FI;IS;NO;SE,FI;FO;GL;IS;NO;SE,StatBank imports and exports SITC,SITC2R4,research/data/nordic/trade-groups/raw-json/dk-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from StatBank SITC2R4 with Nordic partner countries and W1 total; use shares, not cross-country values."
DK,2025,fats_oils,Fats and oils,imports,Import value,"DKK 1,000",6733213,800742,0.118924,801653,0.11906,FI;IS;NO;SE,FI;FO;GL;IS;NO;SE,StatBank imports and exports SITC,SITC2R4,research/data/nordic/trade-groups/raw-json/dk-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from StatBank SITC2R4 with Nordic partner countries and W1 total; use shares, not cross-country values."
DK,2025,fish_seafood,Fish and seafood,imports,Import value,"DKK 1,000",20958133,7909758,0.377408,14141108,0.674731,FI;IS;NO;SE,FI;FO;GL;IS;NO;SE,StatBank imports and exports SITC,SITC2R4,research/data/nordic/trade-groups/raw-json/dk-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from StatBank SITC2R4 with Nordic partner countries and W1 total; use shares, not cross-country values."
DK,2025,fruit_veg,Fruit and vegetables,imports,Import value,"DKK 1,000",16150737,1280763,0.079301,1280973,0.079314,FI;IS;NO;SE,FI;FO;GL;IS;NO;SE,StatBank imports and exports SITC,SITC2R4,research/data/nordic/trade-groups/raw-json/dk-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from StatBank SITC2R4 with Nordic partner countries and W1 total; use shares, not cross-country values."
DK,2025,meat,Meat and meat preparations,imports,Import value,"DKK 1,000",12509101,700472,0.055997,701493,0.056079,FI;IS;NO;SE,FI;FO;GL;IS;NO;SE,StatBank imports and exports SITC,SITC2R4,research/data/nordic/trade-groups/raw-json/dk-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from StatBank SITC2R4 with Nordic partner countries and W1 total; use shares, not cross-country values."
DK,2025,selected_food_basket,Selected food basket,imports,Import value,"DKK 1,000",74054774,13509451,0.182425,19742943,0.266599,FI;IS;NO;SE,FI;FO;GL;IS;NO;SE,StatBank imports and exports SITC,SITC2R4,research/data/nordic/trade-groups/raw-json/dk-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from StatBank SITC2R4 with Nordic partner countries and W1 total; use shares, not cross-country values."
DK,2026,cereals,Cereals and cereal preparations,imports,Import value,"DKK 1,000",549130,99271,0.180779,99271,0.180779,FI;IS;NO;SE,FI;FO;GL;IS;NO;SE,StatBank imports and exports SITC,SITC2R4,research/data/nordic/trade-groups/raw-json/dk-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from StatBank SITC2R4 with Nordic partner countries and W1 total; use shares, not cross-country values."
DK,2026,dairy_eggs,Dairy products and eggs,imports,Import value,"DKK 1,000",648630,92595,0.142755,92595,0.142755,FI;IS;NO;SE,FI;FO;GL;IS;NO;SE,StatBank imports and exports SITC,SITC2R4,research/data/nordic/trade-groups/raw-json/dk-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from StatBank SITC2R4 with Nordic partner countries and W1 total; use shares, not cross-country values."
DK,2026,fats_oils,Fats and oils,imports,Import value,"DKK 1,000",530197,93950,0.177198,93950,0.177198,FI;IS;NO;SE,FI;FO;GL;IS;NO;SE,StatBank imports and exports SITC,SITC2R4,research/data/nordic/trade-groups/raw-json/dk-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from StatBank SITC2R4 with Nordic partner countries and W1 total; use shares, not cross-country values."
DK,2026,fish_seafood,Fish and seafood,imports,Import value,"DKK 1,000",1700544,596460,0.350747,1133370,0.666475,FI;IS;NO;SE,FI;FO;GL;IS;NO;SE,StatBank imports and exports SITC,SITC2R4,research/data/nordic/trade-groups/raw-json/dk-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from StatBank SITC2R4 with Nordic partner countries and W1 total; use shares, not cross-country values."
DK,2026,fruit_veg,Fruit and vegetables,imports,Import value,"DKK 1,000",1364208,97509,0.071477,97510,0.071477,FI;IS;NO;SE,FI;FO;GL;IS;NO;SE,StatBank imports and exports SITC,SITC2R4,research/data/nordic/trade-groups/raw-json/dk-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from StatBank SITC2R4 with Nordic partner countries and W1 total; use shares, not cross-country values."
DK,2026,meat,Meat and meat preparations,imports,Import value,"DKK 1,000",996193,47789,0.047972,47800,0.047983,FI;IS;NO;SE,FI;FO;GL;IS;NO;SE,StatBank imports and exports SITC,SITC2R4,research/data/nordic/trade-groups/raw-json/dk-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from StatBank SITC2R4 with Nordic partner countries and W1 total; use shares, not cross-country values."
DK,2026,selected_food_basket,Selected food basket,imports,Import value,"DKK 1,000",5788902,1027574,0.177508,1564496,0.270258,FI;IS;NO;SE,FI;FO;GL;IS;NO;SE,StatBank imports and exports SITC,SITC2R4,research/data/nordic/trade-groups/raw-json/dk-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from StatBank SITC2R4 with Nordic partner countries and W1 total; use shares, not cross-country values."
FI,2002,cereals,Cereals and cereal preparations,imports,Import value,1000 EUR,59228,12381,0.20904,12381,0.20904,DK;IS;NO;SE,DK;FO;GL;IS;NO;SE,Luke agri-food foreign trade,Luke_maa_Ukaup_kk.px,research/data/nordic/trade-groups/raw-json/fi-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from Luke agri-food foreign trade with Nordic partner countries and AA total in per-partner chunks; use shares, not cross-country values."
FI,2002,dairy_eggs,Dairy products and eggs,imports,Import value,1000 EUR,103746,53529,0.515962,53529,0.515962,DK;IS;NO;SE,DK;FO;GL;IS;NO;SE,Luke agri-food foreign trade,Luke_maa_Ukaup_kk.px,research/data/nordic/trade-groups/raw-json/fi-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from Luke agri-food foreign trade with Nordic partner countries and AA total in per-partner chunks; use shares, not cross-country values."
FI,2002,fats_oils,Fats and oils,imports,Import value,1000 EUR,64276,35958,0.559431,35958,0.559431,DK;IS;NO;SE,DK;FO;GL;IS;NO;SE,Luke agri-food foreign trade,Luke_maa_Ukaup_kk.px,research/data/nordic/trade-groups/raw-json/fi-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from Luke agri-food foreign trade with Nordic partner countries and AA total in per-partner chunks; use shares, not cross-country values."
FI,2002,fish_seafood,Fish and seafood,imports,Import value,1000 EUR,130369,95094,0.729422,96723,0.741917,DK;IS;NO;SE,DK;FO;GL;IS;NO;SE,Luke agri-food foreign trade,Luke_maa_Ukaup_kk.px,research/data/nordic/trade-groups/raw-json/fi-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from Luke agri-food foreign trade with Nordic partner countries and AA total in per-partner chunks; use shares, not cross-country values."
FI,2002,fruit_veg,Fruit and vegetables,imports,Import value,1000 EUR,361856,8739,0.02415,8739,0.02415,DK;IS;NO;SE,DK;FO;GL;IS;NO;SE,Luke agri-food foreign trade,Luke_maa_Ukaup_kk.px,research/data/nordic/trade-groups/raw-json/fi-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from Luke agri-food foreign trade with Nordic partner countries and AA total in per-partner chunks; use shares, not cross-country values."
FI,2002,meat,Meat and meat preparations,imports,Import value,1000 EUR,68422,31297,0.457411,31297,0.457411,DK;IS;NO;SE,DK;FO;GL;IS;NO;SE,Luke agri-food foreign trade,Luke_maa_Ukaup_kk.px,research/data/nordic/trade-groups/raw-json/fi-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from Luke agri-food foreign trade with Nordic partner countries and AA total in per-partner chunks; use shares, not cross-country values."
FI,2002,selected_food_basket,Selected food basket,imports,Import value,1000 EUR,787897,236998,0.300798,238627,0.302866,DK;IS;NO;SE,DK;FO;GL;IS;NO;SE,Luke agri-food foreign trade,Luke_maa_Ukaup_kk.px,research/data/nordic/trade-groups/raw-json/fi-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from Luke agri-food foreign trade with Nordic partner countries and AA total in per-partner chunks; use shares, not cross-country values."
FI,2003,cereals,Cereals and cereal preparations,imports,Import value,1000 EUR,37245,9742,0.261565,9742,0.261565,DK;IS;NO;SE,DK;FO;GL;IS;NO;SE,Luke agri-food foreign trade,Luke_maa_Ukaup_kk.px,research/data/nordic/trade-groups/raw-json/fi-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from Luke agri-food foreign trade with Nordic partner countries and AA total in per-partner chunks; use shares, not cross-country values."
FI,2003,dairy_eggs,Dairy products and eggs,imports,Import value,1000 EUR,117672,55262,0.469627,55262,0.469627,DK;IS;NO;SE,DK;FO;GL;IS;NO;SE,Luke agri-food foreign trade,Luke_maa_Ukaup_kk.px,research/data/nordic/trade-groups/raw-json/fi-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from Luke agri-food foreign trade with Nordic partner countries and AA total in per-partner chunks; use shares, not cross-country values."
FI,2003,fats_oils,Fats and oils,imports,Import value,1000 EUR,68884,34140,0.495616,34140,0.495616,DK;IS;NO;SE,DK;FO;GL;IS;NO;SE,Luke agri-food foreign trade,Luke_maa_Ukaup_kk.px,research/data/nordic/trade-groups/raw-json/fi-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from Luke agri-food foreign trade with Nordic partner countries and AA total in per-partner chunks; use shares, not cross-country values."
FI,2003,fish_seafood,Fish and seafood,imports,Import value,1000 EUR,140943,106268,0.753979,108014,0.766367,DK;IS;NO;SE,DK;FO;GL;IS;NO;SE,Luke agri-food foreign trade,Luke_maa_Ukaup_kk.px,research/data/nordic/trade-groups/raw-json/fi-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from Luke agri-food foreign trade with Nordic partner countries and AA total in per-partner chunks; use shares, not cross-country values."
FI,2003,fruit_veg,Fruit and vegetables,imports,Import value,1000 EUR,381657,11589,0.030365,11589,0.030365,DK;IS;NO;SE,DK;FO;GL;IS;NO;SE,Luke agri-food foreign trade,Luke_maa_Ukaup_kk.px,research/data/nordic/trade-groups/raw-json/fi-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from Luke agri-food foreign trade with Nordic partner countries and AA total in per-partner chunks; use shares, not cross-country values."
FI,2003,meat,Meat and meat preparations,imports,Import value,1000 EUR,74220,27414,0.369361,27414,0.369361,DK;IS;NO;SE,DK;FO;GL;IS;NO;SE,Luke agri-food foreign trade,Luke_maa_Ukaup_kk.px,research/data/nordic/trade-groups/raw-json/fi-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from Luke agri-food foreign trade with Nordic partner countries and AA total in per-partner chunks; use shares, not cross-country values."
FI,2003,selected_food_basket,Selected food basket,imports,Import value,1000 EUR,820621,244415,0.297842,246161,0.299969,DK;IS;NO;SE,DK;FO;GL;IS;NO;SE,Luke agri-food foreign trade,Luke_maa_Ukaup_kk.px,research/data/nordic/trade-groups/raw-json/fi-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from Luke agri-food foreign trade with Nordic partner countries and AA total in per-partner chunks; use shares, not cross-country values."
FI,2004,cereals,Cereals and cereal preparations,imports,Import value,1000 EUR,42346,10561,0.249398,10561,0.249398,DK;IS;NO;SE,DK;FO;GL;IS;NO;SE,Luke agri-food foreign trade,Luke_maa_Ukaup_kk.px,research/data/nordic/trade-groups/raw-json/fi-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from Luke agri-food foreign trade with Nordic partner countries and AA total in per-partner chunks; use shares, not cross-country values."
FI,2004,dairy_eggs,Dairy products and eggs,imports,Import value,1000 EUR,139240,58684,0.421459,58684,0.421459,DK;IS;NO;SE,DK;FO;GL;IS;NO;SE,Luke agri-food foreign trade,Luke_maa_Ukaup_kk.px,research/data/nordic/trade-groups/raw-json/fi-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from Luke agri-food foreign trade with Nordic partner countries and AA total in per-partner chunks; use shares, not cross-country values."
FI,2004,fats_oils,Fats and oils,imports,Import value,1000 EUR,70071,33969,0.48478,33969,0.48478,DK;IS;NO;SE,DK;FO;GL;IS;NO;SE,Luke agri-food foreign trade,Luke_maa_Ukaup_kk.px,research/data/nordic/trade-groups/raw-json/fi-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from Luke agri-food foreign trade with Nordic partner countries and AA total in per-partner chunks; use shares, not cross-country values."
FI,2004,fish_seafood,Fish and seafood,imports,Import value,1000 EUR,144989,104657,0.721827,106312,0.733242,DK;IS;NO;SE,DK;FO;GL;IS;NO;SE,Luke agri-food foreign trade,Luke_maa_Ukaup_kk.px,research/data/nordic/trade-groups/raw-json/fi-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from Luke agri-food foreign trade with Nordic partner countries and AA total in per-partner chunks; use shares, not cross-country values."
FI,2004,fruit_veg,Fruit and vegetables,imports,Import value,1000 EUR,379992,14165,0.037277,14165,0.037277,DK;IS;NO;SE,DK;FO;GL;IS;NO;SE,Luke agri-food foreign trade,Luke_maa_Ukaup_kk.px,research/data/nordic/trade-groups/raw-json/fi-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from Luke agri-food foreign trade with Nordic partner countries and AA total in per-partner chunks; use shares, not cross-country values."
FI,2004,meat,Meat and meat preparations,imports,Import value,1000 EUR,88406,35358,0.39995,35358,0.39995,DK;IS;NO;SE,DK;FO;GL;IS;NO;SE,Luke agri-food foreign trade,Luke_maa_Ukaup_kk.px,research/data/nordic/trade-groups/raw-json/fi-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from Luke agri-food foreign trade with Nordic partner countries and AA total in per-partner chunks; use shares, not cross-country values."
FI,2004,selected_food_basket,Selected food basket,imports,Import value,1000 EUR,865044,257394,0.29755,259049,0.299463,DK;IS;NO;SE,DK;FO;GL;IS;NO;SE,Luke agri-food foreign trade,Luke_maa_Ukaup_kk.px,research/data/nordic/trade-groups/raw-json/fi-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from Luke agri-food foreign trade with Nordic partner countries and AA total in per-partner chunks; use shares, not cross-country values."
FI,2005,cereals,Cereals and cereal preparations,imports,Import value,1000 EUR,28539,1125,0.03942,1125,0.03942,DK;IS;NO;SE,DK;FO;GL;IS;NO;SE,Luke agri-food foreign trade,Luke_maa_Ukaup_kk.px,research/data/nordic/trade-groups/raw-json/fi-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from Luke agri-food foreign trade with Nordic partner countries and AA total in per-partner chunks; use shares, not cross-country values."
FI,2005,dairy_eggs,Dairy products and eggs,imports,Import value,1000 EUR,155092,63799,0.411362,63799,0.411362,DK;IS;NO;SE,DK;FO;GL;IS;NO;SE,Luke agri-food foreign trade,Luke_maa_Ukaup_kk.px,research/data/nordic/trade-groups/raw-json/fi-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from Luke agri-food foreign trade with Nordic partner countries and AA total in per-partner chunks; use shares, not cross-country values."
FI,2005,fats_oils,Fats and oils,imports,Import value,1000 EUR,69679,35035,0.502806,35035,0.502806,DK;IS;NO;SE,DK;FO;GL;IS;NO;SE,Luke agri-food foreign trade,Luke_maa_Ukaup_kk.px,research/data/nordic/trade-groups/raw-json/fi-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from Luke agri-food foreign trade with Nordic partner countries and AA total in per-partner chunks; use shares, not cross-country values."
FI,2005,fish_seafood,Fish and seafood,imports,Import value,1000 EUR,152592,109207,0.71568,110735,0.725693,DK;IS;NO;SE,DK;FO;GL;IS;NO;SE,Luke agri-food foreign trade,Luke_maa_Ukaup_kk.px,research/data/nordic/trade-groups/raw-json/fi-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from Luke agri-food foreign trade with Nordic partner countries and AA total in per-partner chunks; use shares, not cross-country values."
FI,2005,fruit_veg,Fruit and vegetables,imports,Import value,1000 EUR,389537,15086,0.038728,15086,0.038728,DK;IS;NO;SE,DK;FO;GL;IS;NO;SE,Luke agri-food foreign trade,Luke_maa_Ukaup_kk.px,research/data/nordic/trade-groups/raw-json/fi-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from Luke agri-food foreign trade with Nordic partner countries and AA total in per-partner chunks; use shares, not cross-country values."
FI,2005,meat,Meat and meat preparations,imports,Import value,1000 EUR,102792,35275,0.343169,35275,0.343169,DK;IS;NO;SE,DK;FO;GL;IS;NO;SE,Luke agri-food foreign trade,Luke_maa_Ukaup_kk.px,research/data/nordic/trade-groups/raw-json/fi-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from Luke agri-food foreign trade with Nordic partner countries and AA total in per-partner chunks; use shares, not cross-country values."
FI,2005,selected_food_basket,Selected food basket,imports,Import value,1000 EUR,898231,259527,0.288931,261055,0.290632,DK;IS;NO;SE,DK;FO;GL;IS;NO;SE,Luke agri-food foreign trade,Luke_maa_Ukaup_kk.px,research/data/nordic/trade-groups/raw-json/fi-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from Luke agri-food foreign trade with Nordic partner countries and AA total in per-partner chunks; use shares, not cross-country values."
FI,2006,cereals,Cereals and cereal preparations,imports,Import value,1000 EUR,32971,1039,0.031513,1039,0.031513,DK;IS;NO;SE,DK;FO;GL;IS;NO;SE,Luke agri-food foreign trade,Luke_maa_Ukaup_kk.px,research/data/nordic/trade-groups/raw-json/fi-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from Luke agri-food foreign trade with Nordic partner countries and AA total in per-partner chunks; use shares, not cross-country values."
FI,2006,dairy_eggs,Dairy products and eggs,imports,Import value,1000 EUR,183122,75965,0.414833,75965,0.414833,DK;IS;NO;SE,DK;FO;GL;IS;NO;SE,Luke agri-food foreign trade,Luke_maa_Ukaup_kk.px,research/data/nordic/trade-groups/raw-json/fi-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from Luke agri-food foreign trade with Nordic partner countries and AA total in per-partner chunks; use shares, not cross-country values."
FI,2006,fats_oils,Fats and oils,imports,Import value,1000 EUR,72744,38127,0.524126,38127,0.524126,DK;IS;NO;SE,DK;FO;GL;IS;NO;SE,Luke agri-food foreign trade,Luke_maa_Ukaup_kk.px,research/data/nordic/trade-groups/raw-json/fi-food-group-imports-by-partner-monthly.json,partner_refetch,"Refetched from Luke agri-food foreign trade with Nordic partner countries and AA total in per-partner chunks; use shares, not cross-country values."
