country,year,domain,metric,value,unit,scope,source_name,source_owner,source_type,source_url,source_file,source_ref,quality_flag,canonical_target,import_status,comparability,notes
NO,2025,production,organic_egg_production,4700,tonnes,eggs,Produksjon av okologiske jordbruksvarer 2025,Landbruksdirektoratet,authority_report,https://www.landbruksdirektoratet.no/nb/filarkiv/rapporter/Produksjon%20av%20%C3%B8kologiske%20jordbruksvarer%202025%20Rapport%202026%204.pdf,text/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.txt,lines 125-127,authority_report_pdf,research/data/nordic/core-series/organic_selected_production_annual.csv,staged_official_source,product_specific_not_cross_country_total,About 88 percent sold as organic.
NO,2025,market,organic_fruit_veg_market_share,1.6,percent,fruit and vegetables,Produksjon av okologiske jordbruksvarer 2025,Landbruksdirektoratet,authority_report,https://www.landbruksdirektoratet.no/nb/filarkiv/rapporter/Produksjon%20av%20%C3%B8kologiske%20jordbruksvarer%202025%20Rapport%202026%204.pdf,text/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.txt,lines 128-139,authority_report_pdf,research/data/nordic/core-series/organic_market_retail_annual.csv,staged_official_source,cross_country_limited,"Low level; potatoes down, field vegetables up."
NO,2025,policy,organic_production_subsidies,166.1,NOK_million,production subsidies,Produksjon av okologiske jordbruksvarer 2025,Landbruksdirektoratet,authority_report,https://www.landbruksdirektoratet.no/nb/filarkiv/rapporter/Produksjon%20av%20%C3%B8kologiske%20jordbruksvarer%202025%20Rapport%202026%204.pdf,text/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.txt,lines 3701-3704,authority_report_pdf,research/data/nordic/core-series/organic_policy_targets.csv,staged_official_source,policy_instrument_or_target_not_outcome,Up NOK 4.8 million from previous year.
DK,2024,area,organic_production_area,295233,ha,certified/applied organic production area,Statistik over okologiske jordbrugsbedrifter 2024,Styrelsen for Gron Arealomlaegning og Vandmiljo / Landbrugsstyrelsen,authority_statistics,https://lbst.dk/bedrift/oekologi/baggrund-og-fakta-om-oekologi-/oekologistatistik,text/dk-landbrugsstyrelsen-okologiske-jordbrugsbedrifter-2024.txt,lines 66-68 and 284-286,official_statistics,research/data/nordic/core-series/organic_agriculture_annual.csv,staged_needs_reconciliation_or_precision_note,national_source_not_directly_eurostat_comparable,"Appendix line 2220 gives 295223 ha; summary says 295233 ha. Keep official summary value, flag minor internal discrepancy if importing."
DK,2024,area,organic_production_area_share,11.1,percent,share of total production area,Statistik over okologiske jordbrugsbedrifter 2024,Styrelsen for Gron Arealomlaegning og Vandmiljo / Landbrugsstyrelsen,authority_statistics,https://lbst.dk/bedrift/oekologi/baggrund-og-fakta-om-oekologi-/oekologistatistik,text/dk-landbrugsstyrelsen-okologiske-jordbrugsbedrifter-2024.txt,lines 66-68,official_statistics,research/data/nordic/core-series/organic_agriculture_annual.csv,staged_official_source,national_source_not_directly_eurostat_comparable,Down from 11.4 percent in 2023.
DK,2024,area,organic_production_area_change,-8330,ha,year-on-year area change,Statistik over okologiske jordbrugsbedrifter 2024,Styrelsen for Gron Arealomlaegning og Vandmiljo / Landbrugsstyrelsen,authority_statistics,https://lbst.dk/bedrift/oekologi/baggrund-og-fakta-om-oekologi-/oekologistatistik,text/dk-landbrugsstyrelsen-okologiske-jordbrugsbedrifter-2024.txt,lines 66-68,official_statistics,research/data/nordic/core-series/organic_agriculture_annual.csv,staged_official_source,national_source_not_directly_eurostat_comparable,About -2.7 percent.
DK,2024,control,organic_farms,3929,farms,certified or applied for certification,Statistik over okologiske jordbrugsbedrifter 2024,Styrelsen for Gron Arealomlaegning og Vandmiljo / Landbrugsstyrelsen,authority_statistics,https://lbst.dk/bedrift/oekologi/baggrund-og-fakta-om-oekologi-/oekologistatistik,text/dk-landbrugsstyrelsen-okologiske-jordbrugsbedrifter-2024.txt,lines 70-72,official_statistics,research/data/nordic/core-series/organic_control_operators_annual.csv,staged_official_source,control_system_definitions_differ,30 fewer than 2023.
DK,2024,control,organic_farm_share,11.4,percent,share of all farms,Statistik over okologiske jordbrugsbedrifter 2024,Styrelsen for Gron Arealomlaegning og Vandmiljo / Landbrugsstyrelsen,authority_statistics,https://lbst.dk/bedrift/oekologi/baggrund-og-fakta-om-oekologi-/oekologistatistik,text/dk-landbrugsstyrelsen-okologiske-jordbrugsbedrifter-2024.txt,lines 70-72,official_statistics,research/data/nordic/core-series/organic_control_operators_annual.csv,staged_official_source,control_system_definitions_differ,Table line 331 says 11.1 percent; needs primary-table reconciliation before canonical import.
DK,2024,market,organic_retail_sales_value,16,DKK_billion,retail trade including online shopping,Organic Market Report 2025,Organic Denmark,sector_market_report,https://organicdenmark.com/market-insights/toolbox/organic-market-report/,text/dk-organic-denmark-market-report-2025.txt,lines 180-182,sector_market_source,research/data/nordic/core-series/organic_market_retail_annual.csv,staged_sector_source,cross_country_limited_sector_method,Organic Denmark market report.
DK,2024,market,organic_retail_market_share_value,11.6,percent,retail trade by value,Organic Market Report 2025,Organic Denmark,sector_market_report,https://organicdenmark.com/market-insights/toolbox/organic-market-report/,text/dk-organic-denmark-market-report-2025.txt,lines 240-252,sector_market_source,research/data/nordic/core-series/organic_market_retail_annual.csv,staged_sector_source,cross_country_limited_sector_method,References Statistics Denmark.
DK,2024,market,organic_retail_volume_change,2,percent,retail volume year-on-year,Organic Market Report 2025,Organic Denmark,sector_market_report,https://organicdenmark.com/market-insights/toolbox/organic-market-report/,text/dk-organic-denmark-market-report-2025.txt,lines 240-252,sector_market_source,research/data/nordic/core-series/organic_market_retail_annual.csv,staged_sector_source,cross_country_limited_sector_method,Small increase compared with 2023.
DK,2024,market,organic_foodservice_sales_value,3.7,DKK_billion,foodservice,Organic Market Report 2025,Organic Denmark,sector_market_report,https://organicdenmark.com/market-insights/toolbox/organic-market-report/,text/dk-organic-denmark-market-report-2025.txt,lines 180-182,sector_market_source,research/data/nordic/core-series/organic_market_retail_annual.csv,staged_sector_source,cross_country_limited_sector_method,Report headline market split.
DK,2023,market,organic_foodservice_sales_value,3.4,DKK_billion,foodservice,Organic Market Report 2025,Organic Denmark,sector_market_report,https://organicdenmark.com/market-insights/toolbox/organic-market-report/,text/dk-organic-denmark-market-report-2025.txt,lines 1500-1510,sector_market_source,research/data/nordic/core-series/organic_market_retail_annual.csv,staged_sector_source,cross_country_limited_sector_method,Foodservice sales increased by 13 percent from DKK 3.0bn in 2022.
DK,2023,trade,organic_food_exports,3.5,DKK_billion,exports,Organic Market Report 2025,Organic Denmark,sector_market_report,https://organicdenmark.com/market-insights/toolbox/organic-market-report/,text/dk-organic-denmark-market-report-2025.txt,lines 1620-1624,sector_market_source,research/data/nordic/core-series/organic_selected_trade_annual.csv,staged_sector_source,trade_category_specific,Exports rose by 4 percent from 2022.
SE,2024,area,organic_agricultural_land,495700,ha,converted plus under conversion agricultural land,Ekologisk vaxtodling 2024,Jordbruksverket,authority_statistics,https://jordbruksverket.se/om-jordbruksverket/jordbruksverkets-officiella-statistik/jordbruksverkets-statistikrapporter/statistik/2025-05-15-ekologisk-vaxtodling-2024,text/se-jordbruksverket-ekologisk-vaxtodling-2024.txt,line 99,official_statistics,research/data/nordic/core-series/organic_agriculture_annual.csv,staged_official_source,national_source_not_directly_eurostat_comparable,Smallest area since 2012 according to report summary.
SE,2024,area,organic_agricultural_land_change,-54500,ha,year-on-year area change,Ekologisk vaxtodling 2024,Jordbruksverket,authority_statistics,https://jordbruksverket.se/om-jordbruksverket/jordbruksverkets-officiella-statistik/jordbruksverkets-statistikrapporter/statistik/2025-05-15-ekologisk-vaxtodling-2024,text/se-jordbruksverket-ekologisk-vaxtodling-2024.txt,line 99,official_statistics,research/data/nordic/core-series/organic_agriculture_annual.csv,staged_official_source,national_source_not_directly_eurostat_comparable,Corresponds to -10 percent from 2023.
SE,2024,control,enterprises_with_organic_agricultural_land,3985,enterprises,agricultural land,Ekologisk vaxtodling 2024,Jordbruksverket,authority_statistics,https://jordbruksverket.se/om-jordbruksverket/jordbruksverkets-officiella-statistik/jordbruksverkets-statistikrapporter/statistik/2025-05-15-ekologisk-vaxtodling-2024,text/se-jordbruksverket-ekologisk-vaxtodling-2024.txt,lines 89 and 114,official_statistics,research/data/nordic/core-series/organic_control_operators_annual.csv,staged_official_source,control_system_definitions_differ,491 fewer than 2023; -30 percent since 2019 peak.
SE,2024,area,organic_arable_land,373700,ha,arable land converted plus under conversion,Ekologisk vaxtodling 2024,Jordbruksverket,authority_statistics,https://jordbruksverket.se/om-jordbruksverket/jordbruksverkets-officiella-statistik/jordbruksverkets-statistikrapporter/statistik/2025-05-15-ekologisk-vaxtodling-2024,text/se-jordbruksverket-ekologisk-vaxtodling-2024.txt,line 108,official_statistics,research/data/nordic/core-series/organic_agriculture_annual.csv,staged_official_source,national_source_not_directly_eurostat_comparable,14.8 percent of total Swedish arable land.
SE,2024,area,organic_pasture_land,122000,ha,pasture/slatterang converted plus under conversion,Ekologisk vaxtodling 2024,Jordbruksverket,authority_statistics,https://jordbruksverket.se/om-jordbruksverket/jordbruksverkets-officiella-statistik/jordbruksverkets-statistikrapporter/statistik/2025-05-15-ekologisk-vaxtodling-2024,text/se-jordbruksverket-ekologisk-vaxtodling-2024.txt,line 110,official_statistics,research/data/nordic/core-series/organic_agriculture_annual.csv,staged_official_source,national_source_not_directly_eurostat_comparable,26.9 percent of total Swedish pasture.
SE,2024,area,organic_cereal_area,89700,ha,cereals,Ekologisk vaxtodling 2024,Jordbruksverket,authority_statistics,https://jordbruksverket.se/om-jordbruksverket/jordbruksverkets-officiella-statistik/jordbruksverkets-statistikrapporter/statistik/2025-05-15-ekologisk-vaxtodling-2024,text/se-jordbruksverket-ekologisk-vaxtodling-2024.txt,line 141,official_statistics,research/data/nordic/core-series/organic_agriculture_annual.csv,staged_official_source,national_source_not_directly_eurostat_comparable,9.0 percent of total Swedish cereal area.
SE,2024,production,organic_milk_delivered_to_dairies,295200,tonnes,milk delivered to dairies,Ekologisk animalieproduktion 2024,Jordbruksverket,authority_statistics,https://jordbruksverket.se/om-jordbruksverket/jordbruksverkets-officiella-statistik/jordbruksverkets-statistikrapporter/statistik/2025-06-27-ekologisk-animalieproduktion-2024,text/se-jordbruksverket-ekologisk-animalieproduktion-2024.txt,lines 97-99,official_statistics,research/data/nordic/core-series/organic_selected_production_annual.csv,staged_official_source,product_specific_not_cross_country_total,Down 18 percent from 2023 and 39 percent from 2021 peak.
SE,2024,production,organic_milk_share,11,percent,share of milk delivered,Ekologisk animalieproduktion 2024,Jordbruksverket,authority_statistics,https://jordbruksverket.se/om-jordbruksverket/jordbruksverkets-officiella-statistik/jordbruksverkets-statistikrapporter/statistik/2025-06-27-ekologisk-animalieproduktion-2024,text/se-jordbruksverket-ekologisk-animalieproduktion-2024.txt,lines 91 and 99,official_statistics,research/data/nordic/core-series/organic_selected_production_annual.csv,staged_needs_reconciliation_or_precision_note,product_specific_not_cross_country_total,Approximate; line says knappt 11 percent.
SE,2024,production,organic_egg_inweighing,14000,tonnes,wholesale egg inweighing,Ekologisk animalieproduktion 2024,Jordbruksverket,authority_statistics,https://jordbruksverket.se/om-jordbruksverket/jordbruksverkets-officiella-statistik/jordbruksverkets-statistikrapporter/statistik/2025-06-27-ekologisk-animalieproduktion-2024,text/se-jordbruksverket-ekologisk-animalieproduktion-2024.txt,line 147,official_statistics,research/data/nordic/core-series/organic_selected_production_annual.csv,staged_official_source,product_specific_not_cross_country_total,Down 13 percent from 2023.
SE,2024,production,organic_egg_share,13,percent,share of wholesale egg inweighing,Ekologisk animalieproduktion 2024,Jordbruksverket,authority_statistics,https://jordbruksverket.se/om-jordbruksverket/jordbruksverkets-officiella-statistik/jordbruksverkets-statistikrapporter/statistik/2025-06-27-ekologisk-animalieproduktion-2024,text/se-jordbruksverket-ekologisk-animalieproduktion-2024.txt,line 147,official_statistics,research/data/nordic/core-series/organic_selected_production_annual.csv,staged_official_source,product_specific_not_cross_country_total,Lowest share since 2010.
SE,2024,market,organic_food_sales_value_change,-1.5,percent,total organic food sales value,Ekologiska Arsrapporten 2024,Organic Sweden / Ekologiska Lantbrukarna / KRAV / Ekomatcentrum,sector_market_report,https://www.ekolantbruk.se/rapporter/arsrapport-2024pdf,text/se-ekologiska-arsrapporten-2024.txt,lines 60-70,sector_market_source,research/data/nordic/core-series/organic_market_retail_annual.csv,staged_sector_source,cross_country_limited_sector_method,Organic share decreased in all channels.
FI,2024,area,organic_farmland_area,309487,ha,organic farmland,Organics in Finland,Pro Luomu,sector_summary,https://proluomu.fi/en/organics-in-finland/,text/fi-proluomu-organics-in-finland.txt,line 41,sector_summary,research/data/nordic/core-series/organic_agriculture_annual.csv,staged_with_quality_flag,national_source_not_directly_eurostat_comparable,Nearly same as previous year.
FI,2024,area,organic_farmland_share,13.9,percent,share of Finland farmland,Organics in Finland,Pro Luomu,sector_summary,https://proluomu.fi/en/organics-in-finland/,text/fi-proluomu-organics-in-finland.txt,line 39,sector_summary,research/data/nordic/core-series/organic_agriculture_annual.csv,staged_with_quality_flag,national_source_not_directly_eurostat_comparable,Sector summary value.
FI,2024,control,organic_farms,3995,farms,all organic farms,Organics in Finland,Pro Luomu,sector_summary,https://proluomu.fi/en/organics-in-finland/,text/fi-proluomu-organics-in-finland.txt,line 49,sector_summary,research/data/nordic/core-series/organic_control_operators_annual.csv,staged_with_quality_flag,control_system_definitions_differ,About 10 percent of all farms; average organic farm 77.5 ha.
FI,2024,production,organic_cereal_production,143,million_kg,cereals,Organics in Finland,Pro Luomu,sector_summary,https://proluomu.fi/en/organics-in-finland/,text/fi-proluomu-organics-in-finland.txt,line 41,sector_summary,research/data/nordic/core-series/organic_selected_production_annual.csv,staged_with_quality_flag,product_specific_not_cross_country_total,4 percent of Finland total cereal harvest.
FI,2024,market,organic_grocery_sales_value,335,EUR_million,grocery stores,Organics in Finland,Pro Luomu,sector_summary,https://proluomu.fi/en/organics-in-finland/,text/fi-proluomu-organics-in-finland.txt,line 35,sector_estimate,research/data/nordic/core-series/organic_market_retail_annual.csv,staged_sector_estimate,cross_country_limited_sector_method,Pro Luomu estimate; down 5 percent from previous year.
FI,2024,market,organic_grocery_sales_share,1.8,percent,total grocery retail sales,Organics in Finland,Pro Luomu,sector_summary,https://proluomu.fi/en/organics-in-finland/,text/fi-proluomu-organics-in-finland.txt,line 35,sector_estimate,research/data/nordic/core-series/organic_market_retail_annual.csv,staged_sector_estimate,cross_country_limited_sector_method,Approximate.
FI,2024,public_kitchens,public_kitchens_using_organic_daily,63,percent,public kitchens survey,Organics in Finland,Pro Luomu,sector_summary,https://proluomu.fi/en/organics-in-finland/,text/fi-proluomu-organics-in-finland.txt,line 27,survey_sector_summary,research/data/nordic/core-series/organic_public_procurement_annual.csv,staged_survey_or_program_stat,not_directly_comparable_metric_specific,At least some organic product daily.
FI,2023-2024,public_kitchens,organic_school_milk_consumed,3.1,million_litres,daycare centres and schools,Organics in Finland,Pro Luomu,sector_summary,https://proluomu.fi/en/organics-in-finland/,text/fi-proluomu-organics-in-finland.txt,line 29,sector_summary_uses_food_authority_stats,research/data/nordic/core-series/organic_public_procurement_annual.csv,staged_with_quality_flag,not_directly_comparable_metric_specific,Organic milk share of subsidized school milk was 28 percent.
FI,2024,control,certified_organic_operators,5398,operators,all certified organic production operators,Luomuvalvonta Suomessa 2024,Ruokavirasto,control_report,https://www.ruokavirasto.fi/teemat/luomu/luomu-uutisia_kansio/luomuvalvonta-suomessa-2024/,text/fi-ruokavirasto-luomuvalvonta-2024.txt,section 1 Yleisarvio and table 2,official_control,research/data/nordic/core-series/organic_control_operators_annual.csv,staged_official_source,control_system_definitions_differ,Includes 3986 primary producers and 585 certified retail shops.
FI,2024,control,organic_primary_producers,3986,operators,primary producers,Luomuvalvonta Suomessa 2024,Ruokavirasto,control_report,https://www.ruokavirasto.fi/teemat/luomu/luomu-uutisia_kansio/luomuvalvonta-suomessa-2024/,text/fi-ruokavirasto-luomuvalvonta-2024.txt,section 1 Yleisarvio,official_control,research/data/nordic/core-series/organic_control_operators_annual.csv,staged_official_source,control_system_definitions_differ,"End-year primary production detail in section 2.1 says 3980 actors, 3917 farms."
FI,2024,control,certified_operator_compliance,99,percent,all certified operators,Luomuvalvonta Suomessa 2024,Ruokavirasto,control_report,https://www.ruokavirasto.fi/teemat/luomu/luomu-uutisia_kansio/luomuvalvonta-suomessa-2024/,text/fi-ruokavirasto-luomuvalvonta-2024.txt,line 147,official_control,research/data/nordic/core-series/organic_control_operators_annual.csv,staged_needs_reconciliation_or_precision_note,control_system_definitions_differ,Text says over 99 percent complied with production conditions.
IS,2023,control,certified_organic_operators,55,operators,organic operators,Annual report on official controls 2023,EFTA Surveillance Authority,official_controls_report,https://www.eftasurv.int/cms/sites/default/files/documents/gopro/Annual%20report%20on%20the%20overall%20operation%20of%20official%20controls%20in%20the%20food%20and%20veterinary%20area%20-%202023_0.pdf,text/is-esa-official-controls-2023.txt,lines 284-287,official_control_esa,research/data/nordic/core-series/organic_control_operators_annual.csv,staged_official_source,control_system_definitions_differ,All registered operators received a control visit in 2023; sampling target was not met.
IS,2023,control_system,competent_authority,MAST,organization,organic production and import controls,Iceland country profile - control system for organic production,EFTA Surveillance Authority,control_system_profile,https://www.eftasurv.int/cms/sites/default/files/documents/gopro/Country%20Profile%20Part%201%20-%20Iceland.pdf,text/is-esa-country-profile-iceland-2023.txt,lines 1805-1816,official_profile_esa,research/data/nordic/core-series/organic_control_operators_annual.csv,reference_only_control_system_context,reference_only,MAST is competent authority; import controls rest with MAST.
IS,2023,control_system,delegated_control_body,Vottunarstofan Tun,organization,official controls of organic operators,Iceland country profile - control system for organic production,EFTA Surveillance Authority,control_system_profile,https://www.eftasurv.int/cms/sites/default/files/documents/gopro/Country%20Profile%20Part%201%20-%20Iceland.pdf,text/is-esa-country-profile-iceland-2023.txt,lines 1805-1810,official_profile_esa,research/data/nordic/core-series/organic_control_operators_annual.csv,reference_only_control_system_context,reference_only,ESA official-controls report uses Vottunarstofan Tun spelling.
Nordic,2026,method,fibl_area_definition,certified_plus_under_conversion,definition,FiBL survey,The World of Organic Agriculture 2026,FiBL / IFOAM Organics International,benchmark_report,https://www.fibl.org/en/shop-en/1861-organic-world-2026,text/nordic-fibl-ifoam-organic-world-2026.txt,annex About the FiBL Survey,benchmark_method_caveat,reference_only,reference_only,reference_only,FiBL area includes fully converted and under-conversion land; national shares may differ from ministry/local expert shares.
Nordic,2026,method,fibl_market_comparability,limited_cross_country_comparability,caveat,retail sales and trade statistics,The World of Organic Agriculture 2026,FiBL / IFOAM Organics International,benchmark_report,https://www.fibl.org/en/shop-en/1861-organic-world-2026,text/nordic-fibl-ifoam-organic-world-2026.txt,annex About the FiBL Survey,benchmark_method_caveat,reference_only,reference_only,reference_only,Retail and trade comparisons are problematic because data collection methods and exchange rates differ.
NO,2025,market,organic_non_grocery_sales_growth,13.9,percent,non-grocery channels followed by Landbruksdirektoratet,Produksjon av okologiske jordbruksvarer 2025,Landbruksdirektoratet,authority_report,https://www.landbruksdirektoratet.no/nb/filarkiv/rapporter/Produksjon%20av%20%C3%B8kologiske%20jordbruksvarer%202025%20Rapport%202026%204.pdf,text/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.txt,lines 143-145 and 2440-2446,authority_report_pdf,research/data/nordic/core-series/organic_market_retail_annual.csv,staged_official_source,cross_country_limited,"Includes foodservice, Bondens marked, bakeries/cafe outlets and specialty shops."
NO,2025,market,organic_grocery_market_share_approx,2,percent,grocery retail,Produksjon av okologiske jordbruksvarer 2025,Landbruksdirektoratet,authority_report,https://www.landbruksdirektoratet.no/nb/filarkiv/rapporter/Produksjon%20av%20%C3%B8kologiske%20jordbruksvarer%202025%20Rapport%202026%204.pdf,text/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.txt,lines 2434-2441,authority_report_pdf,research/data/nordic/core-series/organic_market_retail_annual.csv,staged_official_source,cross_country_limited,Report states organic share of grocery market is stable around 2 percent.
NO,2025,production,organic_milk_utilization_rate,80,percent,share of delivered organic milk resold as organic milk,Produksjon av okologiske jordbruksvarer 2025,Landbruksdirektoratet,authority_report,https://www.landbruksdirektoratet.no/nb/filarkiv/rapporter/Produksjon%20av%20%C3%B8kologiske%20jordbruksvarer%202025%20Rapport%202026%204.pdf,text/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.txt,lines 113-118,authority_report_pdf,research/data/nordic/core-series/organic_selected_production_annual.csv,staged_official_source,product_specific_not_cross_country_total,Report says there was not enough organic milk to meet demand.
NO,2025,production,organic_four_legged_meat_utilization_rate,41,percent,reported organic meat production from four-legged animals,Produksjon av okologiske jordbruksvarer 2025,Landbruksdirektoratet,authority_report,https://www.landbruksdirektoratet.no/nb/filarkiv/rapporter/Produksjon%20av%20%C3%B8kologiske%20jordbruksvarer%202025%20Rapport%202026%204.pdf,text/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.txt,lines 119-124,authority_report_pdf,research/data/nordic/core-series/organic_selected_production_annual.csv,staged_official_source,product_specific_not_cross_country_total,Share used/sold as organic from reported production.
