country,year,metric,value,unit,scope,source_name,source_owner,source_type,source_url,source_file,source_ref,retrieved_at,quality_flag,import_status,comparability,notes
IS,2023,certified_organic_operators,55,operators,organic operators,Annual report on official controls 2023,EFTA Surveillance Authority,official_controls_report,https://www.eftasurv.int/cms/sites/default/files/documents/gopro/Annual%20report%20on%20the%20overall%20operation%20of%20official%20controls%20in%20the%20food%20and%20veterinary%20area%20-%202023_0.pdf,research/evidence-pack/okologisk-norden-2026-04-29/text/is-esa-official-controls-2023.txt,lines 284-287,2026-04-29,official_control_esa,staged_official_source,control_system_definitions_differ,All registered operators received a control visit in 2023; sampling target was not met.
IS,2023,competent_authority,MAST,organization,organic production and import controls,Iceland country profile - control system for organic production,EFTA Surveillance Authority,control_system_profile,https://www.eftasurv.int/cms/sites/default/files/documents/gopro/Country%20Profile%20Part%201%20-%20Iceland.pdf,research/evidence-pack/okologisk-norden-2026-04-29/text/is-esa-country-profile-iceland-2023.txt,lines 1805-1816,2026-04-29,official_profile_esa,reference_only_control_system_context,reference_only,MAST is competent authority; import controls rest with MAST.
IS,2023,delegated_control_body,Vottunarstofan Tun,organization,official controls of organic operators,Iceland country profile - control system for organic production,EFTA Surveillance Authority,control_system_profile,https://www.eftasurv.int/cms/sites/default/files/documents/gopro/Country%20Profile%20Part%201%20-%20Iceland.pdf,research/evidence-pack/okologisk-norden-2026-04-29/text/is-esa-country-profile-iceland-2023.txt,lines 1805-1810,2026-04-29,official_profile_esa,reference_only_control_system_context,reference_only,ESA official-controls report uses Vottunarstofan Tun spelling.
NO,2025,organic_grain_producers,402,enterprises,enterprises with organic grain production,Produksjon av okologiske jordbruksvarer 2025,Landbruksdirektoratet,authority_report,https://www.landbruksdirektoratet.no/nb/filarkiv/rapporter/Produksjon%20av%20%C3%B8kologiske%20jordbruksvarer%202025%20Rapport%202026%204.pdf,research/evidence-pack/okologisk-norden-2026-04-29/text/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.txt,lines 261-266,2026-04-29,authority_report_pdf,staged_official_source,control_system_definitions_differ,Down from 412 in 2024.
IS,2026,issued_organic_operator_certificates,59,certificates,current Iceland records with status ISSUED,TRACES organic operator certificates - Iceland,European Commission / TRACES NT,current_public_register_api,https://webgate.ec.europa.eu/tracesnt/directory/publication/organic-operator/index,research/evidence-pack/okologisk-norden-2026-04-29/downloads/is-traces-organic-operator-issued-2026.json,documentFoundCount header and JSON length,2026-04-29,traces_public_api_current,staged_current_register_source,current_certificate_status_not_annual_control_report,TRACES current certificate status retrieved 2026-04-29; keep separate from ESA 2023 official-controls operator count.
IS,2026,unique_issued_organic_operator_names,59,operator_names,unique operator names in current ISSUED records,TRACES organic operator certificates - Iceland,European Commission / TRACES NT,current_public_register_api,https://webgate.ec.europa.eu/tracesnt/directory/publication/organic-operator/index,research/evidence-pack/okologisk-norden-2026-04-29/downloads/is-traces-organic-operator-issued-2026.json,operator.name unique count,2026-04-29,traces_public_api_current,staged_current_register_source,current_certificate_status_not_annual_control_report,TRACES current certificate status retrieved 2026-04-29; keep separate from ESA 2023 official-controls operator count.
IS,2026,total_public_organic_operator_certificate_records,75,certificate_records,ISSUED/SUSPENDED/WITHDRAWN/EXPIRED public Iceland records,TRACES organic operator certificates - Iceland,European Commission / TRACES NT,current_public_register_api,https://webgate.ec.europa.eu/tracesnt/directory/publication/organic-operator/index,research/evidence-pack/okologisk-norden-2026-04-29/downloads/is-traces-organic-operator-public-statuses-2026.json,documentFoundCount header and JSON length,2026-04-29,traces_public_api_current,staged_current_register_source,current_certificate_status_not_annual_control_report,TRACES current certificate status retrieved 2026-04-29; keep separate from ESA 2023 official-controls operator count.
SE,2024,krav_certified_farmers,2762,farms,KRAV private-label certification,KRAVs Ekobarometer 2025 April,KRAV,certification_market_barometer,https://www.krav.se/om-oss/rapporter/kravs-ekobarometer/,research/evidence-pack/okologisk-norden-2026-04-29/text/se-krav-ekobarometer-2025-april.txt,lines 331-336,2026-04-29,private_certifier_report,staged_private_label_source,private_label_not_all_organic,KRAV-specific private-label count; keep separate from Jordbruksverket organic enterprises.
SE,2024,krav_certified_agricultural_land,375652,ha,KRAV-certified agricultural land,KRAVs Ekobarometer 2025 April,KRAV,certification_market_barometer,https://www.krav.se/om-oss/rapporter/kravs-ekobarometer/,research/evidence-pack/okologisk-norden-2026-04-29/text/se-krav-ekobarometer-2025-april.txt,lines 281-291,2026-04-29,private_certifier_report,staged_private_label_source,private_label_not_all_organic,"KRAV-specific land, not official total organic agricultural land."
SE,2024,krav_food_processors,649,operators,KRAV private-label certification,KRAVs Ekobarometer 2025 April,KRAV,certification_market_barometer,https://www.krav.se/om-oss/rapporter/kravs-ekobarometer/,research/evidence-pack/okologisk-norden-2026-04-29/text/se-krav-ekobarometer-2025-april.txt,lines 331-340,2026-04-29,private_certifier_report,staged_private_label_source,private_label_not_all_organic,KRAV-certified food processors.
SE,2024,krav_total_restaurants,627,operators,KRAV private-label certification,KRAVs Ekobarometer 2025 April,KRAV,certification_market_barometer,https://www.krav.se/om-oss/rapporter/kravs-ekobarometer/,research/evidence-pack/okologisk-norden-2026-04-29/text/se-krav-ekobarometer-2025-april.txt,lines 331-343,2026-04-29,private_certifier_report,staged_private_label_source,private_label_not_all_organic,KRAV-certified restaurants total.
SE,2024,krav_registered_articles,8012,articles,Mitt KRAV product/article register,KRAVs Ekobarometer 2025 April,KRAV,certification_market_barometer,https://www.krav.se/om-oss/rapporter/kravs-ekobarometer/,research/evidence-pack/okologisk-norden-2026-04-29/text/se-krav-ekobarometer-2025-april.txt,lines 331-348,2026-04-29,private_certifier_report,staged_private_label_source,private_label_not_all_organic,Registered articles in Mitt KRAV.
