id,priority,status,country,theme,source_type,outlet,title,year,url,capture_method,poison_pill_risk,coding_target,next_action,notes
no-e24-prismoete-2023,P2,candidate_manual,no,prispress,news-article,E24,Konkurransetilsynet kaller inn dagligvaregigantene til moete om oekte matpriser,2023,https://e24.no/naeringsliv/i/O8jPW3/konkurransetilsynet-kaller-inn-dagligvaregigantene-til-moete-om-oekte-matpriser,paywall_manual,high_paywall,timeline,manual_metadata_only,Adds 2023 inflation and public-warning trigger.
no-regjeringen-totalberedskap-2025,P1,already_in_corpus,no,beredskap,government-news,Regjeringen,White paper on total preparedness prepared for crisis or war,2025,https://www.regjeringen.no/en/whats-new/white-paper-on-total-preparedness-prepared-for-crisis-or-war/id3082581/,official_html,low,entry,snapshot_html,Existing corpus anchor for preparedness narrative.
no-riksrevisjonen-matsikkerhet-2024,P1,candidate_fetch,no,beredskap,public-audit,Riksrevisjonen,Matsikkerhet og beredskap paa landbruksomraadet,2024,https://www.riksrevisjonen.no/rapporter-mappe/no-2023-2024/matsikkerhet-og-beredskap-pa-landbruksomradet/,official_html,low,theme,snapshot_html,Should be used as primary preparedness control source.
no-norsus-matsvinn-2024,P2,candidate_fetch,no,sirkularitet,research-project,NORSUS,Matsvinn 2024,2025,https://norsus.no/prosjekt/matsvinn-2024/,official_html,low,entry,snapshot_html,Bridges media page with circularity and food-waste evidence.
no-nofima-upcycled-2025,P2,candidate_fetch,no,innovasjon,research-publication,Nofima,A Perspective of Upcycled Food by Norwegian Consumers,2025,https://nofima.com/publication/2372571/,official_html,low,entry,snapshot_html,Innovation/circular food consumer narrative.
no-nofima-upcycled-label-2025,P3,candidate_fetch,no,innovasjon,research-publication,Nofima,Consumer preferences for upcycled foods product attributes and label information,2025,https://nofima.com/publication/2387755/,official_html,low,entry,snapshot_html,Secondary upcycled-food angle; not Norway-only but useful for consumer framing.
no-e24-nho-uenighet-2026,WATCH,watch_2026,no,regulering,news-article,E24,Uenighet om dagligvare i NHO-systemet,2026,https://e24.no/naeringsliv/i/ExbwQa/uenighet-om-dagligvare-i-nho-systemet,paywall_manual,high_paywall,watchlist,manual_metadata_only,Current 2026 watch item about vertical integration and regulatory split; not historical chart material yet.
se-konkurrensverket-genomlysning-2024,P1,already_in_corpus,se,markedsmakt,authority-report,Konkurrensverket,Konkurrensverkets genomlysning av livsmedelsbranschen 2023-2024,2024,https://www.konkurrensverket.se/informationsmaterial/rapportlista/konkurrensverkets-genomlysning-av-livsmedelsbranschen-20232024/,official_html,low,entry,snapshot_html,Existing corpus anchor for Sweden.
se-konkurrensverket-food-knowledge-2025,P1,candidate_fetch,se,markedsmakt,authority-hub,Konkurrensverket,Konkurrensen i livsmedelsbranschen,2025,https://www.konkurrensverket.se/konkurrens/samlad-kunskap-om-konkurrens/genomlysning-av-livsmedelsbranschen/,official_html,low,country_profile,snapshot_html,Collects follow-up analyses and should become Sweden source hub.
se-axfood-citygross-acquires-2024,P1,candidate_fetch,se,markedsmakt,corporate-release,Axfood,Axfood acquires City Gross,2024,https://www.axfood.com/newsroom/press-releases/2024/06/axfood-acquires-city-gross/,official_html,low,entry,snapshot_html,Corporate-side framing of consolidation and competitiveness claims.
se-axfood-citygross-approved-2024,P1,already_in_corpus,se,regulering,corporate-release,Axfood,Axfoods acquisition of City Gross approved by the Swedish Competition Authority,2024,https://www.axfood.com/newsroom/press-releases/2024/10/axfoods-acquisition-of-city-gross-approved-by-the-swedish-competition-authority/,official_html,low,entry,snapshot_html,Existing corpus anchor; pair with authority source if available.
se-regeringen-livsmedelsstrategi-2025,P1,candidate_fetch,se,beredskap,government-strategy,Regeringen,Livsmedelsstrategin 2.0,2025,https://www.regeringen.se/rattsliga-dokument/departementsserien-och-promemorior/2025/03/livsmedelsstrategin-2.0,official_html,low,entry,snapshot_html,Sweden 2025 shift toward measurable food-production and competitiveness goals.
se-rise-circular-food-2025,P2,candidate_fetch,se,sirkularitet,research-project,RISE,Circular food in practice collaboration for sustainable public meals,2025,https://www.ri.se/en/system-innovation/circular-transition/project/circular-food-in-practice-collaboration-for,official_html,low,entry,snapshot_html,Adds public-meal circularity track.
se-ivl-focuse-2025,P2,candidate_fetch,se,innovasjon,research-project,IVL,FOCUSE food production and provisioning through circular urban systems,2025,https://www.ivl.se/english/ivl/our-offer/research-projects/food/food-production-and-provisioning-through-circular-urban-systems-in-european-cities.html,official_html,low,entry,snapshot_html,Urban circular food and provisioning angle.
se-circularity-gap-2024,P2,existing_backlog,se,sirkularitet,benchmark,Circle Economy,Circularity Gap Report Sweden,2024,https://www.circularity-gap.world/sweden,interactive_dashboard,medium,theme,snapshot_landing,Use as benchmark only; do not overstate as media coverage.
se-smartbuilt-gottsunda-2024,P3,existing_backlog,se,sirkularitet,project-page,Smart Built Environment,Circular food system in Gottsunda Center,2024,https://smartbuilt.se/in-english/projects/value-chains-and-business-models/circular-food-system-in-gottsunda/,official_html,low,entry,snapshot_html,Local circular-food case.
dk-kfst-salling-coop-2025,P1,already_in_corpus,dk,regulering,authority-decision,KFST,Salling Group acquires 33 stores from Coop Danmark,2025,https://en.kfst.dk/nyheder/kfst/english/decisions/2025/20250326-salling-group-acquires-33-stores-from-coop-danmark,official_html,low,entry,snapshot_html,Existing corpus anchor for Denmark.
dk-kfst-salling-coop-pdf-2025,P1,candidate_fetch,dk,markedsmakt,authority-decision-pdf,KFST,Salling Group AS erhvervelse af dele af Coop Danmark AS,2025,https://kfst.dk/media/edgjum43/20250326-salling-groups-erhvervelse-af-dele-af-coop-danmark-a.pdf,official_pdf,low,entry,download_or_catalog_pdf,Use for local-market HHI and market-share details.
dk-kfst-price-policy-2025,P1,candidate_fetch,dk,prispress,authority-news,KFST,Konkurrence og Forbrugerstyrelsen moedes med de store dagligvarekaeder,2025,https://kfst.dk/pressemeddelelser/kfst/2025/20250320-konkurrence-og-forbrugerstyrelsen-moedes-med-de-store-dagligvarekaeder,official_html,low,entry,snapshot_html,Adds pricing tools algorithmic pricing and bargaining-power track.
dk-dansk-erhverv-food-prices-2024,P2,candidate_fetch,dk,prispress,industry-analysis,Dansk Erhverv,Stigende foedevarepriser er ikke lig profit for dagligvarekaederne,2024,https://www.danskerhverv.dk/politik-og-analyser/analyser/2024/december/stigende-fodevarepriser-er-ikke-lig--profit-for-dagligvarekaderne/,article_snapshot,low,entry,snapshot_html,Industry counter-frame to profit/price-gouging claims.
dk-foodnation-circularity-2024,P2,existing_backlog,dk,sirkularitet,industry-news,Food Nation Denmark,The Danish agriculture and food sector steps up regarding circularity,2024,https://foodnationdenmark.com/news/the-danish-agriculture-and-food-sector-steps-up-regarding-circularity/,article_snapshot,low,entry,snapshot_html,Existing circular-food backlog row; can support Denmark circularity profile.
dk-newfood-amcor-crisp-2025,P3,existing_backlog,dk,sirkularitet,trade-media,New Food Magazine,Amcor backs Danish circular food packaging recycling project,2025,https://www.newfoodmagazine.com/news/amcor-backs-danish-circular-food-packaging-recycling-project/850273.article,article_snapshot,medium,entry,snapshot_html,Trade-media case; use after official/research material.
dk-usda-gain-retail-2025,P1,candidate_fetch,dk,markedsmakt,market-report,USDA FAS,Retail Foods Annual Denmark DA2025-0002,2025,https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Retail+Foods+Annual_The+Hague_Denmark_DA2025-0002.pdf,official_pdf,low,country_profile,download_or_catalog_pdf,Primary comparative market-structure report already referenced elsewhere in project.
fi-kkv-food-market-study-2023,P1,candidate_fetch,fi,prispress,authority-news,FCCA,The FCCA studies the functioning of the food market,2023,https://www.kkv.fi/en/current/news/fcca-studies-the-functioning-of-the-food-market/,official_html,low,entry,snapshot_html,Good starting point for price transmission and food-chain margin logic.
fi-kkv-30-percent-rule-2014,P1,already_in_corpus,fi,regulering,authority-news,FCCA,Competition Act provision on grocery trade became effective,2014,https://www.kkv.fi/en/current/press-releases/competition-act-provision-on-grocery-trade-became-effective-on-1st-of-january/,official_html,low,entry,snapshot_html,Existing corpus anchor; keep as historical baseline outside 2016-2025 trend where needed.
fi-kesko-price-cuts-2025,P2,candidate_fetch,fi,prispress,corporate-news,Kesko,K Group grocery stores cut prices on over 1200 products,2025,https://www.kesko.fi/en/media/news-and-releases/news/2025/k-group-grocery-stores-cut-prices-on-over-1200-products--kesko-and-k-retailers-invest-nearly-50-million-in-price-reductions/,official_html,low,entry,snapshot_html,Corporate response to price-sensitive market and consumer expectations.
fi-pty-grocery-market-2024,P1,candidate_fetch,fi,markedsmakt,industry-statistics,Finnish Grocery Trade Association,Grocery trade market in Finland,2024,https://www.pty.fi/en/finnish-grocery-trade/,official_html,low,country_profile,snapshot_html,Primary source for 2024 market shares: S Group K Group Lidl etc.
fi-kesko-market-share-2024,P2,candidate_fetch,fi,markedsmakt,corporate-blog,Kesko,Market share decline for K Group grocery stores slowed down in 2024,2025,https://www.kesko.fi/en/media/blogs/investor-blogs-and-podcasts/2025/gt-market-share/,article_snapshot,low,entry,snapshot_html,Adds corporate interpretation of PTY/Nielsen market-share trend.
fi-kesko-market-share-2025,WATCH,watch_2026,fi,markedsmakt,corporate-news,Kesko,K Group full-year market share 33.5 percent in 2025,2026,https://www.kesko.fi/en/media/news-and-releases/investor-news/2026/k-group-market-share-in-grocery-trade-took-an-upturn-in-the-latter-half-of-2025--full-year-market-share-33.5/,official_html,low,watchlist,snapshot_html,Current 2026 publication about 2025 market share; use in update note not 2016-2025 chart until reviewed.
fi-interreg-circular-foodshift-2024,P2,existing_backlog,fi,sirkularitet,project-page,Interreg Baltic Sea Region,Circular FoodShift,2024,https://interreg-baltic.eu/project/circular-foodshift/,official_html,low,entry,snapshot_html,Municipal food-waste reduction and procurement case.
fi-mdpi-turku-circular-campus-2021,P3,existing_backlog,fi,innovasjon,academic-article,MDPI Sustainability,Managing a circular food system in sustainable urban farming Turku University Campus,2021,https://www.mdpi.com/2071-1050/13/11/6231,open_access_html,low,entry,snapshot_html,Academic case for circular urban farming in Finland.
is-samkeppni-report-overview-2024,P1,already_in_corpus,is,markedsmakt,authority-hub,Samkeppniseftirlitid,Skyrslur report overview,2024,https://www.samkeppni.is/urlausnir/skyrslur/,official_html,medium,entry,snapshot_html,Existing corpus anchor; needs exact report URL extraction.
is-samkeppni-festi-lyfja-2024,P1,candidate_fetch,is,markedsmakt,authority-decision,Samkeppniseftirlitid,Purchase of Lyfju hf by Festi hf,2024,https://www.samkeppni.is/en/solutions/decisions/32-2024/,official_html,low,entry,snapshot_html,Shows adjacent retail concentration and conditions in Iceland.
is-hagar-management-2024-25,P1,candidate_fetch,is,markedsmakt,corporate-report,Hagar,Hagar management report 2024-25,2025,https://www.hagar.is/media/fgpfwir5/fr%C3%A9ttatilkynning-hagar-4f-2024-25-ensk.pdf,official_pdf,low,country_profile,download_or_catalog_pdf,Primary corporate source for market leader and operating context.
is-bifrost-retail-sector,P2,candidate_fetch,is,markedsmakt,academic-report,Bifrost University,The structure of the retail sector in Iceland,2024,https://www.bifrost.is/media/1/skra_0016984.pdf,official_pdf,medium,country_profile,download_or_catalog_pdf,Useful academic/educational source for retail concentration context; year must be confirmed.
is-usda-exporter-guide-2023,P2,candidate_fetch,is,markedsmakt,market-report,USDA FAS,Iceland Exporter Guide,2023,https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Iceland+Exporter+Guide_The+Hague_Iceland_IC2023-0009.pdf,official_pdf,low,country_profile,download_or_catalog_pdf,Fallback public market-structure source until exact Retail Foods Annual Iceland 2024 URL is recovered.
is-samkeppnisvisar-grocery-hhi-2021,P1,candidate_fetch,is,markedsmakt,authority-analysis,Samkeppniseftirlitid,Competition indicators capital region grocery market HHI,2021,https://www.samkeppni.is/en/education/competitiveness-indicators/,official_html,low,country_profile,snapshot_html,Direct Iceland grocery concentration source with HHI trend for capital region grocery market.
is-geothermal-geofood-2020,P3,existing_backlog,is,sirkularitet,trade-article,Geothermie Schweiz,Geothermal energy for circular food production GEOFOOD Iceland,2020,https://geothermie-schweiz.ch/geothermal-energy-for-circular-food-production/,article_snapshot,medium,entry,snapshot_html,Iceland circular-food case; lower priority than concentration and preparedness material.
is-novia-local-food-2024,P3,existing_backlog,is,innovasjon,blog,Novia University,Local food and fibres in Iceland,2024,https://novialia.novia.fi/bloggar/bioekonomi/local-food-and-fibres-in-iceland-more-than-smelly-shark-and-sweaters,article_snapshot,medium,entry,snapshot_html,Use as innovation colour only after primary Iceland sources.
nordic-hotspot-beyond-bean-2023,P2,existing_backlog,nordic,sirkularitet,article,Nordic Circular Hotspot,Beyond the Bean a Nordic Perspective on Circular Food Systems,2023,https://nordiccircularhotspot.org/news/beyond-the-bean-a-nordic-perspective-on-circular-food-systems,article_snapshot,medium,theme,snapshot_html,Nordic comparative circular-food framing.
nordic-circularity-gap-norway-2024,P2,existing_backlog,nordic,sirkularitet,benchmark,Circle Economy,Circularity Gap Report Norway,2024,https://www.circularity-gap.world/norway,interactive_dashboard,medium,theme,snapshot_landing,Benchmark only; useful for circularity context not media intensity.
nordic-circular-households-pilot-2024,P3,existing_backlog,nordic,sirkularitet,project-page,Circular Households CARE,Circular Food Pilot,2024,https://www.circularhouseholds.eu/circular-food-pilot/,official_html,low,entry,snapshot_html,Household food-waste reduction pilot across NO SE FI DE EE.
nordic-food-energy-circular-2022,P3,candidate_fetch,nordic,sirkularitet,academic-article,Circular Economy and Sustainability,Food-energy integration in regional food systems Nordic case study,2022,https://link.springer.com/article/10.1007/s43615-022-00233-2,open_access_html,low,theme,snapshot_html,Open-access academic frame for circular value distribution.
nordic-matsentralen-reports-2024,P2,candidate_fetch,nordic,beredskap,ngo-report-index,Matsentralen Norge,Rapporter og studier,2024,https://www.matsentralen.no/rapporter,official_html,low,entry,snapshot_html,Food aid and surplus redistribution surface; bridges preparedness and food waste.
