"record_id","source_product_record_id","hs_code","product_scope","species_group","product_form","export_tonnes_2024","kcal_per_100g","edible_part_pct","energy_tcal_candidate","energy_source","edible_source","mapping_status","ki_usage_rule","notes"
"G3-NO-HS-ENERGY-03056200-2024","G3-NO-HS-PRODUCT-026-2024","03056200","processed_preserved_fish","cod","salted_or_brined","17669.066","79","70","9.771","Matvaretabellen 04.039 Torsk i skiver rå","Matvaretabellen 04.039 Torsk i skiver rå","mapped_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03035101-2024","G3-NO-HS-PRODUCT-027-2024","03035101","whole_or_gutted_fish_shellfish","herring","whole_or_gutted","17350.935","179","60","18.635","Matvaretabellen 04.382 Sild rå","Matvaretabellen 04.382 Sild rå","mapped_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03024901-2024","G3-NO-HS-PRODUCT-028-2024","03024901","whole_or_gutted_fish_shellfish","capelin_proxy","whole_or_gutted","16615.229","179","60","17.845","Matvaretabellen 04.382 Sild rå used as capelin proxy","Matvaretabellen 04.382 Sild rå used as capelin proxy","mapped_proxy_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03061601-2024","G3-NO-HS-PRODUCT-029-2024","03061601","whole_or_gutted_fish_shellfish","prawn","whole_or_gutted","15203.298","102","38","5.893","Matvaretabellen 04.387 Reker rå","Matvaretabellen 04.387 Reker rå","mapped_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03035402-2024","G3-NO-HS-PRODUCT-030-2024","03035402","whole_or_gutted_fish_shellfish","mackerel","whole_or_gutted","14196.447","286","50","20.301","Matvaretabellen 04.023 Makrell august-desember rå; edible 04.022 seasonal proxy","Matvaretabellen 04.023 Makrell august-desember rå; edible 04.022 seasonal proxy","mapped_proxy_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03025200-2024","G3-NO-HS-PRODUCT-031-2024","03025200","whole_or_gutted_fish_shellfish","haddock","whole_or_gutted","14114.316","78","50","5.505","Matvaretabellen 04.110 Hyse kolje rå","Matvaretabellen 04.110 Hyse kolje rå","mapped_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03025121-2024","G3-NO-HS-PRODUCT-032-2024","03025121","whole_or_gutted_fish_shellfish","cod","whole_or_gutted","11934.711","79","70","6.600","Matvaretabellen 04.039 Torsk i skiver rå","Matvaretabellen 04.039 Torsk i skiver rå","mapped_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03038904-2024","G3-NO-HS-PRODUCT-033-2024","03038904","whole_or_gutted_fish_shellfish","herring","whole_or_gutted","11605.432","179","60","12.464","Matvaretabellen 04.382 Sild rå","Matvaretabellen 04.382 Sild rå","mapped_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03033101-2024","G3-NO-HS-PRODUCT-034-2024","03033101","whole_or_gutted_fish_shellfish","greenland_halibut","whole_or_gutted","11479.512","155","100","17.793","Matvaretabellen 04.001 Blåkveite rå/kaldrøkt","Matvaretabellen 04.001 Blåkveite rå/kaldrøkt","mapped_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03049921-2024","G3-NO-HS-PRODUCT-035-2024","03049921","whole_or_gutted_fish_shellfish","herring","whole_or_gutted","10212.154","179","60","10.968","Matvaretabellen 04.382 Sild rå","Matvaretabellen 04.382 Sild rå","mapped_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03025600-2024","G3-NO-HS-PRODUCT-036-2024","03025600","whole_or_gutted_fish_shellfish","blue_whiting_proxy","whole_or_gutted","9875.060","79","50","3.901","Matvaretabellen 04.039 Torsk proxy for kolmule","Matvaretabellen 04.039 Torsk proxy for kolmule","mapped_proxy_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-16041206-2024","G3-NO-HS-PRODUCT-037-2024","16041206","prepared_seafood","herring_pickled","prepared","9696.229","137","100","13.284","Matvaretabellen 04.290 Sild sursild innlagt avrent","product form treated as edible food weight","mapped_proxy_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03061602-2024","G3-NO-HS-PRODUCT-038-2024","03061602","whole_or_gutted_fish_shellfish","prawn","whole_or_gutted","9159.304","102","38","3.550","Matvaretabellen 04.387 Reker rå","Matvaretabellen 04.387 Reker rå","mapped_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03057200-2024","G3-NO-HS-PRODUCT-039-2024","03057200","edible_byproduct_or_roe","processed_unknown","salted_or_brined","7728.542","","","","","","needs_manual_mapping","exclude","No species/product energy factor assigned"
"G3-NO-HS-ENERGY-03061402-2024","G3-NO-HS-PRODUCT-040-2024","03061402","whole_or_gutted_fish_shellfish","crab","whole_or_gutted","6420.660","85","40","2.183","Matvaretabellen 04.398 Krabbeskjell; edible share proxy","Matvaretabellen 04.398 Krabbeskjell; edible share proxy","mapped_proxy_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03048621-2024","G3-NO-HS-PRODUCT-041-2024","03048621","fillet_or_fish_meat","herring","fillet_or_fish_meat","5745.659","179","100","10.285","Matvaretabellen 04.382 Sild rå","product form treated as edible food weight","mapped_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03024101-2024","G3-NO-HS-PRODUCT-042-2024","03024101","whole_or_gutted_fish_shellfish","herring","whole_or_gutted","5551.608","179","60","5.962","Matvaretabellen 04.382 Sild rå","Matvaretabellen 04.382 Sild rå","mapped_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03044200-2024","G3-NO-HS-PRODUCT-043-2024","03044200","fillet_or_fish_meat","trout","fillet_or_fish_meat","5501.985","166","100","9.133","Matvaretabellen 04.256 Ørret oppdrett rå; edible whole proxy","product form treated as edible food weight","mapped_proxy_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03053910-2024","G3-NO-HS-PRODUCT-044-2024","03053910","fillet_or_fish_meat","herring","fillet_or_fish_meat","5254.551","179","100","9.406","Matvaretabellen 04.382 Sild rå","product form treated as edible food weight","mapped_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03039102-2024","G3-NO-HS-PRODUCT-045-2024","03039102","edible_byproduct_or_roe","capelin_proxy","edible_byproduct_or_roe","4700.441","","","","","","needs_byproduct_mapping","exclude","Mixed edible byproduct row needs specific organ/roe mapping"
"G3-NO-HS-ENERGY-03025122-2024","G3-NO-HS-PRODUCT-046-2024","03025122","whole_or_gutted_fish_shellfish","cod","whole_or_gutted","4662.417","79","70","2.578","Matvaretabellen 04.039 Torsk i skiver rå","Matvaretabellen 04.039 Torsk i skiver rå","mapped_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03024400-2024","G3-NO-HS-PRODUCT-047-2024","03024400","whole_or_gutted_fish_shellfish","mackerel","whole_or_gutted","4625.342","286","50","6.614","Matvaretabellen 04.023 Makrell august-desember rå; edible 04.022 seasonal proxy","Matvaretabellen 04.023 Makrell august-desember rå; edible 04.022 seasonal proxy","mapped_proxy_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03039908-2024","G3-NO-HS-PRODUCT-048-2024","03039908","edible_byproduct_or_roe","cod_roe","edible_byproduct_or_roe","4492.930","116","100","5.212","Matvaretabellen 04.052 Rogn torsk rå","Matvaretabellen 04.052 Rogn torsk rå","mapped_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03031411-2024","G3-NO-HS-PRODUCT-049-2024","03031411","whole_or_gutted_fish_shellfish","trout","whole_or_gutted","4202.397","166","55","3.837","Matvaretabellen 04.256 Ørret oppdrett rå; edible whole proxy","Matvaretabellen 04.256 Ørret oppdrett rå; edible whole proxy","mapped_proxy_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03031419-2024","G3-NO-HS-PRODUCT-050-2024","03031419","whole_or_gutted_fish_shellfish","trout","whole_or_gutted","3782.134","166","55","3.453","Matvaretabellen 04.256 Ørret oppdrett rå; edible whole proxy","Matvaretabellen 04.256 Ørret oppdrett rå; edible whole proxy","mapped_proxy_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-15042099-2024","G3-NO-HS-PRODUCT-051-2024","15042099","fish_oil","fish_oil","fish_oil","3688.544","","","","","","scope_excluded_fish_oil","exclude","Fish oil should not be direct food-energy unless end use scenario is explicitly added"
"G3-NO-HS-ENERGY-03055332-2024","G3-NO-HS-PRODUCT-052-2024","03055332","processed_preserved_fish","clipfish","clipfish","3482.325","268","75","6.999","Matvaretabellen 04.253 Klippfisk saltet og tørket","Matvaretabellen 04.253 Klippfisk saltet og tørket","mapped_proxy_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03047109-2024","G3-NO-HS-PRODUCT-053-2024","03047109","fillet_or_fish_meat","cod","fillet_or_fish_meat","2864.543","79","100","2.263","Matvaretabellen 04.039 Torsk i skiver rå","product form treated as edible food weight","mapped_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03055320-2024","G3-NO-HS-PRODUCT-054-2024","03055320","processed_preserved_fish","clipfish","clipfish","2855.858","268","75","5.740","Matvaretabellen 04.253 Klippfisk saltet og tørket","Matvaretabellen 04.253 Klippfisk saltet og tørket","mapped_proxy_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03039902-2024","G3-NO-HS-PRODUCT-055-2024","03039902","edible_byproduct_or_roe","cod","edible_byproduct_or_roe","2847.573","","","","","","needs_byproduct_mapping","exclude","Mixed edible byproduct row needs specific organ/roe mapping"
"G3-NO-HS-ENERGY-03028903-2024","G3-NO-HS-PRODUCT-056-2024","03028903","whole_or_gutted_fish_shellfish","anglerfish","whole_or_gutted","2743.808","64","34","0.597","Matvaretabellen 04.211 Breiflabb rå","Matvaretabellen 04.211 Breiflabb rå","mapped_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03031319-2024","G3-NO-HS-PRODUCT-057-2024","03031319","whole_or_gutted_fish_shellfish","salmon","whole_or_gutted","2618.252","223","65","3.795","Matvaretabellen 04.220 Laks oppdrett rå; edible whole proxy","Matvaretabellen 04.220 Laks oppdrett rå; edible whole proxy","mapped_proxy_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03053221-2024","G3-NO-HS-PRODUCT-058-2024","03053221","fillet_or_fish_meat","ling","fillet_or_fish_meat","2436.708","72","100","1.754","Matvaretabellen 04.019 Lange rå","product form treated as edible food weight","mapped_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03039101-2024","G3-NO-HS-PRODUCT-059-2024","03039101","edible_byproduct_or_roe","herring","edible_byproduct_or_roe","2433.616","","","","","","needs_byproduct_mapping","exclude","Mixed edible byproduct row needs specific organ/roe mapping"
"G3-NO-HS-ENERGY-16042006-2024","G3-NO-HS-PRODUCT-060-2024","16042006","prepared_seafood","cod_roe","prepared","2374.878","116","100","2.755","Matvaretabellen 04.052 Rogn torsk rå","product form treated as edible food weight","mapped_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03028902-2024","G3-NO-HS-PRODUCT-061-2024","03028902","whole_or_gutted_fish_shellfish","redfish","whole_or_gutted","2342.782","94","90","1.982","Matvaretabellen 04.045 Uer rå","Matvaretabellen 04.045 Uer rå","mapped_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03055113-2024","G3-NO-HS-PRODUCT-062-2024","03055113","processed_preserved_fish","stockfish","stockfish","2339.281","327","100","7.649","Matvaretabellen 04.041 Tørrfisk; edible share product-weight proxy","Matvaretabellen 04.041 Tørrfisk; edible share product-weight proxy","mapped_proxy_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03047309-2024","G3-NO-HS-PRODUCT-063-2024","03047309","fillet_or_fish_meat","saithe","fillet_or_fish_meat","2301.676","85","100","1.956","Matvaretabellen 04.029 Sei rå","product form treated as edible food weight","mapped_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03038902-2024","G3-NO-HS-PRODUCT-064-2024","03038902","whole_or_gutted_fish_shellfish","wolffish","whole_or_gutted","2300.455","97","50","1.116","Matvaretabellen 04.037 Steinbit rå","Matvaretabellen 04.037 Steinbit rå","mapped_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03057900-2024","G3-NO-HS-PRODUCT-065-2024","03057900","edible_byproduct_or_roe","processed_unknown","salted_or_brined","2266.770","","","","","","needs_manual_mapping","exclude","SSB label says suitable for human consumption; species and product mix still need manual energy/yield mapping"
"G3-NO-HS-ENERGY-16041205-2024","G3-NO-HS-PRODUCT-066-2024","16041205","prepared_seafood","herring_spiced","prepared","2157.154","187","100","4.034","Matvaretabellen 04.033 Sild kryddersild","product form treated as edible food weight","mapped_proxy_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03054300-2024","G3-NO-HS-PRODUCT-067-2024","03054300","fillet_or_fish_meat","trout","fillet_or_fish_meat","2073.618","166","100","3.442","Matvaretabellen 04.256 Ørret oppdrett rå; edible whole proxy","product form treated as edible food weight","mapped_proxy_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03036900-2024","G3-NO-HS-PRODUCT-068-2024","03036900","whole_or_gutted_fish_shellfish","gadidae_proxy","whole_or_gutted","2073.173","79","50","0.819","Matvaretabellen 04.039 Torsk proxy for unspecified Gadidae","Matvaretabellen 04.039 Torsk proxy for unspecified Gadidae","mapped_proxy_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03048610-2024","G3-NO-HS-PRODUCT-069-2024","03048610","fillet_or_fish_meat","herring","fillet_or_fish_meat","2065.768","179","100","3.698","Matvaretabellen 04.382 Sild rå","product form treated as edible food weight","mapped_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03047101-2024","G3-NO-HS-PRODUCT-070-2024","03047101","fillet_or_fish_meat","cod","fillet_or_fish_meat","2024.193","79","100","1.599","Matvaretabellen 04.039 Torsk i skiver rå","product form treated as edible food weight","mapped_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03099000-2024","G3-NO-HS-PRODUCT-071-2024","03099000","needs_manual_review","processed_unknown","needs_manual_review","1981.017","","","","","","needs_manual_mapping","exclude","SSB label says suitable for human consumption; species and product mix still need manual energy/yield mapping"
"G3-NO-HS-ENERGY-03022199-2024","G3-NO-HS-PRODUCT-072-2024","03022199","whole_or_gutted_fish_shellfish","greenland_halibut","whole_or_gutted","1927.631","155","100","2.988","Matvaretabellen 04.001 Blåkveite rå/kaldrøkt","Matvaretabellen 04.001 Blåkveite rå/kaldrøkt","mapped_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03054100-2024","G3-NO-HS-PRODUCT-073-2024","03054100","fillet_or_fish_meat","salmon","fillet_or_fish_meat","1904.772","223","100","4.248","Matvaretabellen 04.220 Laks oppdrett rå; edible whole proxy","product form treated as edible food weight","mapped_proxy_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03056902-2024","G3-NO-HS-PRODUCT-074-2024","03056902","fillet_or_fish_meat","saithe","fillet_or_fish_meat","1654.459","85","100","1.406","Matvaretabellen 04.029 Sei rå","product form treated as edible food weight","mapped_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03055390-2024","G3-NO-HS-PRODUCT-075-2024","03055390","processed_preserved_fish","cod","salted_or_brined","1557.900","79","70","0.862","Matvaretabellen 04.039 Torsk i skiver rå","Matvaretabellen 04.039 Torsk i skiver rå","mapped_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03025902-2024","G3-NO-HS-PRODUCT-076-2024","03025902","whole_or_gutted_fish_shellfish","ling","whole_or_gutted","1548.582","72","40","0.446","Matvaretabellen 04.019 Lange rå","Matvaretabellen 04.019 Lange rå","mapped_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03048200-2024","G3-NO-HS-PRODUCT-077-2024","03048200","fillet_or_fish_meat","trout","fillet_or_fish_meat","1455.825","166","100","2.417","Matvaretabellen 04.256 Ørret oppdrett rå; edible whole proxy","product form treated as edible food weight","mapped_proxy_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03044419-2024","G3-NO-HS-PRODUCT-078-2024","03044419","fillet_or_fish_meat","cod","fillet_or_fish_meat","1438.899","79","100","1.137","Matvaretabellen 04.039 Torsk i skiver rå","product form treated as edible food weight","mapped_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03056100-2024","G3-NO-HS-PRODUCT-079-2024","03056100","fillet_or_fish_meat","herring","fillet_or_fish_meat","1435.089","179","100","2.569","Matvaretabellen 04.382 Sild rå","product form treated as edible food weight","mapped_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03047301-2024","G3-NO-HS-PRODUCT-080-2024","03047301","fillet_or_fish_meat","saithe","fillet_or_fish_meat","1425.732","85","100","1.212","Matvaretabellen 04.029 Sei rå","product form treated as edible food weight","mapped_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-15041091-2024","G3-NO-HS-PRODUCT-081-2024","15041091","fish_oil","fish_oil","fish_oil","1329.550","","","","","","scope_excluded_fish_oil","exclude","Fish oil should not be direct food-energy unless end use scenario is explicitly added"
"G3-NO-HS-ENERGY-03035500-2024","G3-NO-HS-PRODUCT-082-2024","03035500","whole_or_gutted_fish_shellfish","mackerel","whole_or_gutted","1312.323","286","50","1.877","Matvaretabellen 04.023 Makrell august-desember rå; edible 04.022 seasonal proxy","Matvaretabellen 04.023 Makrell august-desember rå; edible 04.022 seasonal proxy","mapped_proxy_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03025400-2024","G3-NO-HS-PRODUCT-083-2024","03025400","whole_or_gutted_fish_shellfish","hake_proxy","whole_or_gutted","1291.992","79","50","0.510","Matvaretabellen 04.039 Torsk proxy for lysing","Matvaretabellen 04.039 Torsk proxy for lysing","mapped_proxy_candidate","exclude","Candidate only; review HS product form and yield before G3 result use"
"G3-NO-HS-ENERGY-03039109-2024","G3-NO-HS-PRODUCT-084-2024","03039109","edible_byproduct_or_roe","herring","edible_byproduct_or_roe","1214.085","","","","","","needs_byproduct_mapping","exclude","Mixed edible byproduct row needs specific organ/roe mapping"
