actor_id,canonical_name,aliases,org_number,country,county,municipality,website,actor_kind,circular_category,value_chain_stage,r_ladder_level,circular_mechanism,product_or_stream,status,founding_year,founders_or_key_people,employee_count,revenue_latest,strongest_source,weakest_point,source_class,gap_type,gate,registry_decision,confidence,ikke_si,last_checked
car-no-greve-biogass-as,GREVE BIOGASS AS,Greve Biogass,912716635,NO,Vestfold,Tonsberg,https://www.grevebiogass.no,company,biogass/digestat,waste,R8,biogas and biofertilizer production linked to Den Magiske Fabrikken,matavfall; husdyrgjodsel; biogass; biogjodsel,active,2013,,,,https://www.grevebiogass.no/; https://data.brreg.no/enhetsregisteret/api/enheter?navn=GREVE%20BIOGASS%20AS&size=3,Must keep Greve Lindum and Den Magiske Fabrikken as separate legal/facility rows,A,Type A,verified,verified,high,Do not use facility capacity or ownership share as realized annual circular impact.,2026-06-24
car-no-ivar-iks,IVAR IKS,IVAR; IVAR Grodaland,871035032,NO,Rogaland,Stavanger,https://www.ivar.no,public,biogass/digestat,waste,R8,co-digestion of food waste sludge and other organic waste at Grodaland,matavfall; avlopsslam; septikslam; organisk industriavfall; biogass; biogjodsel,active,1999,,,,https://www.ivar.no/grodaland/; https://www.ivar.no/biogass/; https://data.brreg.no/enhetsregisteret/api/enheter?navn=IVAR%20IKS&size=3,"Facility-specific claims should be tied to Grodaland source pages, not the whole IVAR group",A,Type A,verified,verified,high,Do not infer fish-sludge or manure input as current routine feedstock unless the source names it for the facility/use case.,2026-06-24
car-no-lindum-as,LINDUM AS,Lindum,979618840,NO,Buskerud,Drammen,https://lindum.no,company,biogass/digestat,waste,multi,organic waste treatment with biogas biofertilizer compost and soil-product routes,matavfall; avlopsslam; biogjodsel; kompost; jordprodukter,active,2001,,,,https://lindum.no/produkter; https://lindum.no/tjenester/matavfall-avloopsslam-og-biologiske-ressurser; https://data.brreg.no/enhetsregisteret/api/enheter?navn=LINDUM%20AS&size=3,"Broad resource-recovery actor; split facility, product and KPI claims before analytical use",A,Type A,verified,verified,high,Do not treat all Lindum waste handling as food-system nutrient return or measured circular impact.,2026-06-24
car-no-kavlifondet,O. KAVLI OG KNUT KAVLIS ALLMENNYTTIGE FOND STI,Kavlifondet,938503583,NO,Vestland,Bergen,https://www.kavlifondet.no,foundation,finansiering/støtte,support,unknown,grant support for Matsentralen establishment and development,overskuddsmat redistribution infrastructure,active,1962,,,,https://www.kavlifondet.no/no/prosjekter/vi-stotter-matsentralen,Foundation support is enabling infrastructure not direct food handling,A,Type A,verified,verified,high,Do not infer Matsentralen tonnage or social outcome from grant support alone.,2026-06-24
car-no-arctic-protein-industries-as,ARCTIC PROTEIN INDUSTRIES AS,Arctic Protein Industries,931863444,NO,Innlandet,Gran,,company,insekter,processing,R2,insect and fertilizer products,insektprotein og gjødselprodukter,active,2023,,,,research/norge/circular-actors/brreg-validated.md,Commercial production status needs actor/source check,A,Type B,verified,verified,medium,Do not infer scaled production from incorporation and activity text,2026-06-24
car-no-invertapro-as,INVERTAPRO AS,Invertapro,917809755,NO,Vestland,Voss,https://www.invertapro.com/en,company,insekter,processing,R2,food waste and organic side-streams converted to larvae feed/food products and frass fertilizer,insect larvae/frass/Blome,active,2016,Alexander Solstad Ringheim CEO/daglig leder; Jakob Irgens Blakstad CSO; Kristin Roen Fauske CCO; Jon Gjerde co-founder [Invertapro primary + Brreg],,,https://www.invertapro.com/en; https://data.brreg.no/enhetsregisteret/api/enheter?navn=Invertapro&size=5; https://www.invertapro.com/en/om-oss; https://data.brreg.no/enhetsregisteret/api/enheter/917809755/roller,Do not import secondary investor/founder claims beyond official team/co-founder basis,A,Type A,verified,verified,high,Do not treat LCA percentages as independently verified registry KPI without reading the underlying LCA.,2026-06-24
car-no-norinsect-as,NORINSECT AS,NorInsect,916325010,NO,More og Romsdal,Fjord,https://norinsect.no,company,insekter,processing,R2,mealworm conversion of low-value residues into feed ingredients and organic fertilizer,mealworm protein/oil/frass,active,2015,Peder Vikenes founder; Harald Espeland co-founder and CEO/daglig leder [NorInsect primary + Brreg],,,research/intake/perplexity-2026-04-20/new-actors.json; https://norinsect.no/about-us/this-is-norisect/%26lang%3D2; https://data.brreg.no/enhetsregisteret/api/enheter/916325010/roller,Founder story does not prove national market share or output volume,A,Type A,verified,verified,high,Do not infer national output volume or market share from factory size alone.,2026-06-24
car-no-mjosanlegget-as,MJOSANLEGGET AS,Mjosanlegget Biogass AS; Mjosanlegget,987916346,NO,Innlandet,Lillehammer,https://www.mjosanlegget.no,company,kompost/jord,waste,multi,food waste to biogas wet fertilizer compost and soil products,matavfall; vatgjodsel; kompost; jordprodukter; biogass,active,2005,,,,https://www.mjosanlegget.no/hjem/; https://www.mjosanlegget.no/om-oss/; https://data.brreg.no/enhetsregisteret/api/enheter?navn=MJ%C3%98SANLEGGET%20AS&size=3,Company/facility branding uses Mjosanlegget Biogass; keep legal name and alias clean,A,Type A,verified,verified,high,Do not infer annual output or regional coverage beyond the named source claims.,2026-06-24
car-no-holdbart-as,HOLDBART AS,Holdbart,815664582,NO,Akershus,Vestby,https://www.holdbart.no/,company,matsvinn/prevention,retail,R1,resale of surplus goods and goods with short or poor shelf life through stores and online retail,overskuddsvarer/datovarer/mat og drikke,active,2015,Trond J. Laeng and Thor Johansen founders; Trond Johannesen Laeng daglig leder [Brreg]; Summa Equity investor/acquirer 2021 [Summa source],397,,research/norge/circular-actors/brreg-validated.md; https://data.brreg.no/enhetsregisteret/api/enheter/815664582/roller; https://summaequity.com/summa-equity-acquires-holdbart-norways-leading-surplus-food-retailer/,People/ownership source is for governance context; do not import exact Summa ownership percentage without primary source,A,Type A,verified,verified,high,Do not treat resale volume or revenue as measured food-waste reduction without a KPI or annual-report source.,2026-06-24
car-no-too-good-to-go-norge-as,TOO GOOD TO GO NORGE AS,Too Good To Go Norge,917203261,NO,Oslo,Oslo,https://www.toogoodtogo.com/no,platform,matsvinn/prevention,consumption,R1,app marketplace for surplus food from shops cafes restaurants and similar actors,overskuddsmat/restemat,active,2016,Ken Vanhoegaerden daglig leder; Mette Lykke Ravn styrets leder [Brreg]; Mette Lykke global investor/CEO role in Too Good To Go history [company primary],17,,research/norge/circular-actors/brreg-validated.md; https://data.brreg.no/enhetsregisteret/api/enheter/917203261/roller; https://www.toogoodtogo.com/en-us/about-us/our-history,Do not import secondary/global founder lists into the Norway legal row,A,Type A,verified,verified,high,Do not use global saved-meal figures or app impact numbers as Norway-specific realized food-waste reduction without source.,2026-06-24
car-no-matsentralen-norge,MATSENTRALEN NORGE,Food Banks Norway,919702974,NO,Oslo,Oslo,https://www.matsentralen.no/english,network,redistribusjon,distribution,R1,national food-bank network redistributing surplus food from food industry to non-profit organizations,overskuddsmat/mathjelp,active,2017,,6,,https://www.matsentralen.no/english; https://www.matsentralen.no/rapporter/arsrapport-matsentralen-norge; https://data.brreg.no/enhetsregisteret/api/enheter?navn=MATSENTRALEN%20NORGE&size=5,2024 redistributed-tonnage source exists but should be kept as network output not proof of total national food-waste prevention,A,Type A,verified,verified,high,Do not present Matsentralen tonnes as total Norwegian saved food or as complete redistribution coverage.,2026-06-24
car-no-debio,DEBIO,Debio,971475471,NO,Akershus,Aurskog-Høland,https://debio.no,foundation,regenerativ/lokal praksis,support,unknown,organic certification and control,økologisk sertifisering,active,1986,,47,,research/norge/circular-actors/brreg-validated.md,Certification role is enabling infrastructure - not production,A,Type A,verified,verified,high,Do not treat certification body as a producer,2026-06-24
car-no-debio-marked-as,DEBIO MARKED AS,Debio Marked,915190715,NO,Akershus,Aurskog-Høland,https://debio.no,company,regenerativ/lokal praksis,support,unknown,market support for certified sustainable food,økologisk marked,active,2015,,11,,research/norge/circular-actors/brreg-validated.md,Role needs source-shortlist before impact language,A,Type A,verified,verified,medium,Do not infer circular outcome from certification-related activity,2026-06-24
car-no-gartnerhallen-sa,GARTNERHALLEN SA,Gartnerhallen,945958405,NO,Oslo,Oslo,https://gartnerhallen.no,cooperative,regenerativ/lokal praksis,primary,unknown,fruit and vegetable producer cooperative,frukt og grønt,active,1930,,23,,research/norge/circular-actors/brreg-validated.md,Circular relevance is local value-chain infrastructure and must not be overstated,A,Type A,verified,verified,medium,Do not call Gartnerhallen circular by default without mechanism per use,2026-06-24
car-no-biomega-group-as,BIOMEGA GROUP AS,biomega; Biomega Norway AS,982219787,NO,Vestland,Bergen,https://biomegagroup.com/,company,sidestrøm/upcycling,processing,R2,accelerated biorefining of salmon rest streams into food pet and aquaculture ingredients,salmon rest streams/oil/peptides/protein,active,2000,Anders Quamme Fosse daglig leder; Espen Aanderud chair; GC Rieber AS announced agreement to acquire 100 percent of Biomega Group including Biomega Norway and Biomega Denmark [Brreg + company/GC Rieber primary],,,https://biomegagroup.com/; https://biomegagroup.com/about-us/; https://data.brreg.no/enhetsregisteret/api/enheter?navn=Biomega&size=8; https://data.brreg.no/enhetsregisteret/api/enheter/982219787/roller; https://biomegagroup.com/gc-rieber-kjoper-biomega/; https://www.gcrieber.no/as/gc-rieber-as-kjoper-biomega-group-as/,Do not call acquisition completed unless completion or ownership-register source is added,A,Type A,verified,verified,high,Do not double-count Biomega Group AS and Biomega Norway AS as separate actor capacity without entity split.,2026-06-24
car-no-hoff-sa,HOFF SA,Hoff Norske Potetindustrier,940379016,NO,Innlandet,Gjovik,https://www.hoff.no/baerekraft_/sirkulaerokonomi/,cooperative,sidestrøm/upcycling,processing,R2,whole-potato use and rest-resource handling through potato flour protein spirits feed and fertilizer loops,potatoes/peelings/cuttings/rest resources,active,1982,Ken Are Bod Ostlid daglig leder; Hanne Refsholt chair; cooperative ownership: 544 Norwegian owners and about 200 potato producers [HOFF primary + Brreg],,,research/intake/perplexity-2026-04-20/new-actors.json; https://www.hoff.no/om-oss/; https://data.brreg.no/enhetsregisteret/api/enheter/940379016/roller,Ownership/member information does not make all potato rest resources human-food upcycling,A,Type A,verified,verified,high,Do not treat all rest resources as human food. Do not use the 40 000 tonne figure without preserving HOFF's own scope wording.,2026-06-24
car-no-hofseth-biocare-asa,HOFSETH BIOCARE ASA,HBC; Hofseth BioCare,994464663,NO,More og Romsdal,Alesund,https://hofsethbiocare.com/,company,sidestrøm/upcycling,processing,R2,enzymatic hydrolysis of fresh Norwegian salmon off-cuts into bioactive marine ingredients,salmon off-cuts/oil/peptides/calcium-collagen,active,2009,"Jon Olav Odegard CEO; Linda Christin Hoff chair; Roger Hofseth board member; largest shareholders per 2025 annual report include SIX SIS AG, RH Industri AS, Hofseth International AS and Yokorei Co. Ltd. [HBC primary/annual report + Brreg]",,,https://hofsethbiocare.com/; https://www.hofsethbiocare.com/company/about-us; https://data.brreg.no/enhetsregisteret/api/enheter?navn=Hofseth%20BioCare&size=8; https://www.hofsethbiocare.com/company/management; https://www.hofsethbiocare.com/company/board-of-directors; https://hofsethbiocare.com/uploads/images/669694_Hofseth-Biocare-2025-Annual-report.pdf; https://data.brreg.no/enhetsregisteret/api/enheter/994464663/roller,Ownership data is context only; clinical and market claims remain out of CAR,A,Type A,verified,verified,high,Do not import clinical benefit claims into CAR without study-level review. Do not use investor-presentation capacity as realized output unless source-specific.,2026-06-24
car-no-pelagia-as,PELAGIA AS,Pelagia,989094823,NO,Vestland,Bergen,https://www.pelagia.com/about,company,sidestrøm/upcycling,processing,R2,100 percent fish utilization and processing of trimmings/non-human-consumption fish into marine ingredients health products feed biofuel and soil products,fish trimmings/marine proteins/fish oil/feed ingredients,active,2005,Egil Magne Haugstad CEO; Rolf Andersen CFO; Bjorn Refsum COO Health; Arnt-Ove Blytt-Tosdal Kolas COO Feed; Rolf Kristian Vaage COO Food; ownership via Pelagia Holding AS joint venture: Austevoll Seafood ASA and Kvefi AS 50/50 [Pelagia/Austevoll primary + Brreg],,,https://www.pelagia.com/about; https://data.brreg.no/enhetsregisteret/api/enheter?navn=Pelagia&size=8; https://www.pelagia.com/info/management; https://www.auss.no/investments/industrial-holdings/pelagia-holding-as/; https://data.brreg.no/enhetsregisteret/api/enheter/989094823/roller,Do not equate ownership/management with high-value human-food upcycling,A,Type A,verified,verified,high,Do not equate 100 percent fish utilization with high-value human-food utilization. Do not mix self-dead farmed fish with food-grade streams.,2026-06-24
car-no-algavida-as,ALGAVIDA AS,Algavida,928679969,NO,Møre og Romsdal,Molde,,company,tang/tare,processing,R2,algae product development,algeprodukter,active,2021,,0,,research/norge/circular-actors/brreg-validated.md,Product status and scale need actor/source check,A,Type B,verified,verified,medium,Do not infer realized production volume from Brreg activity text,2026-06-24
car-no-arctic-seaweed-as,ARCTIC SEAWEED AS,Arctic Seaweed,917378819,NO,Agder,Flekkefjord,https://aseaweed.com/,company,tang/tare,primary,R2,technology and deployed systems for scalable seaweed farming,seaweed farming modules,active,2016,"Kim Kristensen CEO / Founder / Board; Borre Halvorsen chair; board includes Aleksander Overby, Matthias Boing, Kristoffer Nilsen, Kristian Flyvholm and Libbe Skovgaard-Petersen [Arctic Seaweed primary + Brreg]",,,research/norge/circular-actors/brreg-validated.md; https://aseaweed.com/portfolio/about-us/; https://data.brreg.no/enhetsregisteret/api/enheter/917378819/roller,Do not classify as food producer from people or technology-source basis alone,A,Type A,verified,verified,high,Do not classify as a food producer if the sourced role is farming technology and service enablement.,2026-06-24
car-no-seaweed-solutions-as,SEAWEED SOLUTIONS AS,Seaweed Solutions,993491780,NO,Trondelag,Trondheim,https://seaweedsolutions.com/,company,tang/tare,input,R2,seaweed seed/culture supply and cultivation/restoration services,macroalgae seeds/cultures,active,2009,Pal Bakken founder; Jon Funderud CEO; Maren Saether Business Development and Innovation Manager; Hallvard Muri chair [Seaweed Solutions primary + Brreg],,,research/norge/circular-actors/brreg-validated.md; https://seaweedsolutions.com/our-story; https://seaweedsolutions.com/meet-the-team; https://data.brreg.no/enhetsregisteret/api/enheter/993491780/roller,People data does not prove food/feed volume from seaweed activity,A,Type A,verified,verified,high,Do not infer food or feed volume from seaweed cultivation capability alone.,2026-06-24
