"country","metric_type","category","year","value","unit","source","subtitle","metadata_json"
"no","foodWaste","Totalt","2024","451000","tonn","Matvett/SSB 2025 est.","",""
"no","foodWaste","Totalt","2022","479000","tonn","Matvett/SSB 2023","",""
"no","foodWaste","Totalt","2020","508000","tonn","Matvett/SSB 2021","",""
"no","foodWaste","Totalt","2017","544000","tonn","Matvett/SSB 2018","",""
"no","foodWaste","Totalt","2015","575000","tonn","ForMat 2016","",""
"no","foodWastePerCapita","Totalt","2024","82","kg/capita","Matvett 2025 est.","",""
"no","foodWastePerCapita","Totalt","2022","87","kg/capita","Matvett/Eurostat 2023","",""
"no","foodWastePerCapita","Totalt","2020","93","kg/capita","Matvett/Eurostat 2021","",""
"no","foodWastePerCapita","Totalt","2017","102","kg/capita","Matvett/Eurostat 2018","",""
"no","foodWastePerCapita","Totalt","2015","109","kg/capita","ForMat/Eurostat 2016","",""
"se","foodWaste","householdAvoidableFoodWastePerCapita","2024","16","kg/person/year","Naturvardsverket Livsmedelsavfall 2024","Household edible food waste that could have been eaten","{\"reportId\":\"naturvardsverket-livsmedelsavfall-sverige-2024\",\"shareOfHouseholdSolidFoodWaste\":26}"
"se","foodWaste","householdOtherFoodWastePerCapita","2024","45","kg/person/year","Naturvardsverket Livsmedelsavfall 2024","Household non-edible or other solid food waste","{\"reportId\":\"naturvardsverket-livsmedelsavfall-sverige-2024\",\"shareOfHouseholdSolidFoodWaste\":74}"
"se","foodWaste","householdShareRetailConsumerStage","2024","72","%","Naturvardsverket Livsmedelsavfall 2024","Household share of solid food waste in retail and consumer stages","{\"reportId\":\"naturvardsverket-livsmedelsavfall-sverige-2024\"}"
"se","foodWaste","nationalPerCapitaReductionTarget2025","2025","20","%","Naturvardsverket Livsmedelsavfall 2024","National milestone target for per-capita food waste reduction compared with 2020","{\"reportId\":\"naturvardsverket-livsmedelsavfall-sverige-2024\",\"baselineYear\":2020,\"targetStatus\":\"not achieved according to Naturvardsverket 2024 summary\"}"
"se","foodWaste","restaurantsPublicMealsShareRetailConsumerStage","2024","15","%","Naturvardsverket Livsmedelsavfall 2024","Restaurants and public meals share of retail and consumer-stage solid food waste","{\"reportId\":\"naturvardsverket-livsmedelsavfall-sverige-2024\"}"
"se","foodWaste","retailAndConsumerStagePerCapita","2024","84","kg/person/year","Naturvardsverket Livsmedelsavfall 2024","Solid food waste per person in retail and consumer stages","{\"reportId\":\"naturvardsverket-livsmedelsavfall-sverige-2024\",\"comparisonNote\":\"Approximately unchanged from 2020 according to Naturvardsverket.\"}"
"se","foodWaste","retailAndConsumerStageTotal","2024","880000","tonnes","Naturvardsverket Livsmedelsavfall 2024","Solid food waste in retail and consumer stages","{\"scope\":\"retail, wholesale, restaurants, public meals and households\",\"excludes\":[\"primary production\",\"food industry\",\"food and drink poured into drains\"],\"reportId\":\"naturvardsverket-livsmedelsavfall-sverige-2024\"}"
"se","foodWaste","retailDistributionShareRetailConsumerStage","2024","13","%","Naturvardsverket Livsmedelsavfall 2024","Retail and other food distribution share of retail and consumer-stage solid food waste","{\"reportId\":\"naturvardsverket-livsmedelsavfall-sverige-2024\"}"
"se","foodWastePerCapita","Totalt","2022","127","kg/capita","Naturvårdsverket 2023","",""
"se","foodWastePerCapita","Totalt","2020","133","kg/capita","Naturvårdsverket 2021","",""
