id,quality,tags,status,gate,manual_check,local_paths,local_exists,urls,db_hits,next_action,reference,note
"SRC-A-011","uvalidert","A-feed, actor, finance","db-linked","internal-only","true","research/bibliotek/forskningsrunde-2026-04-20-r2/p17-volare-selskapsdossier-2026-04-20.md","research/bibliotek/forskningsrunde-2026-04-20-r2/p17-volare-selskapsdossier-2026-04-20.md:yes","","Document:cmo87fgmt00abq30d12vfjws6 -> Doc:cmo87fgmt00abq30d12vfjws6 ([Deep Research] Lag en detaljert selskapsprofil for Volare / Finnprotein Oy (Finl...) [path:p17-volare-selskapsdossier-2026-04-20.md]","DB-lenke finnes; behold manuell sjekk/forbehold fra shortlist.","research/bibliotek/forskningsrunde-2026-04-20-r2/p17-volare-selskapsdossier-2026-04-20.md","Selskapsdossier for Volare/Finnprotein med teknologi, finansiering og regulatorisk status."
"SRC-A-012","uvalidert","A-feed, B-sidestream, policy","db-linked","internal-only","false","research/bibliotek/forskningsrunde-2026-04-20-r2/p19-bsf-substrat-sidestrommer-2026-04-20.md","research/bibliotek/forskningsrunde-2026-04-20-r2/p19-bsf-substrat-sidestrommer-2026-04-20.md:yes","","Document:cmo87fgn800adq30dtl2vp11e -> Doc:cmo87fgn800adq30dtl2vp11e (Kartlegg hvilke avfalls- og sidestrømmer som kan brukes som substrat for Black So...) [path:p19-bsf-substrat-sidestrommer-2026-04-20.md]","DB-lenke finnes; behold manuell sjekk/forbehold fra shortlist.","research/bibliotek/forskningsrunde-2026-04-20-r2/p19-bsf-substrat-sidestrommer-2026-04-20.md","Arbeidsnotat om nordiske BSF-substrater, volum, ernæringskvalitet og EU-regulatoriske grenser."
"SRC-A-013","primær","A-feed, baseline, actor","external-only","requires-manual-check","true","","","https://www.denofa.no/soya; https://www.denofa.no/soya/produkter","","Last ned/speil primærkilde eller opprett SourceDoc før tung bruk.","https://www.denofa.no/soya/ og https://www.denofa.no/soya/produkter/","Denofa actor-primary source for årlig soyabønneimport til Fredrikstad, opprinnelse og produkter; brukes med tydelig actor-forbehold."
"SRC-A-014","primær","A-feed, baseline","external-only","requires-manual-check","true","","","https://www.fiskeridir.no/statistikk-tall-og-analyse/data-og-statistikk-om-akvakultur/statistiske-publikasjon-innen-akvakultur","","Last ned/speil primærkilde eller opprett SourceDoc før tung bruk.","https://www.fiskeridir.no/statistikk-tall-og-analyse/data-og-statistikk-om-akvakultur/statistiske-publikasjon-innen-akvakultur, `Nøkkeltall fra norsk havbruksnæring 2024`, tabell 43","Institusjonskilde for omsetning av fôr i norsk oppdrettsnæring 2020-2024, i tonn."
"SRC-A-015","primær","A-feed, actor, baseline","external-only","requires-manual-check","true","","","https://www.skretting.com/no/baerekraft/baerekraftsrapport/impact-report-2024-skretting-norway/use-of-vegetable-raw-materials-2024","","Last ned/speil primærkilde eller opprett SourceDoc før tung bruk.","https://www.skretting.com/no/baerekraft/baerekraftsrapport/impact-report-2024-skretting-norway/use-of-vegetable-raw-materials-2024/","Actor-specific fôrsammensetning, SPC-andel og sertifisering for Skretting Norge; ikke bransjeproxy."
"SRC-A-016","sekundær","A-feed, baseline","external-only","requires-manual-check","true","","","https://eumofa.eu/fishmeal-and-fish-oil-2025-edition","","Last ned/speil primærkilde eller opprett SourceDoc før tung bruk.","https://eumofa.eu/fishmeal-and-fish-oil-2025-edition","EU/global fiskemel-kontekst: produksjon, handel og sluttbruk, inkludert akvakulturandel."
"SRC-A-017","primær","A-feed, baseline, C-adoption","external-only","requires-manual-check","true","","","https://www.ssb.no/statbank/table/08801; https://data.ssb.no/api/v0/no/table/08801","","Last ned/speil primærkilde eller opprett SourceDoc før tung bruk.","SSB Statistikkbanken tabell 08801: https://www.ssb.no/statbank/table/08801/ og API https://data.ssb.no/api/v0/no/table/08801/","Offisiell norsk importstatistikk etter varenummer, import/eksport, land, statistikkvariabel og år. Brukes for soyabønner, soyabønnemel, soyaolje, soyakaker/reststoff, fiskemel/fiskepellets og prepared fish feed; SPC/prepared-feed-metode krever fortsatt SSB/Tolletaten/fôraktøravklaring."
"SRC-A-018","primær","A-feed, baseline, policy","external-only","requires-manual-check","true","","","https://nibio.brage.unit.no","","Last ned/speil primærkilde eller opprett SourceDoc før tung bruk.","NIBIO: «Bærekraft i norsk jordbruksproduksjon — del 1 og 2» (2024); https://nibio.brage.unit.no/","NIBIO-utredning bestilt av LMD (levert oktober 2024) som dekker bærekraft i jordbruksproduksjon, fôrkjede, gjødseleffektivitet og selvforsyning. Brukes som offisiell norsk baseline; faktiske kapittelhenvisninger må sjekkes mot brage-PDF før sitering."
"SRC-A-019","primær","A-feed, policy","external-only","requires-manual-check","true","","","https://ifro.ku.dk/english/news/2025/danish-soy-import","","Last ned/speil primærkilde eller opprett SourceDoc før tung bruk.","Københavns Universitet / IFRO 2025: dansk soyaimport-analyse; https://ifro.ku.dk/english/news/2025/danish-soy-import/","IFRO/KU-rapport (2025) som dokumenterer at 1,2–1,7 mill. tonn dansk soyaimport per år er kun 6 % fysisk sporbar; sourcing fra DCF-områder kan kutte 54 % av utslippene fra brasiliansk soya. Sentralt for EUDR-eksposisjon i Spor A og dossier-a."
"SRC-B-001","intern syntese","B-sidestream, C-adoption, policy","db-linked","internal-synthesis","false","research/norden/verdikjede/06-matsvinn-sirkulaer.md","research/norden/verdikjede/06-matsvinn-sirkulaer.md:yes","","Document:cmmpax3t4002ou10dled3hd5b -> Doc:cmmpax3t4002ou10dled3hd5b (Matsvinn og sirkulaer okonomi i matsystemet: Nordisk komparativ analyse) [path:06-matsvinn-sirkulaer.md]; SourceDoc:src-60 -> Doc:cmmpax3t4002ou10dled3hd5b (Nordisk Matsvinn og Sirkulaer Okonomi: Komparativ Analyse) [path:06-matsvinn-sirkulaer.md]","DB-lenke finnes; behold manuell sjekk/forbehold fra shortlist.","research/norden/verdikjede/06-matsvinn-sirkulaer.md","Nordisk komparativ analyse av matsvinn, behandling, redistribusjon, biogass, emballasje og policy."
"SRC-B-002","sekundær","B-sidestream, policy","db-linked","external-ready-candidate","false","research/bibliotek/sirkularitet/nordisk-matsvinn-rapport-2024.md","research/bibliotek/sirkularitet/nordisk-matsvinn-rapport-2024.md:yes","","Document:cmmxvfo77003c1i0dqk6co9by -> Doc:cmmxvfo77003c1i0dqk6co9by (Empowering Effective Food Waste Solutions in the Nordic Region) [path:nordisk-matsvinn-rapport-2024.md]","Kan brukes som kandidat i evidence matrix; legg på sidetall/claim-ID.","research/bibliotek/sirkularitet/nordisk-matsvinn-rapport-2024.md","Nordisk matsvinnrapport brukt som støtte for nivå, tiltak og policykontekst."
"SRC-B-003","sekundær","B-sidestream, baseline","db-linked","external-ready-candidate","false","research/bibliotek/sirkularitet/matsvinn-tidsserier-norden.md","research/bibliotek/sirkularitet/matsvinn-tidsserier-norden.md:yes","","Document:cmmxvfo6w003b1i0djx1jm0hx -> Doc:cmmxvfo6w003b1i0djx1jm0hx (Matsvinn tidsserier Norden 2015-2024) [path:matsvinn-tidsserier-norden.md]","Kan brukes som kandidat i evidence matrix; legg på sidetall/claim-ID.","research/bibliotek/sirkularitet/matsvinn-tidsserier-norden.md","Tidsseriegrunnlag for matsvinn i Norden og sammenlignbarhet mellom land."
"SRC-B-004","primær","B-sidestream, C-adoption","db-linked","external-ready-candidate","false","research/bibliotek/akademia/masteroppgaver/eriksson-phd-2015.md","research/bibliotek/akademia/masteroppgaver/eriksson-phd-2015.md:yes","","Document:cmmv9nxpj000dw70dnnwvstxl -> Doc:cmmv9nxpj000dw70dnnwvstxl (Untitled) [path:eriksson-phd-2015.md]; SourceDoc:src-88 -> Doc:cmmv9nxpj000dw70dnnwvstxl (Supermarket food waste: Prevention and management at the retail stage) [path:eriksson-phd-2015.md]","Kan brukes som kandidat i evidence matrix; legg på sidetall/claim-ID.","research/bibliotek/akademia/masteroppgaver/eriksson-phd-2015.md","PhD med kvantitativ kartlegging av matsvinn i svenske supermarkeder og vurdering av håndteringsalternativer."
"SRC-B-005","primær","B-sidestream, policy","db-linked","external-ready-candidate","false","research/bibliotek/akademia/masteroppgaver/albizzati-phd-2021.md","research/bibliotek/akademia/masteroppgaver/albizzati-phd-2021.md:yes","","Document:cmmv9nxp40007w70d3i8a9t1q -> Doc:cmmv9nxp40007w70d3i8a9t1q (Untitled) [path:albizzati-phd-2021.md]","Kan brukes som kandidat i evidence matrix; legg på sidetall/claim-ID.","research/bibliotek/akademia/masteroppgaver/albizzati-phd-2021.md","PhD/LCA-kilde for rangering av matsvinnshåndtering på tvers av forebygging, redistribusjon, fôr og avfall."
"SRC-B-006","sekundær","B-sidestream","db-linked","external-ready-candidate","false","research/bibliotek/akademia/pubmed/javourez-u-2021-waste-to-nutrition-a-review.md","research/bibliotek/akademia/pubmed/javourez-u-2021-waste-to-nutrition-a-review.md:yes","","Document:cmnyng1k5005hd50djjv87n76 -> Doc:cmnyng1k5005hd50djjv87n76 (Waste-to-nutrition: a review of current and emerging conversion pathways) [path:javourez-u-2021-waste-to-nutrition-a-review.md]","Kan brukes som kandidat i evidence matrix; legg på sidetall/claim-ID.","research/bibliotek/akademia/pubmed/javourez-u-2021-waste-to-nutrition-a-review.md","Review om hvordan reststrømmer kan oppgraderes til ernæringsprodukter fremfor lavverdig behandling."
"SRC-B-007","sekundær","B-sidestream, A-feed","db-linked","external-ready-candidate","false","research/bibliotek/akademia/pubmed/falch-e-2026-maximizing-the-utilization-of-seafood.md","research/bibliotek/akademia/pubmed/falch-e-2026-maximizing-the-utilization-of-seafood.md:yes","","Document:cmnyng1jn005dd50do7yklt8h -> Doc:cmnyng1jn005dd50do7yklt8h (Maximizing the utilization of seafood resources) [path:falch-e-2026-maximizing-the-utilization-of-seafood.md]","Kan brukes som kandidat i evidence matrix; legg på sidetall/claim-ID.","research/bibliotek/akademia/pubmed/falch-e-2026-maximizing-the-utilization-of-seafood.md","Review/oversiktskapittel om høyverdiutnyttelse av sjømatressurser, sidestrømmer og bifangst."
"SRC-B-008","primær","B-sidestream","db-linked","external-ready-candidate","false","research/bibliotek/akademia/pubmed/stoknes-k-2016-efficiency-of-a-novel-food.md","research/bibliotek/akademia/pubmed/stoknes-k-2016-efficiency-of-a-novel-food.md:yes","","Document:cmnyng1kr005md50dblvrjso1 -> Doc:cmnyng1kr005md50dblvrjso1 (Efficiency of a novel ""Food to waste to food"" system including anaerobic digestio...) [path:stoknes-k-2016-efficiency-of-a-novel-food.md]","Kan brukes som kandidat i evidence matrix; legg på sidetall/claim-ID.","research/bibliotek/akademia/pubmed/stoknes-k-2016-efficiency-of-a-novel-food.md","Nordisk/norsk demonstrasjon av ""food to waste to food"" med biogass, digestat og ny matproduksjon."
"SRC-B-009","primær","B-sidestream","db-linked","external-ready-candidate","false","research/bibliotek/akademia/pubmed/zamanzadeh-m-2017-biogas-production-from-food-waste.md","research/bibliotek/akademia/pubmed/zamanzadeh-m-2017-biogas-production-from-food-waste.md:yes","","Document:cmnyng1ld005rd50dtzd89h0r -> Doc:cmnyng1ld005rd50dtzd89h0r (Biogas production from food waste via co-digestion and digestion- effects on perf...) [path:zamanzadeh-m-2017-biogas-production-from-food-waste.md]","Kan brukes som kandidat i evidence matrix; legg på sidetall/claim-ID.","research/bibliotek/akademia/pubmed/zamanzadeh-m-2017-biogas-production-from-food-waste.md","Norsk/Dansk relevant studie om biogass fra matavfall og samråtning med husdyrgjødsel."
"SRC-B-010","sekundær","B-sidestream, policy","db-linked","external-ready-candidate","false","research/bibliotek/akademia/pubmed/feng-l-2023-developing-a-biogas-centralised-circular.md","research/bibliotek/akademia/pubmed/feng-l-2023-developing-a-biogas-centralised-circular.md:yes","","Document:cmnyng1js005ed50d69sm6pfo -> Doc:cmnyng1js005ed50d69sm6pfo (Developing a biogas centralised circular bioeconomy using agricultural residues -...) [path:feng-l-2023-developing-a-biogas-centralised-circular.md]","Kan brukes som kandidat i evidence matrix; legg på sidetall/claim-ID.","research/bibliotek/akademia/pubmed/feng-l-2023-developing-a-biogas-centralised-circular.md","Review om biogass-sentrert sirkulær bioøkonomi og hvordan energi- og næringsstoffsystemer kobles."
"SRC-B-011","uvalidert","B-sidestream, actor","db-linked","internal-only","true","research/perplexity-20-04-26/havre-okara-sidestroemmer-dybdeanalyse.md","research/perplexity-20-04-26/havre-okara-sidestroemmer-dybdeanalyse.md:yes","","Document:cmo87fi3k00jlq30drs0tsbig -> Doc:cmo87fi3k00jlq30drs0tsbig (ja) [path:havre-okara-sidestroemmer-dybdeanalyse.md]","DB-lenke finnes; behold manuell sjekk/forbehold fra shortlist.","research/perplexity-20-04-26/havre-okara-sidestroemmer-dybdeanalyse.md","Dybdenotat om havre-okara, volum, nåværende destinasjon, aktører og R9-potensial."
"SRC-B-012","uvalidert","B-sidestream, actor","db-linked","internal-only","false","research/bibliotek/forskningsrunde-2026-04-20-r2/p22-sidestrom-til-mat-prosjekter-2026-04-20.md","research/bibliotek/forskningsrunde-2026-04-20-r2/p22-sidestrom-til-mat-prosjekter-2026-04-20.md:yes","","Document:cmo87fgnx00agq30d0d1ey14d -> Doc:cmo87fgnx00agq30d0d1ey14d (Kartlegg de 15 mest lovende nordiske prosjektene som oppgraderer sidestrømmer fra...) [path:p22-sidestrom-til-mat-prosjekter-2026-04-20.md]","DB-lenke finnes; behold manuell sjekk/forbehold fra shortlist.","research/bibliotek/forskningsrunde-2026-04-20-r2/p22-sidestrom-til-mat-prosjekter-2026-04-20.md","Kartlegging av nordiske prosjekter som oppgraderer sidestrømmer til mat for mennesker."
"SRC-B-013","uvalidert","B-sidestream, actor, policy","db-linked","internal-only","true","research/bibliotek/forskningsrunde-2026-04-20-r2/p26-helsingborg-recolab-2026-04-20.md","research/bibliotek/forskningsrunde-2026-04-20-r2/p26-helsingborg-recolab-2026-04-20.md:yes","","Document:cmo87fgom00akq30dx1dx8m35 -> Doc:cmo87fgom00akq30dx1dx8m35 (Deep Research] Lag en detaljert case study av Helsingborg RecoLab / H+ området:) [path:p26-helsingborg-recolab-2026-04-20.md]","DB-lenke finnes; behold manuell sjekk/forbehold fra shortlist.","research/bibliotek/forskningsrunde-2026-04-20-r2/p26-helsingborg-recolab-2026-04-20.md","Case study av RecoLab/H+ og tre-rørsmodellen for næringsgjenvinning fra svartvann."
"SRC-B-014","primær","B-sidestream, C-adoption, policy, baseline","db-linked","requires-manual-check","true","research/evidence-pack/offentlig/matsvinnutvalget-2024.pdf","research/evidence-pack/offentlig/matsvinnutvalget-2024.pdf:yes","","Document:cmmxa66v1004ety0dlbi8yjwq -> Doc:cmmxa66v1004ety0dlbi8yjwq (Matsvinnutvalget — tiltak og virkemidler for 50 % reduksjon innen 2030) [path:matsvinnutvalget-2024.pdf]; Document:cmoh2g6yo0012n60dqi8nh1te -> Doc:cmoh2g6yo0012n60dqi8nh1te (Matsvinnutvalgets anbefalinger) [path:matsvinnutvalget-2024.pdf]","DB-lenke finnes; behold manuell sjekk/forbehold fra shortlist.","research/evidence-pack/offentlig/matsvinnutvalget-2024.pdf","Norsk utvalgsrapport om matsvinn med tiltak, rapporteringskrav, virkemidler, databehov og modellert potensial. Sterk beslutningskilde, men effektanslag må brukes med usikkerhetsforbehold."
"SRC-B-015","primær","B-sidestream, actor, policy","external-only","requires-manual-check","true","","","https://nsva.se/vatten-och-avlopp/ditt-avlopp/tre-ror-ut","","Last ned/speil primærkilde eller opprett SourceDoc før tung bruk.","https://nsva.se/vatten-och-avlopp/ditt-avlopp/tre-ror-ut/","NSVA primærkilde for Tre rør ut/Oceanhamnen: kildesortert avløpssystem med separate strømmer for svartvann, gråvann og matavfall."
"SRC-B-016","primær","B-sidestream, actor","external-only","requires-manual-check","true","","","https://www.recolab.se/utvecklingsanlaggning; https://www.recolab.se/vanliga-fragor","","Last ned/speil primærkilde eller opprett SourceDoc før tung bruk.","https://www.recolab.se/utvecklingsanlaggning/ og https://www.recolab.se/vanliga-fragor/","RecoLab primærkilde for utviklingsanlegg, prosess, produkter, dimensjonering, relative effekter og kostindikasjoner."
"SRC-B-017","sekundær","B-sidestream, actor, policy","external-only","requires-manual-check","true","","","https://www.eawag.ch/fileadmin/Domain1/Abteilungen/sandec/schwerpunkte/sesp/Lighthouse/helsingborg_synthesis_report.pdf","","Last ned/speil primærkilde eller opprett SourceDoc før tung bruk.","https://www.eawag.ch/fileadmin/Domain1/Abteilungen/sandec/schwerpunkte/sesp/Lighthouse/helsingborg_synthesis_report.pdf","Eawag synteserapport om Tre-Rör-Ut/Helsingborg med driftsskala, governance, kost og begrensninger."
"SRC-B-018","primær","B-sidestream, baseline","external-only","needs-primary-check","false","","","https://www.ssb.no/natur-og-miljo/vann-og-avlop/statistikk/utslipp-og-rensing-av-kommunalt-avlop","","Last ned/speil primærkilde eller opprett SourceDoc før tung bruk.","https://www.ssb.no/natur-og-miljo/vann-og-avlop/statistikk/utslipp-og-rensing-av-kommunalt-avlop","SSB kommunalt avløp/slam 2024; norsk baseline for avløpsslam, slamdisponering og biogassformål."
"SRC-B-019","primær","B-sidestream, baseline, policy","external-only","needs-primary-check","false","","","https://www.nibio.no/tema/jord/organisk-avfall-som-gjodsel/avlopsslam","","Last ned/speil primærkilde eller opprett SourceDoc før tung bruk.","https://www.nibio.no/tema/jord/organisk-avfall-som-gjodsel/avlopsslam","NIBIO fagkilde for avløpsslam, N/P/K-innhold, P-ressurs og plantetilgjengelighetsforbehold."
"SRC-B-020","primær","B-sidestream, policy","needs-primary-check","requires-manual-check","true","","","","","Primærsjekk før ekstern bruk.","Mattilsynet/Lovdata: gjødselvareforskrift og gjødselbrukforskrift 2025","Gjeldende regelverksgrunnlag for gjødselvarer, avløpsslam, hygienisering, arealbegrensninger, P-grenser og fremmedlegemer."
"SRC-B-021","primær","B-sidestream, actor, baseline","external-only","requires-manual-check","true","","","https://veas.nu/uploads/2025/04/Veas-Baerekraftrapport-2024.pdf","","Last ned/speil primærkilde eller opprett SourceDoc før tung bruk.","https://veas.nu/uploads/2025/04/Veas-Baerekraftrapport-2024.pdf","VEAS 2024 som norsk sentralanlegg-benchmark for N/P-rensing, biorest, ammoniumsulfat og biogass."
"SRC-B-022","primær","B-sidestream, actor","external-only","requires-manual-check","true","","","https://www.hias.no/avlop/struvitt","","Last ned/speil primærkilde eller opprett SourceDoc før tung bruk.","https://www.hias.no/avlop/struvitt/","HIAS struvitt/Bio-P som norsk fosforgjenvinningscase med produktdeklarasjon og Mattilsynet-registrering."
"SRC-B-023","primær","B-sidestream, actor","external-only","requires-manual-check","true","","","https://dmfas.no/assets/dokumenter/dmf_arsrapport2024_nett_oppslag.pdf","","Last ned/speil primærkilde eller opprett SourceDoc før tung bruk.","https://dmfas.no/assets/dokumenter/dmf_arsrapport2024_nett_oppslag.pdf","Den Magiske Fabrikken som norsk digestat-/biogjødselcase for biorestmarked, matavfall/husdyrgjødsel og landbruksavsetning."
"SRC-B-024","primær","B-sidestream, actor","external-only","requires-manual-check","true","","","https://www.axfoundation.se/en/projects/over-n-oat-residues","","Last ned/speil primærkilde eller opprett SourceDoc før tung bruk.","https://www.axfoundation.se/en/projects/over-n-oat-residues","Axfoundation Over & Oat som svensk okara-benchmark: 0,2 liter pressrest per liter havredrikk, ca. 25 000 tonn/år i Sverige og nåværende avsetning til fôr/gjødsel/biogass."
"SRC-B-025","primær/sekundær","B-sidestream, actor","external-only","requires-manual-check","true","","","https://chalmersindustriteknik.se/en/project/over-oat","","Last ned/speil primærkilde eller opprett SourceDoc før tung bruk.","https://chalmersindustriteknik.se/en/project/over-oat/","Chalmers Industriteknik Over & Oat-prosjektkilde for okara, verdikjede-/forretningsmodell, partnere og prosjektperiode 2023-2026."
"SRC-B-026","primær","B-sidestream, actor","external-only","requires-manual-check","true","","","https://www.ri.se/en/food/project/brewers-spent-grain-as-food-ingredient","","Last ned/speil primærkilde eller opprett SourceDoc før tung bruk.","https://www.ri.se/en/food/project/brewers-spent-grain-as-food-ingredient","RISE Brewed & Renewed-prosjekt om bryggerimask som matingrediens; svensk benchmark for volum, fuktbarriere og pilotmål."
