Kuukausi,Hyödyke,Tiedot,Kuukausi_label,Hyödyke_label,Tiedot_label,value
2023M04,01,ip_khi,2023M04,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",98.09
2023M05,01,ip_khi,2023M05,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",98.33
2023M06,01,ip_khi,2023M06,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",97.89
2023M07,01,ip_khi,2023M07,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",98.39
2023M08,01,ip_khi,2023M08,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",97.3
2023M09,01,ip_khi,2023M09,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",97.37
2023M10,01,ip_khi,2023M10,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",98.15
2023M11,01,ip_khi,2023M11,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",98.04
2023M12,01,ip_khi,2023M12,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",97.13
2024M01,01,ip_khi,2024M01,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",97.94
2024M02,01,ip_khi,2024M02,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",98.16
2024M03,01,ip_khi,2024M03,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",97.67
2024M04,01,ip_khi,2024M04,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",97.84
2024M05,01,ip_khi,2024M05,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",97.75
2024M06,01,ip_khi,2024M06,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",97.52
2024M07,01,ip_khi,2024M07,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",98.14
2024M08,01,ip_khi,2024M08,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",97.25
2024M09,01,ip_khi,2024M09,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",97.83
2024M10,01,ip_khi,2024M10,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",98.35
2024M11,01,ip_khi,2024M11,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",98.88
2024M12,01,ip_khi,2024M12,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",97.63
2025M01,01,ip_khi,2025M01,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",98.77
2025M02,01,ip_khi,2025M02,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",99.71
2025M03,01,ip_khi,2025M03,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",100.16
2025M04,01,ip_khi,2025M04,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",100.07
2025M05,01,ip_khi,2025M05,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",100.36
2025M06,01,ip_khi,2025M06,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",99.67
2025M07,01,ip_khi,2025M07,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",101.15
2025M08,01,ip_khi,2025M08,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",99.76
2025M09,01,ip_khi,2025M09,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",100.25
2025M10,01,ip_khi,2025M10,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",99.91
2025M11,01,ip_khi,2025M11,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",100.52
2025M12,01,ip_khi,2025M12,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",99.6
2026M01,01,ip_khi,2026M01,01 FOOD AND NON-ALCOHOLIC BEVERAGES,"Point figure, CPI",100.4
