id,area,priority,type,title,source,evidence_status,closure_mode,lane,status,note
B11,B whitepaper/leveranse,important,Data,Tidsserie-omsetningsandeler 10-15 år (test om konsentrasjon er stabil/økende),research/whitepaper/gap-list.md,partial-data-artifact-created,datainnhenting + syntese,hurtig-plukk,partial-data-artifact,"Dataartefakt opprettet for 2020-2024: research/data/nordic/market-share/no-grocery-market-share-2020-2024.csv; backlog: research/data/nordic/market-share/no-grocery-market-share-backlog-2026-04-29.csv"
B12,B whitepaper/leveranse,important,Data,Faktisk prisnivå (PPP) på tvers av Norden - ikke bare indekser,research/whitepaper/gap-list.md,initial-card-expanded,datainnhenting + syntese,hurtig-plukk,initial-card,"Kort utvidet med 2015-2024 PPP-serie: research/evidence-pack/gap-cards/B12-ppp-prisnivaa-norden-2026-04.md"
C1,C sirkulaer KPI/naeringsstoff,critical,KPI,Refuse (R0) har ingen operative KPI-er i nordiske matsystemer,research/intake/perplexity-2026-04-20/circularity-gaps.json,lokalt-verifisert-kildedokument,indikatoroperasjonalisering,hovedoppgave,open,
C2,C sirkulaer KPI/naeringsstoff,critical,KPI,Rethink (R1) mangler kvantifiserbare indikatorer,research/intake/perplexity-2026-04-20/circularity-gaps.json,lokalt-verifisert-kildedokument,indikatoroperasjonalisering,hovedoppgave,open,
C3,C sirkulaer KPI/naeringsstoff,important,KPI,Repair (R4) for matemballasje - ingen reparasjonsrate-data,research/intake/perplexity-2026-04-20/circularity-gaps.json,lokalt-verifisert-kildedokument,indikatoroperasjonalisering,indikatorutvikling,open,
C4,C sirkulaer KPI/naeringsstoff,important,KPI,Repurpose/Remanufacture (R5-R6) - ingen KPI for sidestream-oppgradering,research/intake/perplexity-2026-04-20/circularity-gaps.json,lokalt-verifisert-kildedokument,indikatoroperasjonalisering,indikatorutvikling,open,
C5,C sirkulaer KPI/naeringsstoff,critical,Modell,Samlet norsk næringsstoff-resirkuleringsgap - 25-30 % av import erstattbar,research/intake/perplexity-2026-04-20/circularity-gaps.json,lokalt-verifisert-kildedokument,modellbygging + kildekobling,hovedoppgave,open,
C6,C sirkulaer KPI/naeringsstoff,critical,Data,N/P/K fra oppdrett til fjord - 70 % av fôrnæringsstoffer tapt,research/intake/perplexity-2026-04-20/circularity-gaps.json,lokalt-verifisert-kildedokument,datainnhenting + syntese,hovedoppgave,open,
C7,C sirkulaer KPI/naeringsstoff,important,Data,Svartvann-N (24 800 t/år) og -P (3 300 t/år) - kun 20-23 % gjenvunnet,research/intake/perplexity-2026-04-20/circularity-gaps.json,lokalt-verifisert-kildedokument,datainnhenting + syntese,bredding,open,
C8,C sirkulaer KPI/naeringsstoff,important,Data,Husdyrgjødsel-N tap til luft/vann - 20-30 kt N/år,research/intake/perplexity-2026-04-20/circularity-gaps.json,lokalt-verifisert-kildedokument,datainnhenting + syntese,bredding,open,
C9,C sirkulaer KPI/naeringsstoff,important,KPI,Mikroplast i biorest - < 2mm uregulert,research/intake/perplexity-2026-04-20/circularity-gaps.json,lokalt-verifisert-kildedokument,indikatoroperasjonalisering,indikatorutvikling,open,
C10,C sirkulaer KPI/naeringsstoff,important,Modell,"Havre-okara - 100 000+ tonn våtmasse/år, ingen kommersiell kjede",research/intake/perplexity-2026-04-20/circularity-gaps.json,lokalt-verifisert-kildedokument,modellbygging + kildekobling,modellbygging,open,
C11,C sirkulaer KPI/naeringsstoff,important,Modell,Potetskall - ingen nordisk PeelPioneers-ekvivalent,research/intake/perplexity-2026-04-20/circularity-gaps.json,lokalt-verifisert-kildedokument,modellbygging + kildekobling,modellbygging,open,
C12,C sirkulaer KPI/naeringsstoff,important,Modell,Bryggerimask - flere hundre tusen tonn til lavverdi-fôr,research/intake/perplexity-2026-04-20/circularity-gaps.json,lokalt-verifisert-kildedokument,modellbygging + kildekobling,modellbygging,open,
C13,C sirkulaer KPI/naeringsstoff,important,Modell,"Bær-/fruktpomace, rapskake, gjærrester - flere uutnyttede sidestrømmer",research/intake/perplexity-2026-04-20/circularity-gaps.json,lokalt-verifisert-kildedokument,modellbygging + kildekobling,modellbygging,open,
G-01,D tematisk intake,important,Kilde,"Side-stream valorization (Nordic Redistribution, Matsvinnutvalget, supplier-retailer-mekanisme)",research/intake/food-research-process-2026-04-20/project-fit-p2-gap-worklist.csv,lokalt-verifisert-kildedokument,intake/promotering,intake-promotering,partly_imported,~5 sterke kilder
G-02,D tematisk intake,important,Kilde,"Nutrient loops (Food to waste to food, fish sludge lettuce, cascade processing)",research/intake/food-research-process-2026-04-20/project-fit-p2-gap-worklist.csv,lokalt-verifisert-kildedokument,intake/promotering,intake-promotering,partly_imported,~3 medium kilder
G-03,D tematisk intake,important,Kilde,"Alternative feed (GFI Europe, BioMar, Hailia, insect novel food)",research/intake/food-research-process-2026-04-20/project-fit-p2-gap-worklist.csv,lokalt-verifisert-kildedokument,intake/promotering,intake-promotering,partly_imported,"~5 sterke + 3 case-failure (Enorm, Ynsect)"
G-04,D tematisk intake,important,Kilde,"Fermentation and scale (Danish Action Plan, Mycorena/Naplasol, vertikalt landbruk konkurser)",research/intake/food-research-process-2026-04-20/project-fit-p2-gap-worklist.csv,lokalt-verifisert-kildedokument,intake/promotering,intake-promotering,partly_imported,"~3 sterke + 4 failure-case (Mycorena, Plantagon, Infarm)"
E1,E partner/stakeholder,critical,Stemme,Anonym leverandør / produsent - frykt-kultur,research/_plans/RESEARCH-MISSIONS.md,krever-ekstern-validering,intervju/partnerdialog,ekstern-validering,open,
E2,E partner/stakeholder,critical,Stemme,Anders Nordstad - infrastrukturtesen,research/_plans/RESEARCH-MISSIONS.md,krever-ekstern-validering,intervju/partnerdialog,ekstern-validering,open,
E3,E partner/stakeholder,critical,Stemme,NMBU-akademiker - systemdynamikk og attraktor-rammeverk,research/_plans/RESEARCH-MISSIONS.md,krever-ekstern-validering,intervju/partnerdialog,ekstern-validering,open,
E4,E partner/stakeholder,important,Validering,Konkurransetilsynet - håndhevingsdata,research/_plans/RESEARCH-MISSIONS.md,krever-ekstern-validering,partner- eller aktorvalidering,ekstern-validering,open,
E5,E partner/stakeholder,important,Validering,Michel Bajuk (Sweden/Cradlenet),research/_plans/RESEARCH-MISSIONS.md,krever-ekstern-validering,partner- eller aktorvalidering,ekstern-validering,open,
E6,E partner/stakeholder,important,Validering,Betina Simonsen (Denmark/LDCluster),research/_plans/RESEARCH-MISSIONS.md,krever-ekstern-validering,partner- eller aktorvalidering,ekstern-validering,open,
E7,E partner/stakeholder,important,Validering,Finsk paragraf 4a-håndheving - utover Valio EUR 600K,research/_plans/RESEARCH-MISSIONS.md,krever-ekstern-validering,partner- eller aktorvalidering,ekstern-validering,open,
F1,F sosial/folkehelse,important,Data,Underernæring i eldreomsorg - utvikling 2021 til 2026,datagap HTML: sosial baerekraft,rapportert-gap-trenger-kildefesting,datainnhenting + syntese,bredding,open,
F2,F sosial/folkehelse,important,Data,Matusikkerhet i Norge (FIES) - kvantifisering og demografi,datagap HTML: sosial baerekraft,rapportert-gap-trenger-kildefesting,datainnhenting + syntese,bredding,open,
F3,F sosial/folkehelse,important,Modell,Skolemåltid - kost-/nytteanalyse for Norge,datagap HTML: sosial baerekraft,rapportert-gap-trenger-kildefesting,modellbygging + kildekobling,modellbygging,open,
F4,F sosial/folkehelse,important,Data,Matpriseffekt på lavinntektsgrupper,datagap HTML: sosial baerekraft,rapportert-gap-trenger-kildefesting,datainnhenting + syntese,bredding,open,
F5,F sosial/folkehelse,structural,Modell,"Arbeidsforhold for matlevering-bud (Wolt, Foodora)",datagap HTML: sosial baerekraft,rapportert-gap-trenger-kildefesting,modellbygging + kildekobling,modellbygging,open,
G1,G systemisk/makro,important,Modell,Helhetlig matsystem-MFA (Material Flow Analysis),datagap HTML: systemisk/makro,rapportert-gap-trenger-kildefesting,modellbygging + kildekobling,modellbygging,open,
G2,G systemisk/makro,important,Modell,Nordisk harmonisert matsvinndefinisjon,datagap HTML: systemisk/makro,rapportert-gap-trenger-kildefesting,modellbygging + kildekobling,modellbygging,open,
G3,G systemisk/makro,important,Data,Selvforsyningsgrad - sjømateksport-justert,datagap HTML: systemisk/makro,gate2-review-artifacts-created,datainnhenting + syntese,hurtig-plukk,exclude,"Kort utvidet med 2024 NIBIO-anker SSB-HS produktmiks denominator-kandidat HS-energimapping manuell HS-review-kø scopebeslutning og yield-review-kø: research/evidence-pack/gap-cards/G3-selvforsyning-sjomatjustert-2026-04.md"
G4,G systemisk/makro,important,Data,EU-CSDDD og EUDR - implementeringsstatus i norsk matsektor,datagap HTML: systemisk/makro,rapportert-gap-trenger-kildefesting,datainnhenting + syntese,bredding,open,
G5,G systemisk/makro,important,Data,Beredskap og kornlager - framdrift mot 82 500 tonn-mål,datagap HTML: systemisk/makro,rapportert-gap-trenger-kildefesting,datainnhenting + syntese,bredding,open,
G6,G systemisk/makro,structural,Data,Klimaendringer i norsk landbruk - scenarioanalyse,datagap HTML: systemisk/makro,rapportert-gap-trenger-kildefesting,datainnhenting + syntese,bredding,open,
G7,G systemisk/makro,structural,Modell,Internasjonale benchmarks - utover Norden,datagap HTML: systemisk/makro,rapportert-gap-trenger-kildefesting,modellbygging + kildekobling,modellbygging,open,
G8,G systemisk/makro,structural,Data,Indigenous/samisk matsystem-perspektiv,datagap HTML: systemisk/makro,rapportert-gap-trenger-kildefesting,datainnhenting + syntese,bredding,open,
G9,G systemisk/makro,structural,Data,Karbonbinding i norsk landbruksjord,datagap HTML: systemisk/makro,rapportert-gap-trenger-kildefesting,datainnhenting + syntese,bredding,open,
