node_id,name,node_type,domain,country,description,key_people,scale_metric_year,org_nr,locator_url,sourceClass,verificationStatus,confidence,accessedAt,notes
smaaskala-groent-norge,Smaaskala Groent Norge,organisasjon,regenerativ-praksis,NO,"Landsforening for smaaskala groent-/baer-/blomsterprodusenter + andelslandbruk","Sofia Maria Bang Elm (leder, Avdem Gardsgroent)","Stiftet 25.03.2026, 30+ produsenter ved stiftelse",,https://www.markedshage.no/nb/nyheter/2026/04/stiftet-egen-forening-for-smaskala-grontprodusenter,primary,machine_verified,hoey,2026-06-19,
biologisk-dynamisk-forening,Biologisk-dynamisk Forening (BdF),organisasjon,regenerativ-praksis,NO,"Forening for biodynamisk landbruk; eier Demeter-varemerket (kontrollert av Debio)",,"12 Demeter-sertifiserte gaarder 2025 (ned fra 29 i 2019)",971321946,https://biodynamisk.no/garder/,primary,machine_verified,middels,2026-06-19,"KRITISK: RVUD trakk seg 01.01.2026; Demeter Norge fryst/nedlagt aug. 2025; areal publiseres ikke lenger"
norsok,NORSOK,institusjon,institusjon-finansiering,NO,"Norsk senter for oekologisk landbruk (Tingvoll); privat stiftelse, nasjonalt FoU; driver Tingvoll gard; jordhelse-verktoeyet Jordlappen",Reidun Pommeresche; Susanne Friis Pedersen,"Etablert 1986; ~27 ansatte (uverifisert)",969840383,https://www.norsok.no/om-norsok,primary,unverified,hoey,2026-06-19,"Ansatt-tall ikke verifisert mot regnskap"
multistrata-gjoeding,Multistrata Agroforestry (norsk pilot: Gjoeding gaard),prosjekt,regenerativ-praksis,NO,"EU-finansiert agroforestry-prosjekt; frukt/baer + fleraarige mellom rader m/jordtesting; norsk pilot via KVANN paa Gjoeding gaard (Hurdal)",Andrew McMillion; Stephen Barstow; Tore Borthen,"6 org. (DE/FI/PT/NO); oppstart vaar 2026",,https://huldravisa.no/tore-og-andrew-har-tegnet-kontrakt-garden-gar-inn-i-en-ny-fase/,secondary,disputed,lav,2026-06-19,"Verifisert juni 2026: EU-database-soek (CORDIS/Erasmus+/Interreg) ga INGEN treff; 'multistrata agroforestry' er generisk fagbegrep. Kontakt KVANN/McMillion for prosjekt-ID/GA foer ekstern bruk"
nibio-agroforestry-barents,NIBIO Agroforestry in Barents region,prosjekt,regenerativ-praksis,NO,"Forskningsprosjekt: forest farming av non-timber forest products, skogsbeite, reindrift i nordomraadene",Inger Martinussen (prosjektleder),"2018-2021 (avsluttet)",,https://www.nibio.no/en/projects/agroforestry-in-barents-region,primary,machine_verified,hoey,2026-06-19,"Avsluttet - ikke aktiv pilot"
norsok-skogshage-utegris,NORSOK Skogshage og utegris (Tingvoll),prosjekt,regenerativ-praksis,NO,"Faginfo + fagdager om skogshage som agroekologi-konsept + utegris paa tresatt beite (silvopasture-demo)",Susanne Friis Pedersen; Sara Hansdotter,"Faginfo 2024; fagdager sept. 2025",,https://www.norsok.no/prosjekter/2025/fagdager-med-skogshage-og-utegris,primary,machine_verified,hoey,2026-06-19,
efferus-holt-gaard,Efferus Planteskole & Skogshage (Holt Gaard),gaard,permakultur-fleraarige,NO,"Kommersiell oekologisk planteskole + skogshage + Permakultur-LAND-senter; noettetraer, frukt, baer, fleraarige",Robin Efferus Leeber,,,https://www.efferus.no/,primary,unverified,hoey,2026-06-19,"Skala (maal/oms.) ukjent"
norsk-permakulturforening,Norsk Permakulturforening (NPF),organisasjon,permakultur-fleraarige,NO,"Nasjonal permakulturforening; 10 lokallag; foerer PDC-/laererliste og diplomholdere",Anne-Lise Oeien (leder); Heidi Gaustad (nestleder),"10 lokallag; 12 diplomholdere (juni 2026)",980712087,https://www.permakultur.no/foreningen/om-oss/,primary,machine_verified,hoey,2026-06-19,"Stiftet 06.12.1988 (Brreg stiftelsesdato; reg. Enhetsreg. 11.08.1999)"
skogshage-nettverk-npf,Skoghager (NPF-nettverk / kart Skandinavia),nettverk,permakultur-fleraarige,NO,"Loest nettverk + kart over skoghager i Skandinavia; registrering via NPF",,,,https://www.permakultur.no/nettverk/skoghager/,primary,unverified,middels,2026-06-19,"Antall registrerte hager ikke tallfestet"
stephen-barstow,Stephen Barstow,person,permakultur-fleraarige,NO,"Britisk-norsk pioner paa edible perennials/edimentals; forfatter Around the World in 80 Plants (2014); tidl. styreleder KVANN; hage i Malvik (63N) m/2000+ edimentals",,"Hage 2000+ edimentals; salatrekord 537 sorter (2003)",,https://www.permanentpublications.co.uk/stephen-barstow-and-the-extreme-salad/,primary,human_verified,hoey,2026-06-19,"Kun én utgitt bok (2014) - bekreftet hos forlag"
andrew-mcmillion,Andrew McMillion,person,permakultur-fleraarige,NO,"Froesamler og regenerativ gaardbruker; styremedlem KVANN; jobber for Norwegian Seed Savers; styremedlem Let's Liberate Diversity; driver Gjoeding gaard (Hurdal)",,"Sparer froe fra 100+ plantesorter",922069085,https://mcmillion.no/meg/,primary,human_verified,hoey,2026-06-19,"Lav sikkerhet: MDG/Refugee Greenspace (podcast). Tidl. gaard Nes (solgt 2022)"
kvann,KVANN (Norwegian Seed Savers),organisasjon,permakultur-fleraarige,NO,"Nasjonal interesseorg. for plantemangfold/froebevaring; bygger paa Planteklubbene (2005); driver Schuebelers hager; nordisk nav (Barstow, McMillion)",Aasmund Asdal (opphav Planteklubbene),"1000+ medlemmer; Schuebelers hager ~60 (2025)",,https://kvann.no/om-oss/,primary,machine_verified,hoey,2026-06-19,"Stiftet 01.10.2016"
schubelers-hager,Schuebelers hager (KVANN),nettverk,permakultur-fleraarige,NO,"Nettverk av historiske/kulturhistoriske hager (prestegaarder, museumshager) under KVANN",Kjell Hoedneboe (laugleder),"~60 medlemshager (2025); 6,45 mill. kr fra Sparebankstiftelsen DNB",,https://kvann.no/schubeler/om-schubelers-hager/,primary,machine_verified,hoey,2026-06-19,"Etablert 10.06.2021"
solhatt,Solhatt Oekologisk Hagebruk AS,organisasjon,permakultur-fleraarige,NO,"Norges stoerste utvalg oekologiske/biodynamiske froe; kun aapenpollinerte sorter; basert paa Alm Oestre, Stange",,"Godt over 120 sorter (2026); etablert 2011",913997832,https://solhatt.no/om-oss/,primary,machine_verified,hoey,2026-06-19,
norsk-genressurssenter,Norsk genressurssenter (NIBIO),institusjon,institusjon-finansiering,NO,"Statlig; koordinerer bevaring/bruk av nasjonale genressurser (husdyr, nytteplanter, skogtraer); samarbeider med KVANN",,,,https://www.nibio.no/om-nibio/vare-fagdivisjoner/divisjon-for-kart-og-statistikk/norsk-genressurssenter,primary,unverified,hoey,2026-06-19,
nmbu-agrookologi,NMBU - Master i agrookologi,institusjon,institusjon-finansiering,NO,"Handlingsorientert MSc i agrookologi (Aas); forskergruppen Agrookologi; emnet JORD330 dekker agroforestry",Geir Lieblein; Charles A. Francis,"Nasjonal utdanningspris 2016",,https://www.nmbu.no/studier/master-2-aar/agroecology,primary,machine_verified,hoey,2026-06-19,"NB: SUM tilhoerer UiO, ikke NMBU"
nibio,NIBIO,institusjon,institusjon-finansiering,NO,"Statlig forskningsinstitutt under LMD; fagportalen Agropub; deltar i REKORN, TerraNordica, CANALLS, kantsone-forskning",Eva Skarboevik (kantsoner),,,https://www.nibio.no/tema/mat/okologisk-landbruk,primary,unverified,hoey,2026-06-19,
ruralis,Ruralis,institusjon,institusjon-finansiering,NO,"Uavhengig forskningsstiftelse for rural-/regionalforskning (Trondheim); tidl. Bygdeforskning",,"Tidl. Bygdeforskning 1982; Ruralis fra 2017",,https://ruralis.no/en/about-us/,primary,unverified,hoey,2026-06-19,
debio,Debio,institusjon,institusjon-finansiering,NO,"Eneste utoevende kontrollorgan for oekologisk produksjon i Norge; Oe-merket + Demeter; pilotordninger",,"3 018 godkjente virksomheter; oeko-areal 415 280 daa = 4,2% (2025)",,https://debio.no/statistikk/,primary,machine_verified,hoey,2026-06-19,"Debio Statistikk 2025 fullt uthentet"
okologisk-norge,Oekologisk Norge,organisasjon,institusjon-finansiering,NO,"Ideell medlemsorg. (boender/bedrifter/forbrukere); drifter andelslandbruk.no; utgir Ren Mat; partner i Smaaskala Groent Norge",,"~4 275 medlemmer (2022, sekundaer); stiftet 2000 (Oikos)",,https://okologisknorge.no/om-oss/,primary,unverified,hoey,2026-06-19,"Navneskifte fra Oikos 2018"
nbs-lokalmat,Norsk Bonde- og Smaabrukarlag,organisasjon,institusjon-finansiering,NO,"Faglag; paadriver for lokalmat 20+ aar; sentral i aa etablere REKO-ringene",,"~7 500 medlemmer (sekundaer)",,https://www.smabrukarlaget.no/politikk/mat-og-produksjon/lokalmat/,primary,unverified,hoey,2026-06-19,
matnasjonen-25mrd,Lokalmat-maal 25 mrd. innen 2035,ordning,institusjon-finansiering,NO,"Nasjonalt omsetningsmaal for lokalmat og -drikke; fra veilederen Oppskrift for mer lokalmat (LMD 2025), lansert 18.01.2024",,"Maal 25 mrd. kr innen 2035",,https://www.regjeringen.no/contentassets/afd339c6c6b94cbb8b45c98ac5da1d06/no/pdfs/oppskrift-for-mer-lokalmat-og-lokal-drikke.pdf,primary,machine_verified,hoey,2026-06-19,"Proveniens korrigert: IKKE fra Matnasjonen-strategien (2021)"
utviklingsprogrammet,Utviklingsprogrammet (landbruks-/reindriftsbasert vekst),ordning,institusjon-finansiering,NO,"Statlig virkemiddelprogram (jordbruksavtalen), forvaltet av Innovasjon Norge; lokalmat, reiseliv, Inn paa tunet",,"254 mill. kr tilsagn lokalmat 2014-2023 (bekreftet ordrett)",,https://www.statsforvalteren.no/innlandet/landbruk-og-mat/naringsutvikling/,primary,machine_verified,hoey,2026-06-19,
klimasmart-landbruk,Klimasmart Landbruk / Bondens klimakalkulator,prosjekt,institusjon-finansiering,NO,"Bransjeprosjekt; digital klimakalkulator per gaard; 17 eiere",,"~88% av produsentene kan bruke kalkulatoren (jan. 2025); stiftet 2016",,https://www.klimasmartlandbruk.no/,primary,unverified,hoey,2026-06-19,
allecosys,AllEcoSys (Horizon Europe),prosjekt,institusjon-finansiering,NO,"EU Horizon-prosjekt koordinert av NMBU; nettverk av agrookologi-living labs i Europa",,,,https://www.nmbu.no/en/research/projects/allecosys,primary,unverified,middels,2026-06-19,
hurdal-klynge,Hurdal Oekolandsby-klyngen,nettverk,permakultur-fleraarige,NO,"Geografisk hotspot: kobler McMillion, Gjoeding gaard, skogshage, KVANN og EU-agroforestry",Andrew McMillion; Tore Borthen,,,https://huldravisa.no/tore-og-andrew-har-tegnet-kontrakt-garden-gar-inn-i-en-ny-fase/,synthesis,unverified,middels,2026-06-19,"Syntese-node for kartlegging"
reko-sverige,REKO-ringar Sverige,nettverk,lokale-verdikjeder,SE,"Desentralisert direktesalg via Facebook; foerste ring Graestorp 2016",,"~220 ringer / ~800 000 FB-medlemmer (jan. 2021); '200+ ringer' (2023, sekundaer)",,https://hushallningssallskapet.se/tjanster/landsbygd/reko/,secondary,disputed,middels,2026-06-19,"2021-tall bekreftet uendret paa HS-side (primaer); HS sluttet aa telle h.2021; ingen fersk offisiell telling"
regenerativt-sverige,Foereningen Regenerativt Sverige,organisasjon,regenerativ-praksis,SE,"Nasjonalt nettverk for regenerativt landbruk + Holistic Management; soesterorg. til Regenerativt Norge",Anders Assis (ordfoerande),"Stadgar 2023",,https://regenerativtsverige.se/foreningen-regenerativtsverige,primary,unverified,hoey,2026-06-19,"Medlemstall ikke verifisert"
holistic-management-sverige,Holistic Management Sverige (Savory-hub),organisasjon,regenerativ-praksis,SE,"Eneste bekreftede Savory-hub i Norden; gaarden Fjaellbete, Undersaaker",Joergen Andersson (hub-leder),"Akkreditert 2014",,https://savory.global/hubs/holistic-management-sverige/,primary,machine_verified,hoey,2026-06-19,"Ingen norsk Savory-hub i offisiell katalog (okt. 2025)"
holma-skogstradgard,Holma Skogstraedgaard,gaard,permakultur-fleraarige,SE,"En av Sveriges foerste skogstraedgaardar; sentralt utdanningsmiljoe (Holma folkhoegskola)",Esbjoern Wandt,"5 000 m2, anlagt 2004",,https://holmafolkhogskola.se/skogstradgard-2/,primary,machine_verified,hoey,2026-06-19,
sesam,Foereningen SESAM,organisasjon,permakultur-fleraarige,SE,"Svensk froesamlerforening; bevarer gamle standard-/allmuesorter; nordisk partner til KVANN",Lars-Olov Rosenstroem (grunnlegger),"~1 100 medlemmer / ~1 600 aksesjoner (~2017); stiftet 1982",,https://foreningensesam.se/om-sesam/,primary,unverified,hoey,2026-06-19,
slu,SLU (Sveriges lantbruksuniversitet),institusjon,institusjon-finansiering,SE,"Statlig spesialuniversitet for bio-/landbruksvitenskap; vert for EPOK",,"3 296 FTE / 4 251 studenter / SEK 4,8 mrd (2025)",,https://www.slu.se/en/about-slu/about-the-university/slu-in-figures/,primary,machine_verified,hoey,2026-06-19,
axfoundation,Axfoundation,institusjon,institusjon-finansiering,SE,"Privat allmennyttig stiftelse (Axel Johnson); Future Food-program; Torsaaker gaard; fleraarig korn (Kernza)",Antonia Ax:son Johnson (grunnlegger),"Stiftet 1993",,https://axfoundation.se/en/program/future-food,primary,unverified,hoey,2026-06-19,
reko-danmark,REKO i Danmark (forsoekt),nettverk,lokale-verdikjeder,DK,"REKO-konseptet forsoekt introdusert (foerste ring Koege 2018) men fikk ikke fotfeste; ingen organisert dansk paraply. Gaardbutikker/andelslandbrug fyller rollen",,"Forsoek 2018; ikke etablert (L&F-uttalelse 2023)",,https://landbrugsavisen.dk/chefkonsulent-om-reko-ring-i-danmark-vi-vil-gerne-lege-med-hvis-nogen-vil-fors%C3%B8ge-f%C3%A5-det-i-gang,secondary,machine_verified,middels,2026-06-19,"NEGATIVT FUNN bekreftet: konseptet etablerte seg ikke i DK (LandbrugsAvisen 2023)"
regenerativt-jordbrug-dk,Foreningen Regenerativt Jordbrug,organisasjon,regenerativ-praksis,DK,"Dansk praktikerbevegelse; market gardening, holistisk avgraesning, skovlandbrug; driver Jordbrugsskolen",Sandra Villumsen,"Stiftet feb. 2020; 100+ medlemmer",,https://regenerativ.dk/omforeningen,primary,unverified,hoey,2026-06-19,
froesamlerne-dk,Foreningen Froesamlerne (DK),organisasjon,permakultur-fleraarige,DK,"Dansk froesamlerforening (graesrods-genbank); kun aapenpollinerte sorter; KVANNs nordiske partner",,"~1 100 medlemmer (2023), ~600 sorter; stiftet 1987",,https://froesamlerne.dk/foreningen/om-foreningen,primary,machine_verified,hoey,2026-06-19,
oekologisk-landsforening-dk,Oekologisk Landsforening (Organic Denmark),institusjon,institusjon-finansiering,DK,"Uavhengig interesseorg. for oekologi; stod bak Oe-merket og Det Oekologiske Spisemaerke",,"Stiftet 1981; ~34 ansatte (2024)",,https://okologi.dk/om-os/,primary,unverified,hoey,2026-06-19,
au-agroekologi,Aarhus Universitet - Institut for Agroekologi,institusjon,institusjon-finansiering,DK,"Universitetsinstitutt; klima/jord/planter/dyr i agro-oekosystemer; AU Foulum/Flakkebjerg",Joergen E. Olesen (institutleder),"~270 ansatte (2026)",,https://agro.au.dk/en/about-the-department,primary,machine_verified,hoey,2026-06-19,
reko-finland,REKO (opprinnelse),nettverk,lokale-verdikjeder,FI,"REKO-ringenes opprinnelsesland; lansert av Thomas Snellman 2013 (inspirert av franske AMAP)",Thomas Snellman (grunnlegger),"~210 ringer / ~4 000 produsenter / ~435 000 medlemmer / ~35 mill. EUR (2021)",,https://aktion.fi/en/project/reko/,primary,machine_verified,hoey,2026-06-19,"2021-tall (Snellman-estimat via YLE); nyere uverifisert"
bsag-carbon-action,Baltic Sea Action Group / Carbon Action,prosjekt,regenerativ-praksis,FI,"Stiftelse + plattform for regenerativt landbruk og karbonbinding i dyrket mark",Ilkka Herlin; Saara Kankaanrinta,"100 pilotgaarder; 2 200 e-college-studenter (aug. 2025); siden 2017",,https://www.bsag.fi/en/carbon-action-en/,primary,machine_verified,hoey,2026-06-19,
qvidja,Qvidja gaard,gaard,regenerativ-praksis,FI,"Regenerativ lighthouse-/forskningsgaard for Carbon Action; karbonmaaling siden 2018",Saara Kankaanrinta; Ilkka Herlin,"140 ha dyrket + 650 ha skog",,https://www.qvidja.fi/en,primary,machine_verified,hoey,2026-06-19,
maatiainen,Maatiainen ry,organisasjon,permakultur-fleraarige,FI,"Finsk froe-/landrasforening; bevarer tradisjonelle sorter, landrasedyr, kulturlandskap",,"~500 aksesjoner; 1 700+ medlemmer (udatert); stiftet 1989",,https://www.maatiainen.fi/english.htm,primary,unverified,hoey,2026-06-19,
luke,Luke (Natural Resources Institute Finland),institusjon,institusjon-finansiering,FI,"Statlig forskningsinstitutt; nasjonalt plantegenressursprogram; nasjonal genbank",,"Sentralsamling ~1 000 plantearter; etablert 2015",,https://www.luke.fi/en/natural-resources-institute-finland,primary,machine_verified,hoey,2026-06-19,
solheimar,Solheimar (oekolandsby),gaard,permakultur-fleraarige,IS,"En av verdens eldste oekolandsbyer; oekologisk drivhus/skogbruk; inkluderende samfunn",Sesselja H. Sigmundsdottir (grunnlegger),"Stiftet 1930; ~100 beboere",,https://www.solheimar.is/en,primary,machine_verified,hoey,2026-06-19,
beint-fra-byli,Beint fraa byli,organisasjon,lokale-verdikjeder,IS,"Islandsk bondeforening for hjemmeforedling/direktesalg; opprinnelsesmerke Fraa fyrstu hendi",Oddny Anna Bjoernsdottir (leder),"Stiftet 2008; ~100 medlemmer (udatert)",,https://www.beintfrabyli.is/,primary,unverified,middels,2026-06-19,
nordgen,NordGen,institusjon,institusjon-finansiering,Nordic,"Felles nordisk genbank (planter/husdyr/skog) under Nordisk Ministerraad; drifter Svalbard Global Seed Vault",,"Egen genbank ~33 000 froeproever / ~450 arter",,https://www.nordgen.org/our-work/svalbard-global-seed-vault/,primary,machine_verified,hoey,2026-06-19,
nordic-permaculture-festival,Nordic Permaculture Festival,nettverk,permakultur-fleraarige,Nordic,"Roterende aarlig nordisk permakulturfestival; norsk node = NPF",,"Aarlig siden 2011 (Holma 2026, Island 2025)",,https://nordicpermaculture.org/en/permaculture-festivals,primary,machine_verified,hoey,2026-06-19,
lets-liberate-diversity,Let's Liberate Diversity! (EC-LLD),nettverk,permakultur-fleraarige,Nordic,"Europeisk froesuverenitetsnettverk; nordiske medlemmer KVANN/SESAM/Froesamlerne",,,,https://liberatediversity.org/the-network/members/,primary,machine_verified,hoey,2026-06-19,"Aggregattall (medlemmer/sorter) uverifisert"
fra-froe-til-fat,Fra Froe til Fat,prosjekt,permakultur-fleraarige,Nordic,"Nordisk froesamarbeid KVANN+SESAM+Froesamlerne; finansiert av Ny Nordisk Mat (Nordisk Ministerraad)",Andrew McMillion; Lone Dybdal,"520 000 DKK (2019-2020)",,https://kvann.no/2019/11/07/nytt-samarbeid-kvann-sesam-frosamlerne/,primary,machine_verified,hoey,2026-06-19,"Sluttdato ikke verifisert"
