id,theme,priority,question,geo,source_target,expected_output,primary_source_hint,known_caveat,gate,next_artifact,status
R12-FEED-005,feed-inputs,P2,"Kartlegg musling, tang og tare som nordisk protein-/fôrråvare: realisert vs pilot vs hypotese",Nordic,"research and project docs","technology readiness table","FHF, Nofima, Nordic project databases","ikke volumclaim uten primærkilde","source-shortlist","research/external/r12/","planned"
R12-WASTE-001,waste-r9,P0,"Kartlegg marint restråstoff etter R-stige: humant konsum, fôr, energi, eksport og datagap",NO,"SINTEF/FHF/Nofima","R-ladder table","SINTEF/FHF, Nofima 33/2025","utnyttet er ikke høyverdi","PCQ","research/external/r12/","planned"
R12-WASTE-002,waste-r9,P0,"Kartlegg oppdrettsslam: modellerte utslipp, faktisk innsamlet volum, behandling og type-C-hull",NO,"official permits/research","mass balance memo","FHF, Statsforvalter permits, Mattilsynet","modellert utslipp er ikke innsamlet volum","PCQ","research/external/r12/","planned"
R12-WASTE-003,waste-r9,P1,"Kartlegg nasjonal digestat-næringsretur i Norden: N/P/K realisert eller ikke målt",Nordic,"biogas certification/statistics","NPK return matrix","Avfall Sverige SPCR 120, national biogas sources","kun SE kan være A; andre kan være C","PCQ","research/external/r12/","planned"
R12-WASTE-004,waste-r9,P1,"Kartlegg kaffegrut og andre urbane matavfallstrømmer: massestrøm, dagens bruk og realistisk R-nivå",NO,"waste and consumption stats","waste stream memo","SSB, municipal waste sources, actor docs","avledet estimat må merkes som avledet","source-shortlist","research/external/r12/","planned"
R12-WASTE-005,waste-r9,P2,"Lag katalog over nordiske prevention-tiltak mot matsvinn før waste oppstår",Nordic,"policy and intervention studies","prevention catalogue","Matvett, EU, Nordic councils","prevention-effekt krever målt baseline","source-shortlist","research/external/r12/","planned"
R12-ACTOR-001,actor-map,P0,"Utvid regenerativ/lokalmat/permakultur-kartleggingen med norske markedshager og småskala grøntprodusenter",NO,"registries and web lists","candidate actor CSV","Markedshager Norge, Småskala Grønt Norge, NLR","stub default unverified unless primary locator","actor-gate","research/_status/","planned"
R12-ACTOR-002,actor-map,P1,"Kartlegg REKO Norge 2025/2026: ringer, produsenter, kunder og organisering",NO,"REKO annual docs/primary pages","actor/status memo","REKO Norge årsmøte/årsmelding if available","2022-tall er siste sikre hvis nyere ikke finnes","source-shortlist","research/external/r12/","planned"
R12-ACTOR-003,actor-map,P1,"Kartlegg andelslandbruk i drift etter 2023 med status per gård og kilde",NO,"CSA maps and org pages","actor list","Økologisk Norge, andelslandbruk.no","80-90 er anslag hvis ikke primær telling","actor-gate","research/_status/","planned"
R12-ACTOR-004,actor-map,P1,"Kartlegg KVANN, skogshage, flerårige vekster og frøbevaringsnettverk videre fra 19.06-notatet",NO,"org pages and project pages","network map memo","KVANN, NIBIO genressurssenter, Solhatt","Multistrata EU-status disputed til GA/prosjekt-ID finnes","actor-gate","research/external/r12/","planned"
R12-ACTOR-005,actor-map,P2,"Lag nordisk kontekstkart for regenerativt/permakultur/lokalmat som kun tar med noder med norsk kobling",Nordic,"org/project pages","Nordic context list","NordGen, SESAM, Frøsamlerne, Nordic networks","ikke voks til globalt atlas","actor-gate","research/_status/","planned"
R12-DIST-001,distribution,P0,"Verifiser ASKO/HORECA-andeler mot uavhengige kilder eller nedgrader til aktørrapportert",NO,"competition and procurement sources","verification memo","KT, Menon, Doffin, ASKO primary","ikke presenter 70 prosent som uavhengig fakta","PCQ","research/external/r12/","planned"
R12-DIST-002,distribution,P0,"Kartlegg offentlige matkontrakter som alternativ kanal: hvem vinner rammeavtaler regionalt",NO,"Doffin/anskaffelser","regional procurement table","Doffin, RIIK, fylkeskommuner, kommuner","nasjonal andel kan være B hvis ikke beregnet","PCQ","research/external/r12/","planned"
R12-DIST-003,distribution,P1,"Kartlegg EMV-andel og leverandørmakt i Norden med primærkilder per land",Nordic,"market/competition authorities","EMV comparison table","SCB, KKV, SØA, USDA as secondary","DK kan være sekundær-estimat","source-shortlist","research/external/r12/","planned"
R12-DIST-004,distribution,P1,"Kartlegg grossistgate for frukt/grønt og CEA-aktører: hvilke nye produsenter når hvilke kjeder",NO,"actor pages and procurement docs","gate evidence ledger","company pages, press releases, procurement docs","gate er struktur, ikke bevist nekt","source-shortlist","research/external/r12/","planned"
R12-DIST-005,distribution,P2,"Kartlegg leaseback/eiendom som etableringsbarriere i dagligvare med regnskap og selskapsstruktur",NO,"annual accounts and registry","property mechanism memo","Brreg/regnskap, annual reports","interne leiestrømmer kan være delvis estimert","source-shortlist","research/external/r12/","planned"
R12-FARM-001,farm-economy,P0,"Fullfør N11 bondemargin med per-produksjonstype skvis og BFJ/NIBIO-tabeller",NO,"BFJ/NIBIO primary","margin pressure table","Totalkalkylen UT-1-2026, NIBIO","normalisert kalkyle er ikke faktisk driftsregnskap","PCQ","research/external/r12/","planned"
R12-FARM-002,farm-economy,P0,"Spesifiser aktørgate for per-kg-margin etter kjøperprisavtale i kjøtt og meieri",NO,"actor data requirement","AASK brief","TINE, Nortura, KLF, producer orgs","ikke desk-research hvis data er aktørgate","actor-gate","docs/project/mandates/","planned"
R12-FARM-003,farm-economy,P1,"Kartlegg gjødselsjokk 2022-2023 og ettervirkning på produksjoner og regioner",NO,"BFJ/NIBIO/market sources","shock response memo","BFJ, NIBIO, Landbruksdirektoratet","årsresultat/vederlag-begrep må harmoniseres","PCQ","research/external/r12/","planned"
R12-FARM-004,farm-economy,P1,"Kartlegg samvirkemakt sett fra bondens margin: hva kan sies strukturelt uten intensjonspåstander",NO,"governance and economics","cooperative margin memo","TINE/Nortura reports, BFJ, academic sources","samvirke er ikke samme som private oligopol","source-shortlist","research/external/r12/","planned"
R12-FARM-005,farm-economy,P2,"Kartlegg unge bønder, rekruttering og distriktsøkonomi som output av matsystemet",NO,"rural and farm statistics","district output memo","NIBIO, Ruralis, SSB","hold dette som output/blindsone hvis datagrunnlag svakt","source-shortlist","research/external/r12/","planned"
R12-TRUE-001,true-cost,P0,"Identifiser Edinburgh/NMBU-forskeren og publikasjonene om manglende indikatorer og eksternaliteter",International,"academic literature","source identity memo","Google Scholar/Crossref/university pages","ASR-navn er usikkert; ikke gjett person","source-shortlist","research/external/r12/","planned"
R12-TRUE-002,true-cost,P1,"Kartlegg TEEBAgriFood og true-cost accounting som metode for mat, men uten kronefestet modell",International,"method literature","method shortlist","TEEBAgriFood, FAO, academic reviews","skyggepris er metoderisiko","source-shortlist","research/external/r12/","planned"
R12-TRUE-003,true-cost,P1,"Kartlegg sufficiency og prevention i matsystemer: tiltak, evidens, og indikatorer",International,"academic and policy sources","concept memo","IPCC/EEA/academic sufficiency literature","ikke gjør normativt krav til aktørintensjon","source-shortlist","research/forstaelse/","planned"
R12-TRUE-004,true-cost,P1,"Verifiser Nexus-rapporten, anbefalingstall og SOIL-score fra møtet",International,"primary report","Nexus source card","IPBES Nexus Assessment or correct source","70 anbefalinger og SOIL-score er ASR-hypotese","PCQ","research/external/r12/","planned"
R12-TRUE-005,true-cost,P2,"Kartlegg folkehelse-output for norsk matsystem: kosthold, sykdom, tilgjengelighet og datagrunnlag",NO,"public health statistics","health output gap memo","FHI, Helsedirektoratet, SSB","helse er fase 2; ikke tallfest true-cost ennå","source-shortlist","research/external/r12/","planned"
R12-GOV-001,governance,P0,"Test governance-impotens-sløyfen: hvilke virkemidler finnes, og hvorfor endrer de ikke struktur",NO,"law/policy/enforcement","governance loop memo","Totalberedskapsmeldingen, KT, DSB, LMD/NFD","kausalpil er hypotese; skill virkemiddel og effekt","forstaelse","research/forstaelse/","planned"
R12-GOV-002,governance,P1,"Lag ansvarsmatrise for matberedskap stat, fylke og kommune med hjemmel og hull",NO,"law and guidance","responsibility matrix","DSB, Lovdata, ministry docs","fylkeskommunalt hull må hjemles som fravær","PCQ","research/external/r12/","planned"
R12-GOV-003,governance,P1,"Kartlegg nordiske regulatoriske terskler mot dagligvarekonsentrasjon og EMV-preferanse",Nordic,"competition law","policy comparison table","KKV, KT, KFST, Swedish authority","ikke bland forslag og vedtatt lov","source-shortlist","research/external/r12/","planned"
R12-GOV-004,governance,P1,"Kartlegg implementeringsbarrierer for sirkulære mattiltak: forskning som ikke konverterer",International,"case literature","conversion failure ledger","Infarm, Mycorena, Rest, Plantagon, academic sources","konkurs er ikke bevis mot teknologi alene","source-shortlist","research/external/r12/","planned"
R12-GOV-005,governance,P2,"Kartlegg finansieringsmuligheter som støtter Food TG-tilnærmingen uten å endre analyseformålet",Nordic,"funding programmes","funding fit matrix","Innovation Norway, Nordic Innovation, EU programmes","ikke funding for fundingens skyld","internal","docs/project/mandates/","planned"
R12-VIZ-001,visualization,P0,"Definer datakrav for ledd-profil-visualisering per land og verdikjedeledd",Nordic,"existing + required data","visual data contract","R4/R5 outputs, official stats","visualisering skal vise tomme celler","internal","docs/project/mandates/","planned"
R12-VIZ-002,visualization,P1,"Lag spesifikasjon for spider/radarmodell med økonomi, miljø, beredskap og implementeringstid",Internal,"method design","model spec","R12 source outputs","score uten kilde skal være null/tomt","internal","docs/project/mandates/","planned"
R12-VIZ-003,visualization,P1,"Lag underlag for kausalkart L1-L5 med evidensstyrke per pil",Internal,"synthesis evidence","causal loop evidence table","systemmodell, R4/R5/R6","piler er hypoteser, ikke målt kausalitet","forstaelse","research/forstaelse/","planned"
R12-VIZ-004,visualization,P1,"Lag datagap-figur-underlag: hva måles ikke, av hvem, og hva skal til",Nordic,"type-C findings","datagap table","R4/R5/R6 + new prompts","type-C er funn, ikke feil","internal","docs/project/mandates/","planned"
R12-VIZ-005,visualization,P2,"Lag whitepaper/deck uttaksoversikt: hvilke funn kan bli figur, tabell eller casekort",Internal,"curated evidence","figure candidate inventory","claim-lock and PCQ outputs","ingen figur uten gate/status","internal","docs/project/mandates/","planned"
