node_id,domain,subdomain,verificationStatus,locator_url,kilde-type,begrunnelse,flagg-for-menneske
frevar-kf,matsvinn-sirkulaer,biogass-bioraffinering,machine_verified,https://frevar.no/biogassanlegg/,primary,"Egen side og Brreg-validert org.nr.",nei
bir-ressurs-as,matsvinn-sirkulaer,biogass-bioraffinering,machine_verified,https://bir.no/om-bir/vaare-anlegg/biogassanlegget/,primary,"BIRs egen anleggsside og Brreg-validert BIR Ressurs AS; operatoer/konsernrolle kan presiseres senere",ja
bio-jaeren-as,matsvinn-sirkulaer,biogass-bioraffinering,machine_verified,https://biojaeren.no/om-oss,primary,"Egen side og Brreg-validert org.nr.",nei
vireo-as,matsvinn-sirkulaer,biogass-bioraffinering,unverified,https://nordsol.com/news/vireo-selects-nordsol-for-lbg-technology-at-lista-biogass/,secondary,"Brreg-validert org.nr.; prosjektrolle bygger paa leverandoerkilde og maa etterkontrolleres mot egen side",ja
invertapro,matsvinn-sirkulaer,insekt-alternativ-protein,machine_verified,https://www.invertapro.com/,primary,"Egen side og Brreg-validert org.nr.; eksisterende Actor/Company berikes",nei
norinsect,matsvinn-sirkulaer,insekt-alternativ-protein,machine_verified,https://norinsect.no/,primary,"Egen side og Brreg-validert org.nr.; eksisterende Actor lenkes til eksisterende Company",nei
pronofa,matsvinn-sirkulaer,insekt-alternativ-protein,machine_verified,https://kommunikasjon.ntb.no/pressemelding/17915008/pronofa-trapper-opp-insektsatsingen-med-nytt-oppkjop?publisherId=17847778,primary,"Pronofa-pressemelding og Brreg-validert org.nr.; eksisterende Actor-navn er AS mens Company/Brreg er ASA",ja
ecoprot,matsvinn-sirkulaer,insekt-alternativ-protein,unverified,https://nibio.no/nyheter/tre-fluger-i-ein-smekk--sirkulaer-produksjon-av-insektlarvar,public,"NIBIO/Pronofa dokumenterer rolle, men Brreg-sok gav ikke trygt aktivt org.nr-treff",ja
bio3-norway,matsvinn-sirkulaer,insekt-alternativ-protein,machine_verified,https://www.bio3.no/fremtidens-forravarer,primary,"Egen side og Brreg-validert org.nr.; eksisterende Actor lenkes til eksisterende Company",nei
nibio,matsvinn-sirkulaer,insekt-alternativ-protein,machine_verified,https://www.nibio.no/tema/mat/insektlarver-for-for-og-mat,primary,"Egen temaside og Brreg-validert ORGL; FoU-infrastruktur, ikke proteinprodusent",ja
