id,institution,year,title,sourceUrl
juridisk-eiendomsmakt-lokal-konkurranse,Dagligvaretilsynet / juridisk analyse,2024,Eiendomsmakt og lokal konkurranse,https://www.regjeringen.no/no/aktuelt/forbyr-praksis-som-motvirker-konkurranse-i-dagligvaremarkedet/id2985486/
danmark-groent-danmark-co2-avgift-2024,Danmarks regering / Finansministeriet,2024,Aftale om Grønt Danmark,https://fm.dk/nyheder/2024/juni/aftale-om-groent-danmark/
nordisk-food-markets-2005,De nordiske konkurransemyndighetene,2005,Nordic Food Markets — A Taste for Competition,https://konkurransetilsynet.no/wp-content/uploads/2018/08/NORDIC_FOOD_MARKETS.pdf
nordisk-sammenligning-2024,"Diverse (ICA, Axfood, Kesko)",2024,Nordisk sammenligning 2024,
oversikt-bransje-statistikk-beredskap,"Diverse kilder (Nielsen, SSB, dagligvaretilsynet)",2024,Bransjestatistikk og beredskapstall,https://www.virke.no/bransjeomrade/dagligvare/
oversikt-offentlig-rapportlogg,Diverse offentlige instanser,2025,Offentlig rapportlogg — matsektor,
dlf-leverandor-2025,DLF,2025,DLF leverandorposisjoner 2025,https://www.dlf.no/dagligvaretilsynet-legges-ned-konkurransetilsynet-far-mer-ansvar/
oversikt-nordisk-mat-tenkere,Egenkartlegging,2025,Nordiske mat-tenkere og paavirkernettverk,
oversikt-tenketanker-ngo,Egenkartlegging,2025,Tenketanker og NGO-er i nordisk matdebatt,
oversikt-akademia-dyp-research,Egenkartlegging,2025,Akademisk forskning paa nordisk dagligvare — oversikt,https://press.nordicopenaccess.no/index.php/noasp/catalog/book/93
oversikt-nordisk-avhandlingsregister,Egenkartlegging,2025,Nordisk avhandlingsregister — matpolitikk,
oversikt-nordisk-matmakt-historikk,Egenkartlegging / diverse kilder,2025,Nordisk matmaktkonsentrasjon — historikk,
oversikt-sirkularitet-dyp,Egenkartlegging / nordiske kilder,2025,Sirkularitet i nordisk mat — dypanalyse,
finland-food-market-ombudsman-2023,Elintarvikemarkkinavaltuutettu (Food Market Ombudsman),2023,Elintarvikemarkkinavaltuutetun toimintakertomus 2023,https://www.ruokavirasto.fi/globalassets/etmv/etmv-toimintakertomus-2023-liitteineen.pdf
etmv-toimintakertomus-2024,Elintarvikemarkkinavaltuutettu / Finnish Food Market Ombudsman,2024,Elintarvikemarkkinavaltuutettu toimintakertomus 2024,https://www.ruokavirasto.fi/globalassets/etmv/etmv-toimintakertomus-2024.pdf
juridisk-eudr-norge-2025,EU / norsk implementering,2025,EUDR og norsk dagligvare,https://www.landbruksdirektoratet.no/nb/skogbruk/eus-avskogingsforordning-eudr
eu-utp-report-2024,European Commission,2024,Implementing the prohibition of unfair trading practices to strengthen the position of farmers and operators in the agricultural and food supply chain — State of play (COM(2024) 176 final),https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A52024DC0176
eu-utp-staff-working-doc-2024,European Commission,2024,Unfair Trading Practices (UTP) — Overview tables on Member States' transposition choices and enforcement activities (SWD(2024) 106 final),https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX%3A52024SC0106
evida-biogasstatus-danmark-2024,Evida,2025,Biogasstatus for 2024,https://evida.dk/nyheder/biogas-2024/
finland-food2030,Finnish Ministry of Agriculture and Forestry,2017,Food2030 — Government Report on Food Policy: Finland feeds us and the world,https://mmm.fi/documents/1410837/1923148/lopullinen03032017ruoka2030_en.pdf/d7e44e69-7993-4d47-a5ba-58c393bbac28/lopullinen03032017ruoka2030_en.pdf
verdibutikker-utfordrere,Food Systems 2026 (intern syntese),2024,Verdibutikkene — Normal og Europris,
merkevarer-historie,Food Systems 2026 (intern syntese),2024,Merkevarenes historie — Orkla og TINE,
fivh-etikk-2025,Framtiden i vaare hender,2025,FIVH — Etikk og Baerekraft 2025,https://www.framtiden.no/tema/mat
hagar-2024-25,Hagar hf.,2025,Hagar plc — Management Report 2024/25 and Q4 Results,https://www.hagar.is/media/fgpfwir5/fr%C3%A9ttatilkynning-hagar-4f-2024-25-ensk.pdf
beredskap-finsk-modell-hvk,Huoltovarmuuskeskus (HVK),2024,Finsk matberedskap — HVK-modellen,https://www.huoltovarmuuskeskus.fi/en/security-of-supply
ica-gruppen-annual-report-2024,ICA Gruppen AB,2024,ICA Gruppen Annual Report 2024,https://www.icagruppen.se/globalassets/xx.-arsredovisning-2024/250221_icagruppen_annual_report_2024.pdf
jordbruksverket-livsmedelskonsumtion-sverige-2024,Jordbruksverket / Sveriges officiella statistik,2025,Livsmedelskonsumtion och näringsinnehåll 2024,https://jordbruksverket.se/om-jordbruksverket/jordbruksverkets-officiella-statistik/jordbruksverkets-statistikrapporter/statistik/2025-12-11-livsmedelskonsumtion-och-naringsinnehall.--uppgifter-till-och-med-2024
kesko-annual-report-2024,Kesko Oyj,2024,Kesko Annual Report 2024,https://www.kesko.fi/annual-reports
kfst-salling-coop-2025,KFST,2025,Salling Group / Coop Danmark-oppkjop,https://kfst.dk/konkurrenceforhold/afgoerelser/afgoerelser-paa-konkurrenceomraadet/raads-og-styrelsesafgoerelser/2025/20250326-salling-group-dele-af-coop-danmark
kkv-fi-4a-dominans,KKV,2014,KKV — Konkurranseloven § 4a (Dominans),https://www.kkv.fi/en/current/press-releases/competition-act-provision-on-grocery-trade-became-effective-on-1st-of-january/
kbh-food-strategy-madhus,Koebenhavns Madhus / Koebenhavns Kommune,2025,Koebenhavns Madhus — maaltidstrategi og status,https://maaltider.kk.dk/for-koebenhavnere/mad-og-maaltidsstrategi
kt-markedsundersokelser-2026,Konkurransetilsynet,2026,Markedsundersokelser § 14 — Status,https://www.regjeringen.no/no/aktuelt/i-dag-far-konkurransetilsynet-et-nytt-verktoy-for-a-bekjempe-alvorlige-konkurranseproblemer/id3113837/
kt-dagligvarerapport-2024,Konkurransetilsynet,2025,Dagligvarerapport 2024-25,https://konkurransetilsynet.no/wp-content/uploads/2025/04/Konkurransetilsynets-Dagligvarerapport-2024-25.pdf
kt-marginstudie-2025-del2,Konkurransetilsynet,2025,Marginstudie Del 2,https://konkurransetilsynet.no/wp-content/uploads/2025/01/Del-2.-Kartlegging-av-marginer-ved-bruk-av-informasjon-pa-produktniva.pdf
kt-marginstudie-2024-del1,Konkurransetilsynet,2024,Marginstudie Del 1,https://konkurransetilsynet.no/wp-content/uploads/2024/05/Rapport-marginstudie.pdf
kt-prisjeger-saken-2024,Konkurransetilsynet,2024,"Prisjeger-saken (4,9 mrd. NOK)",https://konkurransetilsynet.no/wp-content/uploads/2025/02/V2024-4-Offentlig-versjon-Coop-Norge-SA-Norgesgruppen-ASA-Rema-1000-AS-%E2%80%93-palegg-om-opphor-av-overtredelse-.pdf
kt-innkjopspriser-2017-2023,Konkurransetilsynet,2024,Kartlegging av innkjopspriser 2017-2023,https://konkurransetilsynet.no/dagligvare-forskjeller-i-innkjopspriser-ytterligere-redusert/
kt-prisjusteringsvinduer-2023,Konkurransetilsynet,2023,Utredning om prisjusteringsvinduer,https://konkurransetilsynet.no/wp-content/uploads/2023/12/Utredning-om-prisjusteringsvinduer-2023.pdf
dk-salling-coop-decision-2025,Konkurrence- og Forbrugerstyrelsen,2025,Salling Group A/S erhvervelse af dele af Coop Danmark A/S (Konkurrencerådsafgørelse 26. marts 2025),https://kfst.dk/konkurrenceforhold/afgoerelser/afgoerelser-paa-konkurrenceomraadet/raads-og-styrelsesafgoerelser/2025/20250326-salling-group-dele-af-coop-danmark
kfst-foedevarehandelslov-evaluering-2024,Konkurrence- og Forbrugerstyrelsen,2024,KFST Evaluering af foedevarehandelsloven 2024,https://kfst.dk/media/3wxbfqqe/20241120-evaluering-af-foedevarehandelsloven-2024.pdf
konkurrensverket-2025-5-livsmedelsutredning,Konkurrensverket,2025,Konkurrensverket rapport 2025:5 — livsmedelsutredningen,https://www.konkurrensverket.se/globalassets/dokument/informationsmaterial/rapporter-och-broschyrer/rapportserie/rapport_2025-5.pdf
se-konkurrensverket-2024-5,Konkurrensverket,2024,Konkurrensverket Rapport 2024:5,https://www.konkurrensverket.se/globalassets/dokument/informationsmaterial/rapporter-och-broschyrer/rapportserie/rapport_2024-5.pdf
konkurrensverket-summary-2024,Konkurrensverket,2024,Summary of the Swedish Competition Authority's inquiry into the food industry 2023–2024,https://www.konkurrensverket.se/globalassets/dokument/informationsmaterial/rapporter-och-broschyrer/rapportserie/rapport_2024-5.pdf
beredskap-island-melmolle-2025,Kornax / Iceland Review / RUV,2025,Islands melmolle og matsuverenitet,https://www.icelandreview.com/news/icelands-only-flour-mill-set-to-be-scrapped/
meld-st-11-selvforsyning,Landbruks- og matdepartementet,2024,Strategi for auka sjoelvforsyning,https://www.regjeringen.no/no/dokumenter/meld.-st.-11-20232024/id3028626/
nou-2011-4,Matkjedeutvalget,2011,"Mat, makt og avmakt",https://www.regjeringen.no/no/dokumenter/nou-2011-4/id640128/
matsvinnutvalget-2024,Matsvinnutvalget,2024,Matsvinnutvalgets anbefalinger,https://www.regjeringen.no/contentassets/5a5cadf8907a4f4c94740d23d7c4c6e4/rapport-fra-matsvinnutvalget-anbefalinger-til-helhetlige-tiltak-og-virkemidler-31.12.23.pdf
menon-emv-innovasjon,Menon Economics,2022,Menon — EMV og Innovasjon,https://www.menon.no/wp-content/uploads/2022-68-EMV-og-innovasjon-i-dagligvare.pdf
motiva-food-procurement-2026,Motiva Oy,2026,"Guide for Responsible Procurement of Food (Motiva, januar 2026)",https://www.motiva.fi/en/databank/guide-for-the-responsible-procurement-of-food-recommendations-for-requirements-and-evaluation-criteria/
meld-st-4-dagligvare,Naerings- og fiskeridepartementet,2024,Status dagligvaretiltak (10-punktsplanen),https://www.regjeringen.no/no/dokumenter/meld.-st.-4-20242025/id3056808/
luke-peat-soils-roadmap-finland-2024,Natural Resources Institute Finland (Luke),2024,Climate-smart food production on peat soils,https://www.luke.fi/en/about-luke/responsibility/vastuullisuusraportti-2024/climatesmart-food-production-on-peat-soils
naturvardsverket-livsmedelsavfall-sverige-2024,Naturvardsverket / SMED,2025,Livsmedelsavfall i Sverige 2024,https://www.naturvardsverket.se/data-och-statistik/avfall/avfall-mat/
akademia-nhh-matbors-historie,NHH — Norges Handelshoyskole,2023,NHH: Matboersens historie og matprisdannelse,https://www.nhh.no/en/research-centres/food/
solutions-menu-2018,Nordic Council of Ministers,2018,Solutions Menu,https://www.norden.org/en/publication/solutions-menu-nordic-guide-sustainable-food-policy
nordic-food-alert-2025,Nordic Council of Ministers — Ministry of the Environment Finland,2025,Beyond Zero — Nordic Architecture on the Road Towards Renewed Practices (Nord 2025:010),https://pub.norden.org/nord2025-010/nord2025-010.pdf
karlstad-declaration-2024,Nordic Council of Ministers — Working Group for Biological Diversity,2024,UNESCO Biosphere Reserves — A Path to Local Holistic Sustainability (Nord 2024:023),https://pub.norden.org/nord2024-023/nord2024-023.pdf
normo-2025-nordic-monitoring,Nordic Council of Ministers / DTU Food,2025,NORMO 2025,https://www.norden.org/en/publication/normo-2025-nordic-monitoring-2014-2024
sirkularitet-matsvinn-2024,Nordisk Ministerraad,2024,Breaking Barriers,https://pub.norden.org/nord2024-034/nord2024-034.pdf
norden-policy-2024,Nordregio / Nordisk Ministerraad,2024,Policy tools for sustainable and healthy eating,https://pub.norden.org/nord2024-007/nord2024-007.pdf
norgesgruppen-halvarsrapport-h1-2025,NorgesGruppen ASA,2025,NorgesGruppen halvarsrapport H1 2025,https://www.norgesgruppen.no/finans/finans-hjem/rapporter/
norgesgruppen-2024-25,NorgesGruppen ASA,2024,NorgesGruppen Aarsrapport 2024,https://www.norgesgruppen.no/globalassets/finansiell-informasjon/rapporter/2024/ng_ars--og-barekraftsrapport-2024.pdf
nbs-systemkritikk,Norsk Bonde- og Smaabrukarlag,2025,NBS — Systemkritikk,https://www.smabrukarlaget.no/politikk/mat-og-produksjon/
oslo-economics-forsvar-2024,Oslo Economics,2024,Oslo Economics — Konkurransen bedre enn sitt rykte,https://osloeconomics.no/wp-content/uploads/2024/06/Oslo-Economics-Konkurransen-i-dagligvaremarkedet-betydelig-bedre-enn-sitt-rykte.pdf
plantefonden-projects-2023-2025,"Plantefonden / Foedevare-, Landbrugs- og Fiskeristyrelsen",2025,Plantefonden — projekter og bevillinger 2023-2025,https://plantefonden.dk/
pty-finnish-grocery-trade-2024,PTY (Finnish Grocery Trade Association),2024,Finnish Grocery Trade Statistics 2024,https://www.pty.fi/wp-content/uploads/2024/06/Paivittaistavarakauppa-ry-2024-EN.pdf
nou-2013-6-god-handelsskikk,Regjeringen (Handelslovutvalget),2013,NOU 2013:6 God handelsskikk i dagligvarekjeden,https://www.regjeringen.no/no/dokumenter/nou-2013-6/id725309/
reitan-2024-25,Reitan Retail AS,2024,Reitan Retail / REMA 1000 (2024/2025),https://www.reitanretail.no/om-oss/rapporter
riksrevisionen-2025-jordbrukets-klimatomstallning,Riksrevisionen,2025,Statens insatser for jordbrukets klimatomstallning,https://www.riksrevisionen.se/granskningar/granskningsrapporter/2025/statens-insatser-for-jordbrukets-klimatomstallning.html
riksrevisjonen-matsikkerhet-2023,Riksrevisjonen,2023,Riksrevisjonen: Matsikkerhet og beredskap,https://www.riksrevisjonen.no/rapporter-mappe/no-2023-2024/matsikkerhet-og-beredskap-pa-landbruksomradet/
salling-group-2024,Salling Group A/S,2024,Salling Group Annual Report 2024 — Every Day Better,https://sallinggroup.com/en/publications
soa-emv-2023,Samfunnsokonomisk Analyse,2023,SOA — EMV og Vertikal integrasjon,https://www.regjeringen.no/contentassets/41847427caa14feb8b8578af3d6d45bc/r15-2023-kartlegging-av-egne-merkevarer-og-vertikal-integrasjon-i-dagligvaremarkedet.pdf
emv-kartlegging-2023,Samfunnsøkonomisk analyse AS (oppdrag fra NFD),2023,Kartlegging av egne merkevarer og vertikal integrasjon i dagligvaremarkedet,https://www.regjeringen.no/contentassets/41847427caa14feb8b8578af3d6d45bc/r15-2023-kartlegging-av-egne-merkevarer-og-vertikal-integrasjon-i-dagligvaremarkedet.pdf
is-markedsstruktur-2024,Samkeppniseftirlitid,2024,Island — Markedskonsentrasjon og vertikal integrasjon,https://www.samkeppni.is/urlausnir/skyrslur/
is-samkeppni-annual-report-2024,Samkeppniseftirlitið,2024,Samkeppniseftirlitið Ársskýrsla 2024,https://www.samkeppni.is/urlausnir/skyrslur/4-2025/
sodertaelje-diet-green-planet,Soedertaelje Kommun / DIVA Portal,2023,Soedertaelje — Diet for a Green Planet,https://www.diva-portal.org/smash/record.jsf?pid=diva2%3A1915414
sou-2024-8-svensk-beredskap,Statens offentliga utredningar (Sverige),2024,Livsmedelsberedskap for en ny tid,https://www.regeringen.se/rattsliga-dokument/statens-offentliga-utredningar/2024/02/sou-20248/
statistics-finland-biogas-2024,Statistics Finland / Official Statistics of Finland,2025,Two per cent more biogas was produced in 2024,https://stat.fi/en/publication/cm1kpvyg5cwuk07vwljv0s760
stockholm-resilience-2019,Stockholm Resilience Centre,2019,Stockholm Resilience Centre — Nordic Food Systems,https://www.stockholmresilience.org/download/18.66e0efc517643c2b810381d/1618468740819/SRC_Report%20Nordic%20Food%20Systems_%20June%202019%20adapted.pdf
oversikt-nou-stortingsdok-juridisk,Stortinget / regjeringen,2025,NOU-er og stortingsdokumenter — juridisk oversikt,
akademia-uib-kjopermakt,Universitetet i Bergen,2024,UiB: Kjoepermakt i nordisk dagligvare,https://www.uib.no/en/persons/Tommy.Staahl.Gabrielsen
valio-sustainability-report-2024,Valio,2025,Valio Sustainability Report 2024,https://cdn-wp.valio.fi/valio-wp-network/2025/04/Valio-Sustainability-Report-2024-light-version.pdf
dagligvarerapporten-2025,Virke Handel,2025,Dagligvarerapporten 2025,https://www.virke.no/analyse/statistikk-rapporter/dagligvarehandelen/
sirkularitet-definisjoner-wur-emf,Wageningen University / Ellen MacArthur Foundation,2023,Sirkulaer okonomi i matsystemer — definisjoner,https://www.ellenmacarthurfoundation.org/topics/food/overview
