domain,subdomain,geo,estimated_universe,universe_source,universe_confidence,mapped_count,gap,last_updated
distribusjon-grossist,alternativ-distribusjon,NO,20,"Arbeidsanslag for taksonomi-metning; alternative distribusjonsmodeller verifiseres i gather",lav,0,0,2026-06-26
handel-dagligvare,dagligvarekjede,NO,0,"Konsern- og dagligvarelaget er allerede dekket; denne cellen lenkes ved behov og re-kartlegges ikke",hoey,0,0,2026-06-26
handel-dagligvare,spesialhandel-delikatesse,NO,20,"Arbeidsanslag for taksonomi-metning; spesialhandel og delikatesseaktorer verifiseres i gather",lav,0,0,2026-06-26
handel-dagligvare,direktesalg-plattform,NO,20,"Arbeidsanslag for taksonomi-metning; direktesalg og plattformaktorer verifiseres i gather",lav,0,0,2026-06-26
horeca-offentlig,restaurant-storkjokken,NO,20,"Arbeidsanslag for taksonomi-metning; restaurant og storkjokkenaktorer verifiseres i gather",lav,0,0,2026-06-26
horeca-offentlig,offentlig-innkjop-kantine,NO,20,"Arbeidsanslag for taksonomi-metning; offentlige innkjop kantine og institusjonsmat verifiseres i gather",lav,0,0,2026-06-26
horeca-offentlig,reiseliv-gardsmat,NO,20,"Arbeidsanslag for taksonomi-metning; reiseliv gardsmat og HANEN-naere aktorer verifiseres i gather",lav,0,0,2026-06-26
forbruk,forbrukerorganisasjon,NO,10,"Arbeidsanslag for taksonomi-metning; forbruker- og miljoorganisasjoner verifiseres i gather",lav,0,0,2026-06-26
forbruk,matfellesskap-innkjopslag,NO,20,"Arbeidsanslag for taksonomi-metning; matfellesskap og innkjopslag verifiseres i gather",lav,0,0,2026-06-26
matsvinn-sirkulaer,matredistribusjon,NO,20,"Arbeidsanslag for taksonomi-metning; matsentraler og redistribusjonsaktorer verifiseres i gather",lav,10,10,2026-06-26
matsvinn-sirkulaer,biogass-bioraffinering,NO,20,"Arbeidsanslag for taksonomi-metning; biogass og bioraffinering verifiseres i gather",lav,19,1,2026-06-26
matsvinn-sirkulaer,kompost-jordprodukt,NO,20,"Arbeidsanslag for taksonomi-metning; kompost jordprodukt og restressursaktorer verifiseres i gather",lav,8,12,2026-06-26
matsvinn-sirkulaer,reststrom-sidestrom,NO,20,"Arbeidsanslag for taksonomi-metning; reststrom og sidestromaktorer verifiseres i gather",lav,0,0,2026-06-26
matsvinn-sirkulaer,emballasje-retur,NO,20,"Arbeidsanslag for taksonomi-metning; emballasje retur og materialsystemer verifiseres i gather",lav,0,0,2026-06-26
matsvinn-sirkulaer,insekt-alternativ-protein,NO,20,"Arbeidsanslag for taksonomi-metning; insekt og alternative proteinaktorer verifiseres i gather",lav,6,14,2026-06-26
okologi-sertifisering,kontrollorgan-merkeordning,NO,10,"Arbeidsanslag for taksonomi-metning; kontrollorgan og merkeordninger verifiseres i gather",lav,0,0,2026-06-26
okologi-sertifisering,okologisk-produsent,NO,20,"Arbeidsanslag for taksonomi-metning; okologiske produsentnoder verifiseres i gather",lav,0,0,2026-06-26
okologi-sertifisering,regenerativ-sertifisering,NO,10,"Arbeidsanslag for taksonomi-metning; regenerative sertifiserings- og kontrollmiljoer verifiseres i gather",lav,0,0,2026-06-26
fou-institusjon,forskningsinstitutt,NO,12,"Arbeidsanslag for taksonomi-metning; NIBIO NORSOK Ruralis Nofima SINTEF og tilgrensende miljoer verifiseres i gather",lav,0,0,2026-06-26
fou-institusjon,universitet-utdanning,NO,12,"Arbeidsanslag for taksonomi-metning; relevante UH-miljoer og utdanninger verifiseres i gather",lav,0,0,2026-06-26
fou-institusjon,nettverk-kompetanse,NO,20,"Arbeidsanslag for taksonomi-metning; kompetansenettverk og fagmiljoer verifiseres i gather",lav,0,0,2026-06-26
virkemiddel-policy,virkemiddelapparat,NO,12,"Arbeidsanslag for taksonomi-metning; virkemiddelapparat og programaktorer verifiseres i gather",lav,0,0,2026-06-26
virkemiddel-policy,forvaltning-tilsyn,NO,12,"Arbeidsanslag for taksonomi-metning; forvaltning og tilsyn i matsystemet verifiseres i gather",lav,0,0,2026-06-26
virkemiddel-policy,politisk-program,NO,10,"Arbeidsanslag for taksonomi-metning; politiske program og satsinger verifiseres i gather",lav,0,0,2026-06-26
interesseorg-paraply,naeringsorganisasjon,NO,20,"Arbeidsanslag for taksonomi-metning; naeringsorganisasjoner verifiseres i gather",lav,0,0,2026-06-26
interesseorg-paraply,faglag-bonde,NO,20,"Arbeidsanslag for taksonomi-metning; faglag bonde- og produsentorganisasjoner verifiseres i gather",lav,0,0,2026-06-26
interesseorg-paraply,miljo-forbruker-ngo,NO,20,"Arbeidsanslag for taksonomi-metning; miljo forbruker og NGO-aktorer verifiseres i gather",lav,0,0,2026-06-26
finansiering-investering,stiftelse-fond,NO,20,"Arbeidsanslag for taksonomi-metning; stiftelser og fond verifiseres i gather",lav,0,0,2026-06-26
finansiering-investering,impact-investor,NO,20,"Arbeidsanslag for taksonomi-metning; impact-investorer og kapitalmiljoer verifiseres i gather",lav,0,0,2026-06-26
finansiering-investering,kooperativ-eierskap,NO,20,"Arbeidsanslag for taksonomi-metning; kooperativt eierskap og samvirkeaktorer verifiseres i gather",lav,0,0,2026-06-26
