country,source_name,source_type,owner,url,local_original_path,local_text_path,format,download_status,extraction_status,analysis_status,quality_flag,notes
FI,Organics in Finland,sector_summary,Pro Luomu,https://proluomu.fi/en/organics-in-finland/,downloads/fi-proluomu-organics-in-finland.html,text/fi-proluomu-organics-in-finland.txt,html,downloaded,html_text_ok,key_indicators_extracted,ok,"Compact Finnish sector summary with area, farms, retail and public kitchens."
FI,The organic market is searching for direction,sector_market_update,Pro Luomu,https://proluomu.fi/en/the-organic-market-is-searching-for-direction/,downloads/fi-proluomu-market-2024.html,text/fi-proluomu-market-2024.txt,html,downloaded,html_text_ok,key_indicators_extracted,sector_estimate,"Market value/share is Pro Luomu estimate based on retail group data; should be treated as sector estimate, not official statistical register."
IS,Annual report on official controls 2023,official_controls_report,EFTA Surveillance Authority,https://www.eftasurv.int/cms/sites/default/files/documents/gopro/Annual%20report%20on%20the%20overall%20operation%20of%20official%20controls%20in%20the%20food%20and%20veterinary%20area%20-%202023_0.pdf,downloads/is-esa-official-controls-2023.pdf,text/is-esa-official-controls-2023.txt,pdf,downloaded,pdftotext_ok,key_indicators_extracted,ok,Contains the verified 2023 count of certified organic operators and control-system caveats.
IS,Arsskyrsla MAST 2024,authority_report,MAST,https://www.mast.is/is/um-mast/utgefid-efni/skyrslur/arsskyrsla-mast-2024,downloads/is-mast-arsskyrsla-2024.html,text/is-mast-arsskyrsla-2024.txt,html,downloaded,html_text_partial,supporting_source,entity_decode_noise,General MAST annual report; text extraction has HTML entity noise and no strong organic series extracted yet.
IS,Iceland country profile - control system for organic production,control_system_profile,EFTA Surveillance Authority,https://www.eftasurv.int/cms/sites/default/files/documents/gopro/Country%20Profile%20Part%201%20-%20Iceland.pdf,downloads/is-esa-country-profile-iceland-2023.pdf,text/is-esa-country-profile-iceland-2023.txt,pdf,downloaded,pdftotext_ok,control_system_extracted,ok,Strongest source for MAST/Tun roles and import-control responsibility.
Nordic,The World of Organic Agriculture 2026,benchmark_report,FiBL / IFOAM Organics International,https://www.fibl.org/en/shop-en/1861-organic-world-2026,downloads/nordic-fibl-ifoam-organic-world-2026.pdf,text/nordic-fibl-ifoam-organic-world-2026.txt,pdf,downloaded,pdftotext_ok,method_caveats_extracted,benchmark,Use for cross-country benchmark and metadata caveats. Prefer national sources for canonical Nordic area/market imports.
IS,Vottunarstofan Tun certified organic operators register,control_body_register_page,Vottunarstofan Tun,https://www.tun.is/vottunarskra,downloads/is-tun-vottunarskra-2026.html,text/is-tun-vottunarskra-2026.txt,html,downloaded,html_text_ok,key_source_path_extracted,ok,Direct Tún page confirms year-end 2024 certified list is accessed through TRACES NT; explains activity and product-category definitions.
IS,Vottunarstofan Tun organic certification guidance,control_body_guidance_page,Vottunarstofan Tun,https://www.tun.is/lifraent,downloads/is-tun-lifraent-vottun-2026.html,text/is-tun-lifraent-vottun-2026.txt,html,downloaded,html_text_ok,control_system_context,supporting,"Explains Tún certification process, EU organic scope in Iceland, legislation and logo rules."
IS,TRACES organic operator certificates - Iceland issued,current_public_register_api,European Commission / TRACES NT,https://webgate.ec.europa.eu/tracesnt/directory/publication/organic-operator/for/query?countryCode=IS&states=ISSUED&max=100&offset=0&sort=-issuedOn,downloads/is-traces-organic-operator-issued-2026.json,exports/is_traces_organic_operator_issued_2026.csv,json,downloaded,json_to_csv_ok,key_indicators_extracted,ok,Public API extracted 59 issued Iceland organic operator certificate records on 2026-04-29; unique operator names also 59.
IS,TRACES organic operator certificates - Iceland public statuses,current_public_register_api,European Commission / TRACES NT,https://webgate.ec.europa.eu/tracesnt/directory/publication/organic-operator/for/query?countryCode=IS&states=ISSUED&states=SUSPENDED&states=WITHDRAWN&states=EXPIRED&max=100&offset=0&sort=-issuedOn,downloads/is-traces-organic-operator-public-statuses-2026.json,exports/is_traces_organic_operator_summary_2026.csv,json,downloaded,json_summary_ok,key_indicators_extracted,ok,"Public API extracted 75 Iceland organic operator certificate records: 59 issued, 12 withdrawn, 4 expired."
IS,Area under organic farming - Iceland,environment_indicator_page,European Environment Agency,https://www.eea.europa.eu/en/europe-environment-2025/countries/iceland/area-under-organic-farming,downloads/is-eea-area-under-organic-farming-2025.html,text/is-eea-area-under-organic-farming-2025.txt,html,downloaded,html_text_ok,historical_share_extracted,historical_indicator,"EEA profile gives Iceland organic area share trend 2012-2020, no growth assessment, 10% by 2040 policy objective and Eurostat data-source link."
IS,Statistics Iceland SDG indicator 2.4.1,statistical_metadata_page,Statistics Iceland,https://heimsmarkmidin.hagstofa.is/en/2-4-1/,downloads/is-hagstofa-sdg-2-4-1-2026.html,text/is-hagstofa-sdg-2-4-1-2026.txt,html,downloaded,html_text_ok,metadata_only,metadata,SDG metadata page confirms indicator context; no current organic area table extracted from this page.
IS,Efling lifraennar matvaelaframleidslu,government_policy_action_plan,"Government of Iceland / Ministry of Food, Agriculture and Fisheries",https://www.stjornarradid.is/library/01--Frettatengt---myndir-og-skrar/MAR/Fylgiskjol/MAR_EflingLifraennarMatvaelaframleidslu_Lokautgafa.pdf,downloads/is-government-organic-action-plan-2024.pdf,text/is-government-organic-action-plan-2024.txt,pdf,downloaded,pdftotext_ok,key_policy_extracted,ok,"August 2024 action plan proposes 10% certified organic agricultural land by 2040, stronger data collection, Tún/MAST collaboration and market-share reporting."
IS,Statistics Iceland agriculture PxWeb catalog,statistical_api_catalog,Statistics Iceland,https://px.hagstofa.is/pxen/api/v1/en/Atvinnuvegir/landbunadur,exports/is_hagstofa_agriculture_pxweb_catalog_2026-04-29.csv,,csv,generated_from_api_catalog,csv_ok,gap_check_completed,metadata,"Crawled 26 agriculture tables in Hagstofa PxWeb on 2026-04-29; no organic/lifraent/vottun/certification terms found in titles, variables or value texts."
IS,Statistics Iceland agriculture landing page,statistical_topic_page,Statistics Iceland,https://www.statice.is/statistics/business-sectors/agriculture/,downloads/is-statice-agriculture-2026.html,text/is-statice-agriculture-2026.txt,html,downloaded,html_text_ok,gap_check_completed,metadata,Topic page checked for organic terms; no current organic area or market split found.
IS,Statistics Iceland production in agriculture 2024,statistical_news_page,Statistics Iceland,https://www.statice.is/publications/news-archive/agriculture/production-in-agriculture-2024/,downloads/is-statice-production-in-agriculture-2024-news-2026.html,text/is-statice-production-in-agriculture-2024-news-2026.txt,html,downloaded,html_text_ok,gap_check_completed,supporting,General 2024 agricultural production news checked; no organic production-method split found.
IS,Statistics Iceland production value of agriculture 2024,statistical_news_page,Statistics Iceland,https://www.statice.is/publications/news-archive/economy/production-value-of-agriculture-2024/,downloads/is-statice-production-value-agriculture-2024-news-2026.html,text/is-statice-production-value-agriculture-2024-news-2026.txt,html,downloaded,html_text_ok,gap_check_completed,supporting,General 2024 agricultural production-value news checked; no organic market/value split found.
IS,Lifraent Island homepage and producer map,sector_platform_page,VOR / Lifraent Island,https://lifraentisland.is/,downloads/is-lifraent-island-home-2026.html,text/is-lifraent-island-home-2026.txt,html,downloaded,html_text_ok,actor_map_extracted,actor_context,Homepage and embedded Iceland producer map extracted to exports/is_lifraent_island_map_entries_2026-04-29.csv with 23 entries; not an official area or market series.
IS,Lifraent Island homepage WordPress API,sector_platform_api,VOR / Lifraent Island,https://lifraentisland.is/wp-json/wp/v2/pages/105,downloads/is-lifraent-island-home-wp-rest-2026.json,text/is-lifraent-island-home-wp-rest-2026.txt,json,downloaded,json_text_ok,supporting_metadata,metadata,WP API confirms homepage modified 2026-03-28 and provides rendered page content; used as provenance support only.
SE,KRAV Effektrapport 2025,certification_effect_report,KRAV,https://www.krav.se/om-oss/rapporter/effektrapport/,downloads/se-krav-effektrapport-2025.pdf,text/se-krav-effektrapport-2025.txt,pdf,downloaded,pdftotext_ok,effect_claims_and_policy_context_extracted,private_certifier_context,"40-year effect report; useful for certification-impact claims, but not a neutral official statistical series."
SE,KRAVs Ekobarometer 2025 April,certification_market_barometer,KRAV,https://www.krav.se/om-oss/rapporter/kravs-ekobarometer/,downloads/se-krav-ekobarometer-2025-april.pdf,text/se-krav-ekobarometer-2025-april.txt,pdf,downloaded,pdftotext_ok,key_indicators_extracted,private_certifier_report,"Latest KRAV Ekobarometer downloaded; 2024 KRAV-specific land, farmers, processors, restaurants and public-procurement context extracted."
SE,KRAVs Ekobarometer 2024 Oktober beredskap,certification_market_barometer,KRAV,https://www.krav.se/om-oss/rapporter/kravs-ekobarometer/,downloads/se-krav-ekobarometer-2024-oktober-beredskap.pdf,text/se-krav-ekobarometer-2024-oktober-beredskap.txt,pdf,downloaded,pdftotext_ok,downloaded_text_searchable,private_certifier_report,Preparedness-themed Ekobarometer; downloaded for thematic coding.
SE,KRAVs Ekobarometer 2024 April,certification_market_barometer,KRAV,https://www.krav.se/om-oss/rapporter/kravs-ekobarometer/,downloads/se-krav-ekobarometer-2024-april.pdf,text/se-krav-ekobarometer-2024-april.txt,pdf,downloaded,pdftotext_ok,key_indicators_extracted,private_certifier_report,Contains 2021-2023 KRAV-specific key indicators and land table.
SE,KRAVs Ekobarometer 2023 November biologisk mangfald,certification_market_barometer,KRAV,https://www.krav.se/om-oss/rapporter/kravs-ekobarometer/,downloads/se-krav-ekobarometer-2023-november-biologisk-mangfald.pdf,text/se-krav-ekobarometer-2023-november-biologisk-mangfald.txt,pdf,downloaded,pdftotext_ok,thematic_claims_extracted,private_certifier_report,Biodiversity consumer and production claims; use as thematic source with source flag.
SE,KRAVs Ekobarometer 2023 September skolmjolk,certification_market_barometer,KRAV,https://www.krav.se/om-oss/rapporter/kravs-ekobarometer/,downloads/se-krav-ekobarometer-2023-september-skolmjolk.pdf,text/se-krav-ekobarometer-2023-september-skolmjolk.txt,pdf,downloaded,pdftotext_ok,downloaded_text_searchable,private_certifier_report,School-milk themed Ekobarometer; downloaded for public-meals context.
SE,KRAVs Ekobarometer 2023 Juni potatis,certification_market_barometer,KRAV,https://www.krav.se/om-oss/rapporter/kravs-ekobarometer/,downloads/se-krav-ekobarometer-2023-juni-potatis.pdf,text/se-krav-ekobarometer-2023-juni-potatis.txt,pdf,downloaded,pdftotext_ok,downloaded_text_searchable,private_certifier_report,Potato-themed Ekobarometer; downloaded for product/effect coding.
SE,KRAVs Ekobarometer 2023 April,certification_market_barometer,KRAV,https://www.krav.se/om-oss/rapporter/kravs-ekobarometer/,downloads/se-krav-ekobarometer-2023-april.pdf,text/se-krav-ekobarometer-2023-april.txt,pdf,downloaded,pdftotext_ok,public_procurement_indicators_extracted,private_certifier_report,Contains 2022 municipal organic/KRAV public-procurement values sourced to Matilda Foodtech.
SE,KRAV Effektrapport page 2026 snapshot,certification_report_page,KRAV,https://www.krav.se/om-oss/rapporter/effektrapport/,downloads/se-krav-effektrapport-page-2026.html,text/se-krav-effektrapport-page-2026.txt,html,downloaded,html_text_ok,html_text_ok,supporting,HTML page retained as provenance for Effektrapport PDF family.
SE,KRAV Ekobarometer page 2026 snapshot,certification_report_page,KRAV,https://www.krav.se/om-oss/rapporter/kravs-ekobarometer/,downloads/se-krav-ekobarometer-page-2026.html,text/se-krav-ekobarometer-page-2026.txt,html,downloaded,html_text_ok,html_text_ok,supporting,HTML page retained as provenance for seven Ekobarometer reports.
SE,Ekomatcentrum Ekomatsligan 2024 page,public_procurement_report_page,Ekomatcentrum,https://ekomatcentrum.se/ekomatsligan-rapport2024/,downloads/se-ekomatcentrum-ekomatsligan-2024-page.html,text/se-ekomatcentrum-ekomatsligan-2024-page.txt,html,downloaded,html_text_ok,key_indicators_extracted,sector_public_meals_source,"2024 page reports 2023 public-sector organic purchase share 34.2%, SEK 4.3bn organic purchases and SEK 12.5bn total food spend."
SE,Ekomatcentrum Ekologiska Marknadsdagen 2024 page,sector_event_page,Ekomatcentrum,https://ekomatcentrum.se/ekologiska-marknadsdagen-2024/,downloads/se-ekomatcentrum-ekologiska-marknadsdagen-2024-page.html,text/se-ekomatcentrum-ekologiska-marknadsdagen-2024-page.txt,html,downloaded,html_text_ok,html_text_ok,supporting,Event page confirms launch context for Ekologiska Arsrapporten 2024 and public-sector narrative.
SE,Ekomatcentrum public-sector 2023 page,public_procurement_context_page,Ekomatcentrum,https://ekomatcentrum.se/ekologiska-marknadsdagen-2024-2/,downloads/se-ekomatcentrum-offentlig-sektor-2023-page.html,text/se-ekomatcentrum-offentlig-sektor-2023-page.txt,html,downloaded,html_text_ok,html_text_ok,supporting_context,Narrative page claims 39% by meal/volume context and 3.4 million public meals; do not mix with value-share rows.
SE,Ekomatcentrum Ekomatsligan 2025 page,event_page,Ekomatcentrum,https://ekomatcentrum.se/ekomatligan-2025/,downloads/se-ekomatcentrum-ekomatligan-2025-page.html,text/se-ekomatcentrum-ekomatligan-2025-page.txt,html,downloaded,html_text_ok,event_context_only,event_not_data_report,"Downloaded to check recency; page is an event/program page for September 2025, not a published statistics report."
SE,Ekomatcentrum national reports index 2026 snapshot,reports_index,Ekomatcentrum,https://ekomatcentrum.se/nationella-rapporter-statistik-marknadsrapporter/,downloads/se-ekomatcentrum-nationella-rapporter-statistik-marknadsrapporter-2026.html,text/se-ekomatcentrum-nationella-rapporter-statistik-marknadsrapporter-2026.txt,html,downloaded,html_text_ok,html_text_ok,reports_index,Index exposes historical EMC/Ekomatsligan PDF reports; latest embedded PDF found is EMC marknadsrapport 2023.
SE,Ekomatcentrum Kompletterande statistik till Ekologiska Arsrapporten 2024,public_procurement_companion_report,Ekomatcentrum,https://ekomatcentrum.se/ekologiska-marknadsdagen-2024-2/,downloads/se-ekomatcentrum-kompletterande-statistik-ekologiska-arsrapporten-2024.pdf,text/se-ekomatcentrum-kompletterande-statistik-ekologiska-arsrapporten-2024.txt,pdf,downloaded,pdftotext_ok,public_procurement_context_extracted,sector_public_meals_source,Companion PDF on Ekologiskt i offentlig sektor 2023; useful for Swedish-origin and foodservice/public meals context.
SE,Ekomatcentrum EMC marknadsrapport 2023,public_procurement_market_report,Ekomatcentrum,https://ekomatcentrum.se/wp-content/uploads/2023/05/EMC-marknadsrapport-2023-fardigstalld-1-2.pdf,downloads/se-ekomatcentrum-emc-marknadsrapport-2023.pdf,text/se-ekomatcentrum-emc-marknadsrapport-2023.txt,pdf,downloaded,pdftotext_ok,key_indicators_extracted,sector_public_meals_source,"Official EMC 2023 PDF for 2022 public-sector organic purchasing: 37% organic, 88% response rate, 260 complete municipality/region responses."
SE,Ekomatcentrum EMC marknadsrapport 2022,public_procurement_market_report,Ekomatcentrum,https://ekomatcentrum.se/wp-content/uploads/2022/05/Rapport-Marknadsrapport-EMC-2022-17-maj-2.pdf,downloads/se-ekomatcentrum-emc-marknadsrapport-2022.pdf,text/se-ekomatcentrum-emc-marknadsrapport-2022.txt,pdf,downloaded,pdftotext_ok,historical_context_extracted,sector_public_meals_source,"Official EMC 2022 PDF for 2021 public-sector organic purchasing: 38% organic, historical trend and goal context."
