country,year,domain,metric,value,unit,scope,source_file,source_ref,quality_flag,notes
FI,2024,area,organic_farmland_area,309487,ha,organic farmland,text/fi-proluomu-organics-in-finland.txt,line 41,sector_summary,Nearly same as previous year.
FI,2024,area,organic_farmland_share,13.9,percent,share of Finland farmland,text/fi-proluomu-organics-in-finland.txt,line 39,sector_summary,Sector summary value.
FI,2024,control,organic_farms,3995,farms,all organic farms,text/fi-proluomu-organics-in-finland.txt,line 49,sector_summary,About 10 percent of all farms; average organic farm 77.5 ha.
FI,2024,production,organic_cereal_production,143,million_kg,cereals,text/fi-proluomu-organics-in-finland.txt,line 41,sector_summary,4 percent of Finland total cereal harvest.
FI,2024,market,organic_grocery_sales_value,335,EUR_million,grocery stores,text/fi-proluomu-organics-in-finland.txt,line 35,sector_estimate,Pro Luomu estimate; down 5 percent from previous year.
FI,2024,market,organic_grocery_sales_share,1.8,percent,total grocery retail sales,text/fi-proluomu-organics-in-finland.txt,line 35,sector_estimate,Approximate.
FI,2024,public_kitchens,public_kitchens_using_organic_daily,63,percent,public kitchens survey,text/fi-proluomu-organics-in-finland.txt,line 27,survey_sector_summary,At least some organic product daily.
FI,2023-2024,public_kitchens,organic_school_milk_consumed,3.1,million_litres,daycare centres and schools,text/fi-proluomu-organics-in-finland.txt,line 29,sector_summary_uses_food_authority_stats,Organic milk share of subsidized school milk was 28 percent.
FI,2024,control,certified_organic_operators,5398,operators,all certified organic production operators,text/fi-ruokavirasto-luomuvalvonta-2024.txt,section 1 Yleisarvio and table 2,official_control,Includes 3986 primary producers and 585 certified retail shops.
FI,2024,control,organic_primary_producers,3986,operators,primary producers,text/fi-ruokavirasto-luomuvalvonta-2024.txt,section 1 Yleisarvio,official_control,"End-year primary production detail in section 2.1 says 3980 actors, 3917 farms."
FI,2024,control,certified_operator_compliance,99,percent,all certified operators,text/fi-ruokavirasto-luomuvalvonta-2024.txt,line 147,official_control,Text says over 99 percent complied with production conditions.
IS,2023,control,certified_organic_operators,55,operators,organic operators,text/is-esa-official-controls-2023.txt,lines 284-287,official_control_esa,All registered operators received a control visit in 2023; sampling target was not met.
IS,2023,control_system,competent_authority,MAST,organization,organic production and import controls,text/is-esa-country-profile-iceland-2023.txt,lines 1805-1816,official_profile_esa,MAST is competent authority; import controls rest with MAST.
IS,2023,control_system,delegated_control_body,Vottunarstofan Tun,organization,official controls of organic operators,text/is-esa-country-profile-iceland-2023.txt,lines 1805-1810,official_profile_esa,ESA official-controls report uses Vottunarstofan Tun spelling.
Nordic,2026,method,fibl_area_definition,certified_plus_under_conversion,definition,FiBL survey,text/nordic-fibl-ifoam-organic-world-2026.txt,annex About the FiBL Survey,benchmark_method_caveat,FiBL area includes fully converted and under-conversion land; national shares may differ from ministry/local expert shares.
Nordic,2026,method,fibl_market_comparability,limited_cross_country_comparability,caveat,retail sales and trade statistics,text/nordic-fibl-ifoam-organic-world-2026.txt,annex About the FiBL Survey,benchmark_method_caveat,Retail and trade comparisons are problematic because data collection methods and exchange rates differ.
NO,2025,market,organic_non_grocery_sales_growth,13.9,percent,non-grocery channels followed by Landbruksdirektoratet,text/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.txt,lines 143-145 and 2440-2446,authority_report_pdf,"Includes foodservice, Bondens marked, bakeries/cafe outlets and specialty shops."
NO,2025,market,organic_grocery_market_share_approx,2,percent,grocery retail,text/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.txt,lines 2434-2441,authority_report_pdf,Report states organic share of grocery market is stable around 2 percent.
NO,2025,production,organic_milk_utilization_rate,80,percent,share of delivered organic milk resold as organic milk,text/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.txt,lines 113-118,authority_report_pdf,Report says there was not enough organic milk to meet demand.
NO,2025,production,organic_four_legged_meat_utilization_rate,41,percent,reported organic meat production from four-legged animals,text/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.txt,lines 119-124,authority_report_pdf,Share used/sold as organic from reported production.
NO,2025,production,organic_egg_utilization_rate,88,percent,organic egg sales/utilization,text/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.txt,lines 125-127,authority_report_pdf,Report says utilization was close to 88 percent.
NO,2025,control,organic_grain_producers,402,enterprises,enterprises with organic grain production,text/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.txt,lines 261-266,authority_report_pdf,Down from 412 in 2024.
NO,2032,policy,organic_agricultural_area_target,10,percent,share of agricultural area under organic production,text/no-landbruksdirektoratet-okologiske-jordbruksvarer-2025.txt,lines 261-263,authority_report_pdf,"Revised Norwegian organic farming strategy 2025-2032 target, launched April 2025."
IS,2012,area,organic_share_uaa_eea_historical,0.49,percent,share of total utilised agricultural area converted or under conversion to organic farming,text/is-eea-area-under-organic-farming-2025.txt,EEA embedded Iceland trend chart / temporal coverage 2012-2020,eea_indicator_historical,"EEA page published 2025; source-specific historical share series, not a current Iceland area register."
IS,2013,area,organic_share_uaa_eea_historical,0.95,percent,share of total utilised agricultural area converted or under conversion to organic farming,text/is-eea-area-under-organic-farming-2025.txt,EEA embedded Iceland trend chart / temporal coverage 2012-2020,eea_indicator_historical,"EEA page published 2025; source-specific historical share series, not a current Iceland area register."
IS,2014,area,organic_share_uaa_eea_historical,1.41,percent,share of total utilised agricultural area converted or under conversion to organic farming,text/is-eea-area-under-organic-farming-2025.txt,EEA embedded Iceland trend chart / temporal coverage 2012-2020,eea_indicator_historical,"EEA page published 2025; source-specific historical share series, not a current Iceland area register."
IS,2015,area,organic_share_uaa_eea_historical,0.925,percent,share of total utilised agricultural area converted or under conversion to organic farming,text/is-eea-area-under-organic-farming-2025.txt,EEA embedded Iceland trend chart / temporal coverage 2012-2020,eea_indicator_historical,"EEA page published 2025; source-specific historical share series, not a current Iceland area register."
IS,2016,area,organic_share_uaa_eea_historical,0.44,percent,share of total utilised agricultural area converted or under conversion to organic farming,text/is-eea-area-under-organic-farming-2025.txt,EEA embedded Iceland trend chart / temporal coverage 2012-2020,eea_indicator_historical,"EEA page published 2025; source-specific historical share series, not a current Iceland area register."
IS,2017,area,organic_share_uaa_eea_historical,0.405,percent,share of total utilised agricultural area converted or under conversion to organic farming,text/is-eea-area-under-organic-farming-2025.txt,EEA embedded Iceland trend chart / temporal coverage 2012-2020,eea_indicator_historical,"EEA page published 2025; source-specific historical share series, not a current Iceland area register."
IS,2018,area,organic_share_uaa_eea_historical,0.37,percent,share of total utilised agricultural area converted or under conversion to organic farming,text/is-eea-area-under-organic-farming-2025.txt,EEA embedded Iceland trend chart / temporal coverage 2012-2020,eea_indicator_historical,"EEA page published 2025; source-specific historical share series, not a current Iceland area register."
IS,2019,area,organic_share_uaa_eea_historical,0.37,percent,share of total utilised agricultural area converted or under conversion to organic farming,text/is-eea-area-under-organic-farming-2025.txt,EEA embedded Iceland trend chart / temporal coverage 2012-2020,eea_indicator_historical,"EEA page published 2025; source-specific historical share series, not a current Iceland area register."
IS,2020,area,organic_share_uaa_eea_historical,0.32,percent,share of total utilised agricultural area converted or under conversion to organic farming,text/is-eea-area-under-organic-farming-2025.txt,EEA embedded Iceland trend chart / temporal coverage 2012-2020,eea_indicator_historical,"EEA page published 2025; source-specific historical share series, not a current Iceland area register."
IS,2026,control,issued_organic_operator_certificates,59,certificates,current Iceland records with status ISSUED,downloads/is-traces-organic-operator-issued-2026.json,documentFoundCount header and JSON length,traces_public_api_current,"TRACES NT public organic-operator API retrieved 2026-04-29; certificate records are current API status, not year-end agricultural-area statistics."
IS,2026,control,unique_issued_organic_operator_names,59,operator_names,unique operator names in current ISSUED records,downloads/is-traces-organic-operator-issued-2026.json,operator.name unique count,traces_public_api_current,"TRACES NT public organic-operator API retrieved 2026-04-29; certificate records are current API status, not year-end agricultural-area statistics."
IS,2026,control,total_public_organic_operator_certificate_records,75,certificate_records,ISSUED/SUSPENDED/WITHDRAWN/EXPIRED public Iceland records,downloads/is-traces-organic-operator-public-statuses-2026.json,documentFoundCount header and JSON length,traces_public_api_current,"TRACES NT public organic-operator API retrieved 2026-04-29; certificate records are current API status, not year-end agricultural-area statistics."
IS,2026,control,withdrawn_organic_operator_certificate_records,12,certificate_records,current public Iceland records with status WITHDRAWN,downloads/is-traces-organic-operator-public-statuses-2026.json,status.id count,traces_public_api_current,"TRACES NT public organic-operator API retrieved 2026-04-29; certificate records are current API status, not year-end agricultural-area statistics."
IS,2026,control,expired_organic_operator_certificate_records,4,certificate_records,current public Iceland records with status EXPIRED,downloads/is-traces-organic-operator-public-statuses-2026.json,status.id count,traces_public_api_current,"TRACES NT public organic-operator API retrieved 2026-04-29; certificate records are current API status, not year-end agricultural-area statistics."
IS,2024,control_system,tun_register_traces_path,TRACES_NT,source_path,Tún certified organic operators register,text/is-tun-vottunarskra-2026.txt,Tún page on certified parties and TRACES NT,control_body_direct_source_path,Tún states the year-end 2024 certified list is available through TRACES NT and explains activities/product categories.
IS,2040,policy,organic_agricultural_area_target,10,percent,share of Iceland agricultural area certified organic or under conversion,text/is-government-organic-action-plan-2024.txt,"Efling lifraennar matvaelaframleidslu, pages with 10% by 2040 target",government_policy_action_plan,"August 2024 action plan target; policy target, not observed outcome."
IS,2024,data_gap,organic_market_data_collection_gap,planned_annual_aggregation,status,market share/import/producer reporting,text/is-government-organic-action-plan-2024.txt,section 4.1 Aukin gagnasofnun,government_policy_action_plan,Action plan states organic import/market data have been hard to follow and proposes annual aggregated publication with Tún and MAST.
IS,2026,source_gap,hagstofa_agriculture_pxweb_tables_checked,26,tables,Statistics Iceland agriculture PxWeb catalog,exports/is_hagstofa_agriculture_pxweb_catalog_2026-04-29.csv,PxWeb recursive catalog crawl 2026-04-29,metadata_gap_check,"No table title, variable or value text contained organic/lifraent/vott/certif terms."
IS,2026,actor_map,lifraent_island_map_entries,23,entries,Lifraent Island embedded producer/actor map,exports/is_lifraent_island_map_entries_2026-04-29.csv,homepage embedded iMapsData extraction,sector_actor_source,"Homepage producer map is useful actor context, not an official operator count or area/market statistic."
SE,2024,krav_private_label,krav_certified_farmers,2762,farms,KRAV-certified farmers,text/se-krav-ekobarometer-2025-april.txt,lines 331-336,private_certifier_report,KRAV-specific private label count; do not merge with official Jordbruksverket organic enterprises.
SE,2024,krav_private_label,krav_certified_agricultural_land,375652,ha,KRAV-certified agricultural land,text/se-krav-ekobarometer-2025-april.txt,lines 281-291,private_certifier_report,KRAV-specific land: arable 292198 ha plus pasture 83454 ha.
SE,2024,krav_private_label,krav_food_processors,649,operators,KRAV-certified food processors,text/se-krav-ekobarometer-2025-april.txt,lines 331-340,private_certifier_report,Private certification scope.
SE,2024,krav_private_label,krav_total_restaurants,627,operators,KRAV-certified restaurants total,text/se-krav-ekobarometer-2025-april.txt,lines 331-343,private_certifier_report,Private certification scope across restaurants/cafes/conference/school-care.
SE,2024,krav_private_label,krav_registered_articles,8012,articles,registered articles in Mitt KRAV,text/se-krav-ekobarometer-2025-april.txt,lines 331-348,private_certifier_report,Private label product/article count.
SE,2024,krav_private_label,krav_consumer_awareness,98.3,percent,share aware of KRAV,text/se-krav-ekobarometer-2025-april.txt,lines 35-38 and 364-369,private_certifier_report,Kantar Sifo-based awareness claim reported by KRAV.
SE,2022,public_procurement,municipal_organic_purchase_share,35.7,percent,Swedish municipal food purchases,text/se-krav-ekobarometer-2023-april.txt,lines 140-166,private_certifier_matilda_foodtech,"KRAV reports Matilda Foodtech figure; scope is municipalities, not all public sector."
SE,2022,public_procurement,municipal_krav_purchase_share,19.6,percent,Swedish municipal food purchases,text/se-krav-ekobarometer-2023-april.txt,lines 140-166,private_certifier_matilda_foodtech,"KRAV share of municipal purchases, from Matilda Foodtech according to KRAV."
SE,2022,public_procurement,public_sector_organic_purchase_share,37,percent,municipalities and regions / public-sector food purchases,text/se-ekomatcentrum-emc-marknadsrapport-2023.txt,lines 49-54 and 76-85,sector_public_meals_source,EMC 2023 reports public-sector organic purchase share fell from 38% to 37% in 2022.
SE,2022,public_procurement,public_bodies_30_percent_or_more,120,organizations,municipalities and regions at 30% organic or more,text/se-ekomatcentrum-emc-marknadsrapport-2023.txt,lines 84-85,sector_public_meals_source,105 municipalities plus 15 regions reached 30% or more.
SE,2023,public_procurement,public_sector_organic_purchase_share,34.2,percent,public-sector food purchases,text/se-ekomatcentrum-ekomatsligan-2024-page.txt,lines 121-129,sector_public_meals_source,Ekomatsligan 2024 page reports 2023 organic share fell by 2.8 percentage points from previous year.
SE,2023,public_procurement,public_sector_organic_purchase_value,4.3,SEK_billion,public-sector organic food purchases,text/se-ekomatcentrum-ekomatsligan-2024-page.txt,lines 121-129,sector_public_meals_source,Organic purchases out of SEK 12.5bn total public-sector food spend.
SE,2023,public_procurement,public_sector_total_food_spend,12.5,SEK_billion,public-sector food purchases,text/se-ekomatcentrum-ekomatsligan-2024-page.txt,lines 121-129,sector_public_meals_source,Denominator for the 2023 organic public-sector purchasing value.
SE,2023,public_procurement,public_bodies_with_organic_percent_target,64.5,percent,surveyed municipalities and regions,text/se-ekomatcentrum-ekomatsligan-2024-page.txt,lines 152-159,sector_public_meals_source,Ekomatsligan page reports a majority had explicit organic purchasing percentage targets.
SE,2023,public_procurement,public_bodies_30_percent_or_more,100,organizations,municipalities and regions at 30% organic or more,text/se-ekomatcentrum-ekomatsligan-2024-page.txt,lines 154-159,sector_public_meals_source,86 municipalities and 14 regions reached 30% or more; down 19 municipalities and one region.
SE,2023,public_procurement,preschool_organic_meal_share,48,percent,preschools public meals,text/se-ekomatcentrum-ekomatsligan-2024-page.txt,lines 169-177,sector_public_meals_source,Institution-specific share; not directly comparable with purchase-value shares.
SE,2023,public_procurement,primary_school_organic_meal_share,42,percent,primary schools public meals,text/se-ekomatcentrum-ekomatsligan-2024-page.txt,lines 169-177,sector_public_meals_source,Institution-specific share; not directly comparable with purchase-value shares.
SE,2023,public_procurement,elder_care_organic_meal_share,29,percent,elder care public meals,text/se-ekomatcentrum-ekomatsligan-2024-page.txt,lines 169-177,sector_public_meals_source,Institution-specific share; not directly comparable with purchase-value shares.
SE,2025,source_check,ekomatligan_2025_page_type,event_page,status,Ekomatligan 2025,text/se-ekomatcentrum-ekomatligan-2025-page.txt,lines 119-144,event_page_not_data_report,Page is a September 2025 event/program page; no published 2024/2025 statistic extracted from it.
