source_path,final_title,final_year,final_url,authors,institution,synthesis,notes
Food Research Process 20.04.26/07_Academic_Research_And_Theses/MASTER-EMILIAEPOSITO-.pdf,Nar matsvinn blir et politikkomrade: Et casestudie av Norges tilnaerming til matsvinnproblematikken,2022,https://hdl.handle.net/11250/3010552,Emilia Alnaes Esposito,Universitetet i Bergen,"Dokumentanalyse av hvordan matsvinn gikk fra marginalt tema til etablert norsk politikkomrade. Fremhever polysentrisk styring der stat, naeringsliv og sivilsamfunn deler ansvar gjennom overlappende nettverk og avtaler.",
Food Research Process 20.04.26/07_Academic_Research_And_Theses/Master's Thesis Peppi Segersven.pdf,Development of risk management and resilience of supply chains in Finnish food industry companies post-COVID-19,2024,https://urn.fi/URN:NBN:fi-fe2024043024001,Peppi Segersven,Lappeenranta-Lahti University of Technology LUT,"Intervjuer med fem finske matindustribedrifter viser at pandemien loftet supply chain risk management til et mer strategisk niva. Leverandorsamarbeid, multi-sourcing, synlighet og rask beredskap trekkes fram som de viktigste post-COVID grepene.",
Food Research Process 20.04.26/07_Academic_Research_And_Theses/Master's Thesis_Mäkelä_Mika.pdf,Managing waste in food supply chains with supply chain collaboration and integration,2023,https://urn.fi/URN:NBN:fi-fe2023052245722,Mika Makela,Lappeenranta-Lahti University of Technology LUT,"Kvalitativ fler-case-studie av seks finske matbedrifter om hvordan leverandor-detaljist-samarbeid kan redusere matsvinn. Konkluderer med at samarbeid og integrasjon hjelper, men at effekten avhenger av koordinering pa tvers av hele kjeden.",
Food Research Process 20.04.26/07_Academic_Research_And_Theses/masteroppgave__mats_b._simonsen.pdf,Digitaliseringen av norsk dagligvarehandel: En kvalitativ studie av visjonsarbeid brukerforstaelser og dets implikasjoner pa innovative prosesser,2017,https://hdl.handle.net/11250/2456020,Mats Baltscheffskij Simonsen,Norges teknisk-naturvitenskapelige universitet (NTNU),"STS-orientert kvalitativ studie av hvordan norsk dagligvare digitaliseres gjennom aktorer som SPAR, Meny, Bunnpris og Kolonial.no. Skiller mellom konservative, radikale og hybride losninger og viser at brukerforstaelser og tekniske justeringer former hvilke modeller som overlever.",
Food Research Process 20.04.26/07_Academic_Research_And_Theses/Paola_Federica_Albizzati_thesis.pdf,Sustainability Assessment of Food Waste Management,2021,https://orbit.dtu.dk/en/publications/sustainability-assessment-of-food-waste-management,Paola Federica Albizzati,Technical University of Denmark (DTU),"PhD-avhandling som vurderer 21 matsvinnsveier med livslops- og baerekraftsanalyse. Viser at forebygging er klart best, og at redistribusjon og dyrefor normalt kommer bedre ut enn energiutnyttelse, forbrenning og deponi.",
Food Research Process 20.04.26/07_Academic_Research_And_Theses/pdf  MARK STEIN  PhD  24  OCT  22.pdf,Sustainable Food Procurement in Public Catering - comparison of the UK with Denmark & Sweden,2022,https://salford-repository.worktribe.com/output/1322952/sustainable-food-procurement-in-public-catering-comparison-of-the-uk-with-denmark-sweden,Mark Stein,"University of Salford, Salford Business School","Compares sustainable public food procurement in the UK, Denmark, and Sweden. Finds Denmark and Sweden are markedly ahead on organic procurement and wider sustainability practices, and proposes a comparative framework for analysing public-sector food procurement.",
Food Research Process 20.04.26/07_Academic_Research_And_Theses/PhD_Thesis_Nina_N_rgaard_S_rensen_print_final.pdf,Organic food conversion in Danish public kitchens: The effects of the Danish Organic Action Plan 2020 on organic public procurement and wellbeing at work,2016,https://orbit.dtu.dk/en/publications/organic-food-conversion-in-danish-public-kitchens-the-effects-of-/,Nina Norgaard Sorensen,"Technical University of Denmark, National Food Institute","Evaluates how Denmark's Organic Action Plan 2020 affected public kitchens' organic procurement and staff wellbeing. The thesis finds substantial increases in organic purchasing without deterioration in work conditions, with many kitchen workers reporting higher motivation.",
Food Research Process 20.04.26/07_Academic_Research_And_Theses/Susanne_Helen_Gangstøe_Masteroppgave.pdf,Hemmelige kontrakter i dagligvaremarkedet,2019,https://hdl.handle.net/1956/20622,Susanne Helen Gangstoe,"University of Bergen, Department of Economics","Examines how observable versus secret wholesale contracts affect retail pricing in grocery markets. It shows the welfare effect depends on contract form: secret two-part tariffs can lower retail prices, while transparency is preferable for consumers under linear contracts.",
Food Research Process 20.04.26/07_Academic_Research_And_Theses/thesis_food_ng_meile_uniform_pricing_public_version.pdf,Uniform Pricing in Norwegian Grocery Retail: An Empirical Study on Pricing Strategies at Norwegian Grocery Retail Chains,2020,https://www.nhh.no/contentassets/4c75bee2502f412fad66c9ad9ab96154/thesis_food_ng_meile_uniform_pricing_public_version.pdf,Nathanael Georg Meile,NHH Norwegian School of Economics,"Uses NorgesGruppen store sales data from 2013 to 2018 to test whether pricing is national, zonal, or store-specific. It finds uniform pricing is the main pattern with chain-level deviations, while store-level optimisation models indicate unrealised profit potential from more differentiated pricing.",
Food Research Process 20.04.26/08_Food_Security_Agriculture_And_Seafood/Matsikkerhet-i-Norge-forsyningsberedskap-masteroppgave-2016.pdf,Matsikkerhet i Norge - er forsyningsberedskapen tilstrekkelig?,2016,https://hdl.handle.net/10037/10932,Terese Steien,"UiT The Arctic University of Norway, Faculty of Science and Technology","Conducts a Norwegian food-security risk and vulnerability analysis focused on crisis preparedness. It finds declining domestic production, rising import dependence, and weak municipal contingency planning, and concludes that food supply preparedness is insufficient.",
