source_path,import_file_path,source_top_folder,filename,current_title,analysis_title,analysis_title_source,remediation_suggested_title,proposed_doc_type,typed_layer_candidate,recommended_target,confidence,reason,primary_signals,caution_flags,score_source_doc,score_report,score_thesis,review_status,action,notes
Food Research Process 20.04.26/04_Food_Waste_And_Circularity/rapport-fra-matsvinnutvalget-anbefalinger-til-helhetlige-tiltak-og-virkemidler-31.12.23.pdf,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/54a1846535-rapport-fra-matsvinnutvalget-anbefalinger-til-helhetlige-tiltak-og-virkemidler-31-12-23.pdf,04_Food_Waste_And_Circularity,rapport-fra-matsvinnutvalget-anbefalinger-til-helhetlige-tiltak-og-virkemidler-31.12.23.pdf,rapport fra matsvinnutvalget anbefalinger til helhetlige tiltak og virkemidler 31 12 23,rapport fra matsvinnutvalget anbefalinger til helhetlige tiltak og virkemidler 31 12 23,import_summary,,report,report-or-source,Report,low,Report-oriented signals lead this recommendation: title/filename uses rapport language; review metadata proposed doc_type=report; review metadata typed_layer_candidate=report-or-source.,title/filename uses rapport language | review metadata proposed doc_type=report | review metadata typed_layer_candidate=report-or-source,,1,7,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Resource-Recovery-surplus-bread-thesis.pdf,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/49a5e899db-resource-recovery-surplus-bread-thesis.pdf,04_Food_Waste_And_Circularity,Resource-Recovery-surplus-bread-thesis.pdf,Prevention and valorisation of surplus bread at the supplier–retailer interface,Prevention and valorisation of surplus bread at the supplier–retailer interface,import_summary,,report,report-or-source,Thesis,low,Explicit thesis signals lead this recommendation: title/filename mentions thesis.,title/filename mentions thesis,,1,3,6,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Response of food waste anaerobic digestion to the dimensions of micron-biochar under 30 g VS_L organic loading rate_ Focus on gas production and microbial community structure - ScienceDirect.pdf,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/523403f117-response-of-food-waste-anaerobic-digestion-to-the-dimensions-of-micron-biochar-under-30-g-vs-l-organic-loading-rate-focus-on-gas-production-and-microbial-community-structure-sciencedirect.pdf,04_Food_Waste_And_Circularity,Response of food waste anaerobic digestion to the dimensions of micron-biochar under 30 g VS_L organic loading rate_ Focus on gas production and microbial community structure - ScienceDirect.pdf,Response of food waste anaerobic digestion to the dimensions of micron-biochar under 30 g VS/L organic loading rate: Focus on gas production and microbial community structure - ScienceDirect,Response of food waste anaerobic digestion to the dimensions of micron-biochar under 30 g VS/L organic loading rate: Focus on gas production and microbial community structure - ScienceDirect,import_summary,,report,report-or-source,SourceDoc,high,Source-material signals lead this recommendation: title/filename references ScienceDirect; title is formatted like a web or page capture; review metadata typed_layer_candidate=report-or-source.,title/filename references ScienceDirect | title is formatted like a web or page capture | review metadata typed_layer_candidate=report-or-source,,15,3,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Revised Waste Framework Directive enters into force - Environment.pdf,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/39bb397c35-revised-waste-framework-directive-enters-into-force-environment.pdf,04_Food_Waste_And_Circularity,Revised Waste Framework Directive enters into force - Environment.pdf,Revised Waste Framework Directive enters into force - Environment,Revised Waste Framework Directive enters into force - Environment,import_summary,,report,report-or-source,SourceDoc,medium,Source-material signals lead this recommendation: title is formatted like a web or page capture; review metadata typed_layer_candidate=report-or-source.,title is formatted like a web or page capture | review metadata typed_layer_candidate=report-or-source,,5,3,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Vi har et enormt skjult matsvinn _ Framtiden i våre hender.pdf,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/0cc262717a-vi-har-et-enormt-skjult-matsvinn-framtiden-i-vare-hender.pdf,04_Food_Waste_And_Circularity,Vi har et enormt skjult matsvinn _ Framtiden i våre hender.pdf,Vi har et enormt skjult matsvinn | Framtiden i våre hender,Vi har et enormt skjult matsvinn | Framtiden i våre hender,import_summary,,report,report-or-source,SourceDoc,medium,Source-material signals lead this recommendation: title is formatted like a web or page capture; review metadata typed_layer_candidate=report-or-source.,title is formatted like a web or page capture | review metadata typed_layer_candidate=report-or-source,,5,3,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/04_Food_Waste_And_Circularity/Zero waste solutions in hospitality  technology alignment and agile management practices for responsible consumption and production of food.pdf,incoming/food-research-process-2026-04-20/04-food-waste-and-circularity/7977a8583e-zero-waste-solutions-in-hospitality-technology-alignment-and-agile-management-practices-for-responsible-consumption-and-production-of-food.pdf,04_Food_Waste_And_Circularity,Zero waste solutions in hospitality  technology alignment and agile management practices for responsible consumption and production of food.pdf,Zero waste solutions in hospitality: technology alignment and agile management practices for respons,Zero waste solutions in hospitality: technology alignment and agile management practices for respons,import_summary,Zero waste solutions in hospitality technology alignment and agile management practices for responsible consumption and production of food,report,report-or-source,Manual review,low,"Signals are weak or mixed across SourceDoc, Report, and Thesis. Review manually before promoting into a typed layer.",,title-remediation weak-title flags: truncated_source_title | unapplied title-remediation suggestion exists but was not used for classification,1,3,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/2023-Danish-Action-Plan-for-Plant-based-Foods.pdf,incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/b3c4abd386-2023-danish-action-plan-for-plant-based-foods.pdf,05_Foodtech_Alt_Protein_And_Innovation,2023-Danish-Action-Plan-for-Plant-based-Foods.pdf,2023 Danish Action Plan for Plant based Foods,2023 Danish Action Plan for Plant based Foods,import_summary,,report,report-or-source,Report,low,Report-oriented signals lead this recommendation: title/filename uses action plan language; review metadata proposed doc_type=report; review metadata typed_layer_candidate=report-or-source.,title/filename uses action plan language | review metadata proposed doc_type=report | review metadata typed_layer_candidate=report-or-source,,1,7,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/Agrifoodtech funding is flat. The real story is where it isn't_.pdf,incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/6d3115f8f6-agrifoodtech-funding-is-flat-the-real-story-is-where-it-isn-t.pdf,05_Foodtech_Alt_Protein_And_Innovation,Agrifoodtech funding is flat. The real story is where it isn't_.pdf,Agrifoodtech funding is flat. The real story is where it isn't.,Agrifoodtech funding is flat. The real story is where it isn't.,import_summary,,report,report-or-source,Report,low,Report-oriented signals lead this recommendation: review metadata proposed doc_type=report; review metadata typed_layer_candidate=report-or-source.,review metadata proposed doc_type=report | review metadata typed_layer_candidate=report-or-source,,1,3,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/approval insect novel food - Food Safety - European Commission.pdf,incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/8831ac4193-approval-insect-novel-food-food-safety-european-commission.pdf,05_Foodtech_Alt_Protein_And_Innovation,approval insect novel food - Food Safety - European Commission.pdf,approval insect novel food - Food Safety - European Commission,approval insect novel food - Food Safety - European Commission,import_summary,,report,report-or-source,SourceDoc,high,Source-material signals lead this recommendation: title/filename references the European Commission; title is formatted like a web or page capture; review metadata typed_layer_candidate=report-or-source.,title/filename references the European Commission | title is formatted like a web or page capture | review metadata typed_layer_candidate=report-or-source,,15,3,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/BioMar _ Powered by Partnership. Driven by Innovation_.pdf,incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/095360a751-biomar-powered-by-partnership-driven-by-innovation.pdf,05_Foodtech_Alt_Protein_And_Innovation,BioMar _ Powered by Partnership. Driven by Innovation_.pdf,BioMar | Powered by Partnership. Driven by Innovation.,BioMar | Powered by Partnership. Driven by Innovation.,import_summary,,report,report-or-source,SourceDoc,medium,Source-material signals lead this recommendation: title is formatted like a web or page capture; review metadata typed_layer_candidate=report-or-source.,title is formatted like a web or page capture | review metadata typed_layer_candidate=report-or-source,,5,3,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/Danish insect ag firm ENORM declared bankrupt.pdf,incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/ec96af6ae7-danish-insect-ag-firm-enorm-declared-bankrupt.pdf,05_Foodtech_Alt_Protein_And_Innovation,Danish insect ag firm ENORM declared bankrupt.pdf,Danish insect ag firm ENORM declared bankrupt,Danish insect ag firm ENORM declared bankrupt,import_summary,,report,report-or-source,SourceDoc,medium,Source-material signals lead this recommendation: title/filename uses bankruptcy news language; title/filename uses declared news language; review metadata typed_layer_candidate=report-or-source.,title/filename uses bankruptcy news language | title/filename uses declared news language | review metadata typed_layer_candidate=report-or-source,,11,3,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
"Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/DUG Foodtech Declared Bankrupt, Assets Now Open for Acquisition - vegconomist - the vegan business magazine.pdf",incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/cf6f2af13e-dug-foodtech-declared-bankrupt-assets-now-open-for-acquisition-vegconomist-the-vegan-business-magazine.pdf,05_Foodtech_Alt_Protein_And_Innovation,"DUG Foodtech Declared Bankrupt, Assets Now Open for Acquisition - vegconomist - the vegan business magazine.pdf","DUG Foodtech Declared Bankrupt, Assets Now Open for Acquisition - vegconomist - the vegan business magazine","DUG Foodtech Declared Bankrupt, Assets Now Open for Acquisition - vegconomist - the vegan business magazine",import_summary,,report,report-or-source,SourceDoc,high,Source-material signals lead this recommendation: title/filename references vegconomist; title/filename uses magazine language; title/filename uses acquisition language.,title/filename references vegconomist | title/filename uses magazine language | title/filename uses acquisition language | title/filename uses bankruptcy news language | title/filename uses declared news language | title is formatted like a web or page capture | review metadata typed_layer_candidate=report-or-source,,37,3,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/Enifer - Ingredients for a sustainable food chain.pdf,incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/e1477dd45a-enifer-ingredients-for-a-sustainable-food-chain.pdf,05_Foodtech_Alt_Protein_And_Innovation,Enifer - Ingredients for a sustainable food chain.pdf,Enifer - Ingredients for a sustainable food chain,Enifer - Ingredients for a sustainable food chain,import_summary,,report,report-or-source,SourceDoc,medium,Source-material signals lead this recommendation: title is formatted like a web or page capture; review metadata typed_layer_candidate=report-or-source.,title is formatted like a web or page capture | review metadata typed_layer_candidate=report-or-source,,5,3,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/Enorm - larvae for green development of the agricultural and food industry.pdf,incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/73959f8202-enorm-larvae-for-green-development-of-the-agricultural-and-food-industry.pdf,05_Foodtech_Alt_Protein_And_Innovation,Enorm - larvae for green development of the agricultural and food industry.pdf,Enorm - larvae for green development of the agricultural and food industry,Enorm - larvae for green development of the agricultural and food industry,import_summary,,report,report-or-source,SourceDoc,medium,Source-material signals lead this recommendation: title is formatted like a web or page capture; review metadata typed_layer_candidate=report-or-source.,title is formatted like a web or page capture | review metadata typed_layer_candidate=report-or-source,,5,3,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
"Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/Five reasons why vertical farming is still the future, despite all the recent business failures.pdf",incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/23359212ae-five-reasons-why-vertical-farming-is-still-the-future-despite-all-the-recent-business-failures.pdf,05_Foodtech_Alt_Protein_And_Innovation,"Five reasons why vertical farming is still the future, despite all the recent business failures.pdf","Five reasons why vertical farming is still the future, despite all the recent business failures","Five reasons why vertical farming is still the future, despite all the recent business failures",import_summary,,report,report-or-source,SourceDoc,medium,Source-material signals lead this recommendation: title/filename reads like article-style commentary; review metadata typed_layer_candidate=report-or-source.,title/filename reads like article-style commentary | review metadata typed_layer_candidate=report-or-source,,6,3,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/Foodrise_ Rising up for fair and resilient food systems.pdf,incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/1280935094-foodrise-rising-up-for-fair-and-resilient-food-systems.pdf,05_Foodtech_Alt_Protein_And_Innovation,Foodrise_ Rising up for fair and resilient food systems.pdf,Foodrise: Rising up for fair and resilient food systems,Foodrise: Rising up for fair and resilient food systems,import_summary,,report,report-or-source,Report,low,Report-oriented signals lead this recommendation: review metadata proposed doc_type=report; review metadata typed_layer_candidate=report-or-source.,review metadata proposed doc_type=report | review metadata typed_layer_candidate=report-or-source,,1,3,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/French insect protein producer Ÿnsect enters judicial liquidation _ PetfoodIndustry.pdf,incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/4181e010b6-french-insect-protein-producer-ynsect-enters-judicial-liquidation-petfoodindustry.pdf,05_Foodtech_Alt_Protein_And_Innovation,French insect protein producer Ÿnsect enters judicial liquidation _ PetfoodIndustry.pdf,French insect protein producer Ÿnsect enters judicial liquidation | PetfoodIndustry,French insect protein producer Ÿnsect enters judicial liquidation | PetfoodIndustry,import_summary,,report,report-or-source,SourceDoc,high,Source-material signals lead this recommendation: title/filename references PetfoodIndustry; title/filename uses liquidation language; title is formatted like a web or page capture.,title/filename references PetfoodIndustry | title/filename uses liquidation language | title is formatted like a web or page capture | review metadata typed_layer_candidate=report-or-source,,20,3,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/Hailia - Enabling the Blue Food Revolution.pdf,incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/8fda4db5c8-hailia-enabling-the-blue-food-revolution.pdf,05_Foodtech_Alt_Protein_And_Innovation,Hailia - Enabling the Blue Food Revolution.pdf,Hailia - Enabling the Blue Food Revolution,Hailia - Enabling the Blue Food Revolution,import_summary,,report,report-or-source,SourceDoc,medium,Source-material signals lead this recommendation: title is formatted like a web or page capture; review metadata typed_layer_candidate=report-or-source.,title is formatted like a web or page capture | review metadata typed_layer_candidate=report-or-source,,5,3,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
"Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/Hooked Foods - Enkelt, Gott & Näringsrikt. 100% Veganskt såklart, för allas bästa!.pdf",incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/a3cb60c976-hooked-foods-enkelt-gott-naringsrikt-100-veganskt-saklart-for-allas-basta.pdf,05_Foodtech_Alt_Protein_And_Innovation,"Hooked Foods - Enkelt, Gott & Näringsrikt. 100% Veganskt såklart, för allas bästa!.pdf","Hooked Foods - Enkelt, Gott & Näringsrikt. 100% Veganskt såklart, för allas bästa!","Hooked Foods - Enkelt, Gott & Näringsrikt. 100% Veganskt såklart, för allas bästa!",import_summary,,report,report-or-source,SourceDoc,medium,Source-material signals lead this recommendation: title is formatted like a web or page capture; title punctuation reads like article or web-copy language; review metadata typed_layer_candidate=report-or-source.,title is formatted like a web or page capture | title punctuation reads like article or web-copy language | review metadata typed_layer_candidate=report-or-source,,8,3,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/Hooked Foods files for bankruptcy after seven-year push to crack plant-based seafood _ PPTI News.pdf,incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/9f669f688d-hooked-foods-files-for-bankruptcy-after-seven-year-push-to-crack-plant-based-seafood-ppti-news.pdf,05_Foodtech_Alt_Protein_And_Innovation,Hooked Foods files for bankruptcy after seven-year push to crack plant-based seafood _ PPTI News.pdf,Hooked Foods files for bankruptcy after seven-year push to crack plant-based seafood | PPTI News,Hooked Foods files for bankruptcy after seven-year push to crack plant-based seafood | PPTI News,import_summary,,report,report-or-source,SourceDoc,high,Source-material signals lead this recommendation: title/filename references PPTI News; title/filename uses news language; title/filename uses bankruptcy filing language.,title/filename references PPTI News | title/filename uses news language | title/filename uses bankruptcy filing language | title/filename uses bankruptcy news language | title is formatted like a web or page capture | review metadata typed_layer_candidate=report-or-source,,32,3,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/Industry Consolidation_ 40+ Major Alternative Protein Companies Have Shut or Been Acquired in Past Year.pdf,incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/7f1fc1c9f2-industry-consolidation-40-major-alternative-protein-companies-have-shut-or-been-acquired-in-past-year.pdf,05_Foodtech_Alt_Protein_And_Innovation,Industry Consolidation_ 40+ Major Alternative Protein Companies Have Shut or Been Acquired in Past Year.pdf,Industry Consolidation: 40+ Major Alternative Protein Companies Have Shut or Been Acquired in Past Year,Industry Consolidation: 40+ Major Alternative Protein Companies Have Shut or Been Acquired in Past Year,import_summary,,report,report-or-source,Report,low,Report-oriented signals lead this recommendation: review metadata proposed doc_type=report; review metadata typed_layer_candidate=report-or-source.,review metadata proposed doc_type=report | review metadata typed_layer_candidate=report-or-source,,1,3,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/Infarm closes Copenhagen operations amid ongoing ‘strategy shift’.pdf,incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/6b70cd3a75-infarm-closes-copenhagen-operations-amid-ongoing-strategy-shift.pdf,05_Foodtech_Alt_Protein_And_Innovation,Infarm closes Copenhagen operations amid ongoing ‘strategy shift’.pdf,Infarm closes Copenhagen operations amid ongoing ‘strategy shift’,Infarm closes Copenhagen operations amid ongoing ‘strategy shift’,import_summary,,report,report-or-source,SourceDoc,medium,Source-material signals lead this recommendation: title/filename reads like company-news coverage; title/filename uses closure or news language; review metadata typed_layer_candidate=report-or-source.,title/filename reads like company-news coverage | title/filename uses closure or news language | review metadata typed_layer_candidate=report-or-source,,11,3,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/Insect producer seeks reconstruction in the face of bankruptcy _ The Fish Site.pdf,incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/7dff9e2bef-insect-producer-seeks-reconstruction-in-the-face-of-bankruptcy-the-fish-site.pdf,05_Foodtech_Alt_Protein_And_Innovation,Insect producer seeks reconstruction in the face of bankruptcy _ The Fish Site.pdf,Insect producer seeks reconstruction in the face of bankruptcy | The Fish Site,Insect producer seeks reconstruction in the face of bankruptcy | The Fish Site,import_summary,,report,report-or-source,SourceDoc,high,Source-material signals lead this recommendation: title/filename references The Fish Site; title/filename uses bankruptcy news language; title/filename uses reconstruction language.,title/filename references The Fish Site | title/filename uses bankruptcy news language | title/filename uses reconstruction language | title is formatted like a web or page capture | review metadata typed_layer_candidate=report-or-source,,25,3,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
"Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/Lessons from vertical farming bankruptcies, layoffs, and closures in 2023.pdf",incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/66a7e4f526-lessons-from-vertical-farming-bankruptcies-layoffs-and-closures-in-2023.pdf,05_Foodtech_Alt_Protein_And_Innovation,"Lessons from vertical farming bankruptcies, layoffs, and closures in 2023.pdf","Lessons from vertical farming bankruptcies, layoffs, and closures in 2023","Lessons from vertical farming bankruptcies, layoffs, and closures in 2023",import_summary,,report,report-or-source,SourceDoc,medium,Source-material signals lead this recommendation: title/filename reads like commentary or analysis coverage; review metadata typed_layer_candidate=report-or-source.,title/filename reads like commentary or analysis coverage | review metadata typed_layer_candidate=report-or-source,,6,3,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/Mycoprotein Producer Mycorena’s Bankruptcy_ Setback or Fresh Start_.pdf,incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/1bc93c7e05-mycoprotein-producer-mycorena-s-bankruptcy-setback-or-fresh-start.pdf,05_Foodtech_Alt_Protein_And_Innovation,Mycoprotein Producer Mycorena’s Bankruptcy_ Setback or Fresh Start_.pdf,Mycoprotein Producer Mycorena’s Bankruptcy: Setback or Fresh Start?,Mycoprotein Producer Mycorena’s Bankruptcy: Setback or Fresh Start?,import_summary,,report,report-or-source,SourceDoc,medium,Source-material signals lead this recommendation: title/filename uses bankruptcy news language; title punctuation reads like article or web-copy language; review metadata typed_layer_candidate=report-or-source.,title/filename uses bankruptcy news language | title punctuation reads like article or web-copy language | review metadata typed_layer_candidate=report-or-source,,9,3,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
"Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/Mycorena Files for Bankruptcy, Seeks New Ownership to Continue Pioneering Mycoprotein Ingredients - vegconomist - the vegan business magazine.pdf",incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/480ff1d656-mycorena-files-for-bankruptcy-seeks-new-ownership-to-continue-pioneering-mycoprotein-ingredients-vegconomist-the-vegan-business-magazine.pdf,05_Foodtech_Alt_Protein_And_Innovation,"Mycorena Files for Bankruptcy, Seeks New Ownership to Continue Pioneering Mycoprotein Ingredients - vegconomist - the vegan business magazine.pdf","Mycorena Files for Bankruptcy, Seeks New Ownership to Continue Pioneering Mycoprotein Ingredients - vegconomist - the vegan business magazine","Mycorena Files for Bankruptcy, Seeks New Ownership to Continue Pioneering Mycoprotein Ingredients - vegconomist - the vegan business magazine",import_summary,,report,report-or-source,SourceDoc,high,Source-material signals lead this recommendation: title/filename references vegconomist; title/filename uses magazine language; title/filename uses bankruptcy filing language.,title/filename references vegconomist | title/filename uses magazine language | title/filename uses bankruptcy filing language | title/filename uses bankruptcy news language | title is formatted like a web or page capture | review metadata typed_layer_candidate=report-or-source,,32,3,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/Naplasol acquires Mycorena to boost the mycelium and alt-protein market - Tech.eu.pdf,incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/f51cbae9c5-naplasol-acquires-mycorena-to-boost-the-mycelium-and-alt-protein-market-tech-eu.pdf,05_Foodtech_Alt_Protein_And_Innovation,Naplasol acquires Mycorena to boost the mycelium and alt-protein market - Tech.eu.pdf,Naplasol acquires Mycorena to boost the mycelium and alt-protein market - Tech.eu,Naplasol acquires Mycorena to boost the mycelium and alt-protein market - Tech.eu,import_summary,,report,report-or-source,SourceDoc,high,Source-material signals lead this recommendation: title/filename references Tech.eu; title/filename reads like announcement coverage; title/filename uses acquisition news language.,title/filename references Tech.eu | title/filename reads like announcement coverage | title/filename uses acquisition news language | title is formatted like a web or page capture | review metadata typed_layer_candidate=report-or-source,,25,3,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/Plantagon's Fall_ Lessons for AgTech Innovators.pdf,incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/ef3221497b-plantagon-s-fall-lessons-for-agtech-innovators.pdf,05_Foodtech_Alt_Protein_And_Innovation,Plantagon's Fall_ Lessons for AgTech Innovators.pdf,Plantagon's Fall: Lessons for AgTech Innovators,Plantagon's Fall: Lessons for AgTech Innovators,import_summary,,report,report-or-source,Report,low,Report-oriented signals lead this recommendation: review metadata proposed doc_type=report; review metadata typed_layer_candidate=report-or-source.,review metadata proposed doc_type=report | review metadata typed_layer_candidate=report-or-source,,1,3,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
"Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/PROMYC, mycoproteins.pdf",incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/6c9ac395e8-promyc-mycoproteins.pdf,05_Foodtech_Alt_Protein_And_Innovation,"PROMYC, mycoproteins.pdf","PROMYC, mycoproteins","PROMYC, mycoproteins",import_summary,,report,report-or-source,Report,low,Report-oriented signals lead this recommendation: review metadata proposed doc_type=report; review metadata typed_layer_candidate=report-or-source.,review metadata proposed doc_type=report | review metadata typed_layer_candidate=report-or-source,,1,3,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
Food Research Process 20.04.26/05_Foodtech_Alt_Protein_And_Innovation/Protix - Join the future of food today.pdf,incoming/food-research-process-2026-04-20/05-foodtech-alt-protein-and-innovation/53aba822a6-protix-join-the-future-of-food-today.pdf,05_Foodtech_Alt_Protein_And_Innovation,Protix - Join the future of food today.pdf,Protix - Join the future of food today,Protix - Join the future of food today,import_summary,,report,report-or-source,SourceDoc,medium,Source-material signals lead this recommendation: title is formatted like a web or page capture; review metadata typed_layer_candidate=report-or-source.,title is formatted like a web or page capture | review metadata typed_layer_candidate=report-or-source,,5,3,0,pretriaged,import,Pretriaged 2026-04-20: thematic PDF in curated folder. Verify metadata and final project fit before production use.
